,Weekday,Time,PH Coesfelder Kreuz,PH Coesfelder Kreuz_Diff,PH Theater,PH Theater_Diff,PP Hörsterplatz,PP Hörsterplatz_Diff,PH Alter Steinweg,PH Alter Steinweg_Diff,Busparkplatz,Busparkplatz_Diff,PP Schlossplatz Nord,PP Schlossplatz Nord_Diff,PP Schlossplatz Süd,PP Schlossplatz Süd_Diff,PH Aegidii,PH Aegidii_Diff,PP Georgskommende,PP Georgskommende_Diff,PH Münster Arkaden,PH Münster Arkaden_Diff,PH Karstadt,PH Karstadt_Diff,PH Stubengasse,PH Stubengasse_Diff,PH Bremer Platz,PH Bremer Platz_Diff,PH Engelenschanze,PH Engelenschanze_Diff,PH Bahnhofstraße,PH Bahnhofstraße_Diff,PH Cineplex,PH Cineplex_Diff,PH Stadthaus 3,PH Stadthaus 3_Diff
384,Friday,00:00:00,0,0.0,618,0.0,4,0.0,346,0.0,4,0.0,21,0.0,6,0.0,675,0.0,5,0.0,87,0.0,110,0.0,227,0.0,169,0.0,329,0.0,210,0.0,507,0.0,279,0.0
385,Friday,00:15:00,0,0.0,618,0.0,4,0.0,346,0.0,4,0.0,21,0.0,6,0.0,675,0.0,5,0.0,87,0.0,110,0.0,227,0.0,169,0.0,329,0.0,210,0.0,507,0.0,279,0.0
386,Friday,00:30:00,0,0.0,618,0.0,4,0.0,346,0.0,4,0.0,21,0.0,6,0.0,675,0.0,5,0.0,87,0.0,110,0.0,227,0.0,169,0.0,329,0.0,210,0.0,507,0.0,279,0.0
387,Friday,00:45:00,0,0.0,618,0.0,4,0.0,346,0.0,4,0.0,21,0.0,6,0.0,675,0.0,5,0.0,87,0.0,110,0.0,227,0.0,169,0.0,329,0.0,210,0.0,507,0.0,279,0.0
388,Friday,01:00:00,0,0.0,618,0.0,4,0.0,346,0.0,4,0.0,21,0.0,6,0.0,675,0.0,5,0.0,87,0.0,110,0.0,227,0.0,169,0.0,329,0.0,210,0.0,508,1.0,279,0.0
389,Friday,01:15:00,0,0.0,618,0.0,4,0.0,346,0.0,4,0.0,21,0.0,6,0.0,675,0.0,5,0.0,87,0.0,110,0.0,227,0.0,169,0.0,329,0.0,210,0.0,508,0.0,279,0.0
390,Friday,01:30:00,0,0.0,618,0.0,4,0.0,346,0.0,4,0.0,21,0.0,6,0.0,675,0.0,5,0.0,87,0.0,110,0.0,227,0.0,169,0.0,329,0.0,210,0.0,508,0.0,279,0.0
391,Friday,01:45:00,0,0.0,618,0.0,4,0.0,346,0.0,4,0.0,21,0.0,6,0.0,675,0.0,5,0.0,87,0.0,110,0.0,227,0.0,169,0.0,329,0.0,210,0.0,508,0.0,279,0.0
392,Friday,02:00:00,0,0.0,618,0.0,4,0.0,346,0.0,4,0.0,21,0.0,6,0.0,674,-1.0,5,0.0,89,2.0,112,2.0,226,-1.0,169,0.0,327,-2.0,209,-1.0,508,0.0,279,0.0
393,Friday,02:15:00,0,0.0,618,0.0,4,0.0,346,0.0,4,0.0,21,0.0,6,0.0,675,1.0,5,0.0,87,-2.0,110,-2.0,227,1.0,169,0.0,329,2.0,210,1.0,509,1.0,279,0.0
394,Friday,02:30:00,0,0.0,618,0.0,4,0.0,346,0.0,4,0.0,21,0.0,6,0.0,675,0.0,5,0.0,87,0.0,110,0.0,227,0.0,169,0.0,329,0.0,210,0.0,509,0.0,279,0.0
395,Friday,02:45:00,0,0.0,618,0.0,4,0.0,346,0.0,4,0.0,21,0.0,6,0.0,675,0.0,5,0.0,87,0.0,110,0.0,227,0.0,169,0.0,329,0.0,210,0.0,509,0.0,279,0.0
396,Friday,03:00:00,0,0.0,618,0.0,4,0.0,346,0.0,4,0.0,21,0.0,6,0.0,675,0.0,5,0.0,87,0.0,110,0.0,227,0.0,169,0.0,329,0.0,210,0.0,509,0.0,279,0.0
397,Friday,03:15:00,0,0.0,618,0.0,4,0.0,346,0.0,4,0.0,21,0.0,6,0.0,675,0.0,5,0.0,87,0.0,110,0.0,227,0.0,169,0.0,329,0.0,210,0.0,509,0.0,279,0.0
398,Friday,03:30:00,0,0.0,618,0.0,4,0.0,346,0.0,4,0.0,21,0.0,6,0.0,675,0.0,5,0.0,87,0.0,110,0.0,227,0.0,169,0.0,329,0.0,210,0.0,509,0.0,279,0.0
399,Friday,03:45:00,0,0.0,618,0.0,4,0.0,346,0.0,4,0.0,21,0.0,6,0.0,675,0.0,5,0.0,87,0.0,110,0.0,227,0.0,169,0.0,329,0.0,210,0.0,509,0.0,279,0.0
400,Friday,04:00:00,0,0.0,618,0.0,4,0.0,346,0.0,4,0.0,21,0.0,6,0.0,675,0.0,5,0.0,87,0.0,110,0.0,227,0.0,169,0.0,329,0.0,210,0.0,509,0.0,279,0.0
401,Friday,04:15:00,0,0.0,618,0.0,4,0.0,346,0.0,4,0.0,21,0.0,6,0.0,675,0.0,5,0.0,87,0.0,110,0.0,227,0.0,169,0.0,329,0.0,210,0.0,509,0.0,279,0.0
402,Friday,04:30:00,0,0.0,618,0.0,4,0.0,346,0.0,4,0.0,21,0.0,6,0.0,675,0.0,5,0.0,87,0.0,110,0.0,227,0.0,169,0.0,329,0.0,210,0.0,509,0.0,279,0.0
403,Friday,04:45:00,0,0.0,618,0.0,4,0.0,346,0.0,4,0.0,21,0.0,6,0.0,675,0.0,5,0.0,87,0.0,110,0.0,227,0.0,169,0.0,329,0.0,210,0.0,509,0.0,279,0.0
404,Friday,05:00:00,0,0.0,618,0.0,4,0.0,346,0.0,4,0.0,21,0.0,6,0.0,675,0.0,5,0.0,87,0.0,110,0.0,227,0.0,169,0.0,329,0.0,210,0.0,509,0.0,279,0.0
405,Friday,05:15:00,0,0.0,618,0.0,4,0.0,346,0.0,4,0.0,21,0.0,6,0.0,675,0.0,5,0.0,87,0.0,110,0.0,227,0.0,169,0.0,329,0.0,210,0.0,509,0.0,279,0.0
406,Friday,05:30:00,0,0.0,618,0.0,4,0.0,346,0.0,4,0.0,21,0.0,6,0.0,675,0.0,5,0.0,87,0.0,110,0.0,227,0.0,169,0.0,329,0.0,210,0.0,509,0.0,279,0.0
407,Friday,05:45:00,0,0.0,618,0.0,4,0.0,346,0.0,4,0.0,21,0.0,6,0.0,675,0.0,5,0.0,87,0.0,110,0.0,227,0.0,169,0.0,329,0.0,210,0.0,509,0.0,279,0.0
408,Friday,06:00:00,0,0.0,614,-4.0,0,-4.0,345,-1.0,5,1.0,24,3.0,7,1.0,671,-4.0,5,0.0,85,-2.0,108,-2.0,226,-1.0,165,-4.0,325,-4.0,209,-1.0,510,1.0,278,-1.0
409,Friday,06:15:00,0,0.0,618,4.0,4,4.0,346,1.0,4,-1.0,21,-3.0,6,-1.0,675,4.0,5,0.0,87,2.0,110,2.0,227,1.0,169,4.0,329,4.0,210,1.0,508,-2.0,278,0.0
410,Friday,06:30:00,0,0.0,623,5.0,4,0.0,346,0.0,4,0.0,25,4.0,6,0.0,680,5.0,5,0.0,86,-1.0,110,0.0,227,0.0,169,0.0,329,0.0,210,0.0,508,0.0,278,0.0
411,Friday,06:45:00,0,0.0,618,-5.0,4,0.0,346,0.0,4,0.0,29,4.0,6,0.0,675,-5.0,20,15.0,87,1.0,110,0.0,226,-1.0,167,-2.0,328,-1.0,208,-2.0,508,0.0,276,-2.0
412,Friday,07:00:00,0,0.0,617,-1.0,27,23.0,345,-1.0,10,6.0,29,0.0,22,16.0,676,1.0,33,13.0,87,0.0,110,0.0,225,-1.0,167,0.0,329,1.0,209,1.0,507,-1.0,275,-1.0
413,Friday,07:15:00,0,0.0,600,-17.0,164,137.0,337,-8.0,48,38.0,153,124.0,212,190.0,624,-52.0,207,174.0,34,-53.0,108,-2.0,209,-16.0,159,-8.0,310,-19.0,204,-5.0,540,33.0,251,-24.0
414,Friday,07:30:00,0,0.0,593,-7.0,162,-2.0,333,-4.0,48,0.0,169,16.0,216,4.0,622,-2.0,218,11.0,40,6.0,106,-2.0,205,-4.0,158,-1.0,306,-4.0,203,-1.0,536,-4.0,247,-4.0
415,Friday,07:45:00,0,0.0,582,-11.0,155,-7.0,327,-6.0,48,0.0,164,-5.0,216,0.0,612,-10.0,222,4.0,69,29.0,104,-2.0,201,-4.0,157,-1.0,303,-3.0,201,-2.0,530,-6.0,246,-1.0
416,Friday,08:00:00,0,0.0,572,-10.0,146,-9.0,318,-9.0,47,-1.0,168,4.0,218,2.0,601,-11.0,220,-2.0,131,62.0,102,-2.0,196,-5.0,156,-1.0,296,-7.0,199,-2.0,524,-6.0,244,-2.0
