Datum und Uhrzeit,PH Coesfelder Kreuz,PH Theater,PP Hörsterplatz,PH Alter Steinweg,Busparkplatz,PP Schlossplatz Nord,PP Schlossplatz Süd,PH Aegidii,PP Georgskommende,PH Münster Arkaden,PH Karstadt,PH Stubengasse,PH Bremer Platz,PH Engelenschanze,PH Bahnhofstraße,PH Cineplex,PH Stadthaus 3
2024-01-07 00:00:00,0,566,0,315,0,0,0,750,0,150,156,196,166,361,227,417,252
2024-01-07 00:15:00,0,566,0,315,0,0,0,750,0,150,156,196,166,361,227,417,252
2024-01-07 00:30:00,0,566,0,315,0,0,0,750,0,150,156,196,166,361,227,417,252
2024-01-07 00:45:00,0,566,0,315,0,0,0,750,0,150,156,196,166,361,227,417,252
2024-01-07 01:00:00,0,566,0,315,0,0,0,750,0,150,156,196,166,361,227,417,252
2024-01-07 01:15:00,0,566,0,315,0,0,0,750,0,150,156,196,166,361,227,417,252
2024-01-07 01:30:00,0,566,0,315,0,0,0,750,0,150,156,196,166,361,227,417,252
2024-01-07 01:45:00,0,566,0,315,0,0,0,750,0,150,156,196,166,361,227,417,252
2024-01-07 02:00:00,0,566,0,315,0,0,0,750,0,150,156,196,166,361,227,417,252
2024-01-07 02:15:00,0,566,0,315,0,0,0,750,0,150,156,196,166,361,227,417,252
2024-01-07 02:30:00,0,566,0,315,0,0,0,750,0,150,156,196,166,361,227,417,252
2024-01-07 02:45:00,0,566,0,315,0,0,0,750,0,150,156,196,166,361,227,417,252
2024-01-07 03:00:00,0,566,0,315,0,0,0,750,0,150,156,196,166,361,227,417,252
2024-01-07 03:15:00,0,566,0,315,0,0,0,750,0,150,156,196,166,361,227,417,252
2024-01-07 03:30:00,0,566,0,315,0,0,0,750,0,150,156,196,166,361,227,417,252
2024-01-07 03:45:00,0,566,0,315,0,0,0,750,0,150,156,196,166,361,227,417,252
2024-01-07 04:00:00,0,566,0,315,0,0,0,750,0,150,156,196,166,361,227,417,252
2024-01-07 04:15:00,0,566,0,315,0,0,0,750,0,150,156,196,166,361,227,417,252
2024-01-07 04:30:00,0,566,0,315,0,0,0,750,0,150,156,196,166,361,227,417,252
2024-01-07 04:45:00,0,566,0,315,0,0,0,750,0,150,156,196,166,361,227,417,252
2024-01-07 05:00:00,0,566,0,315,0,0,0,750,0,150,156,196,166,361,227,417,252
2024-01-07 05:15:00,0,566,0,315,0,0,0,750,0,150,156,196,166,361,227,417,252
2024-01-07 05:30:00,0,566,0,315,0,0,0,750,0,150,156,196,166,361,227,417,252
2024-01-07 05:45:00,0,566,0,315,0,0,0,750,0,150,156,196,166,361,227,417,252
2024-01-07 06:00:00,0,566,0,315,0,0,0,750,0,150,156,196,166,361,227,417,252
2024-01-07 06:15:00,0,566,0,315,0,0,0,750,0,150,156,196,166,361,227,417,252
2024-01-07 06:30:00,0,566,0,315,0,0,0,750,0,150,156,196,166,361,227,417,252
2024-01-07 06:45:00,0,566,0,315,0,0,0,750,0,150,156,196,166,361,227,417,252
2024-01-07 07:00:00,0,566,0,315,0,0,0,750,0,150,156,196,166,361,227,417,252
2024-01-07 07:15:00,0,0,0,357,0,0,0,0,0,0,156,0,181,393,244,575,262
2024-01-07 07:30:00,0,0,0,357,0,0,0,0,0,0,156,0,180,393,242,574,262
2024-01-07 07:45:00,0,0,0,357,0,0,0,0,0,0,156,0,182,393,242,574,262
2024-01-07 08:00:00,0,0,0,357,0,0,0,0,0,0,156,0,182,395,243,574,262
2024-01-07 08:15:00,0,0,0,357,0,0,0,0,0,0,156,222,181,395,244,574,262
2024-01-07 08:30:00,0,0,0,356,0,0,0,0,0,0,156,221,181,395,243,574,263
2024-01-07 08:45:00,0,665,0,354,0,0,0,499,0,0,156,220,181,395,246,573,264
2024-01-07 09:00:00,0,663,0,353,0,0,0,497,0,0,156,219,180,395,246,571,264
2024-01-07 09:15:00,0,664,0,352,0,0,0,497,0,0,156,217,180,396,245,571,265
2024-01-07 09:30:00,0,663,0,350,0,0,0,497,0,0,156,211,181,395,246,571,265
2024-01-07 09:45:00,0,656,0,349,0,0,0,496,0,150,156,194,182,397,242,570,265
2024-01-07 10:00:00,0,651,0,346,0,0,0,490,0,150,156,190,181,396,243,569,265
2024-01-07 10:15:00,0,648,0,342,0,0,0,483,0,150,156,178,176,397,244,565,265
2024-01-07 10:30:00,0,644,0,340,0,0,0,481,0,150,156,175,179,397,248,554,265
2024-01-07 10:45:00,0,643,0,337,0,0,0,480,0,150,156,176,178,396,251,547,263
2024-01-07 11:00:00,0,641,0,330,0,0,0,479,0,150,156,171,178,397,252,545,263
2024-01-07 11:15:00,0,641,0,327,0,0,0,480,0,150,156,167,179,402,260,536,263
2024-01-07 11:30:00,0,637,0,320,0,0,0,482,0,150,156,179,183,403,263,531,263
2024-01-07 11:45:00,0,636,0,312,0,0,0,483,0,150,156,180,181,406,264,525,263
2024-01-07 12:00:00,0,633,0,311,0,0,0,482,0,149,155,191,178,405,260,515,263
2024-01-07 12:15:00,0,630,0,307,0,0,0,482,0,146,153,202,176,407,259,504,262
2024-01-07 12:30:00,0,630,0,310,0,0,0,485,0,144,153,214,174,416,253,496,262
2024-01-07 12:45:00,0,633,0,308,0,0,0,487,0,145,153,220,176,414,249,492,261
2024-01-07 13:00:00,0,638,0,307,0,0,0,490,0,147,153,221,179,413,248,490,262
2024-01-07 13:15:00,0,640,0,305,0,0,0,489,0,147,153,226,180,408,242,496,262
2024-01-07 13:30:00,0,643,0,308,0,0,0,496,0,145,153,232,182,402,233,512,263
2024-01-07 13:45:00,0,639,0,310,0,0,0,495,0,147,153,234,179,398,228,504,263
2024-01-07 14:00:00,0,638,0,309,0,0,0,499,0,147,153,235,175,400,227,501,263
2024-01-07 14:15:00,0,639,0,312,0,0,0,499,0,149,153,233,178,403,236,497,262
2024-01-07 14:30:00,0,645,0,312,0,0,0,505,0,145,153,239,185,400,241,479,262
2024-01-07 14:45:00,0,647,0,315,0,0,0,509,0,141,153,244,181,400,243,452,262
2024-01-07 15:00:00,0,647,0,318,0,0,0,514,0,140,153,243,178,402,247,446,262
2024-01-07 15:15:00,0,644,0,315,0,0,0,520,0,142,153,246,178,398,248,446,264
2024-01-07 15:30:00,0,647,0,313,0,0,0,524,0,137,153,243,181,397,240,441,263
2024-01-07 15:45:00,0,645,0,314,0,0,0,528,0,140,153,245,178,396,231,442,263
2024-01-07 16:00:00,0,647,0,317,0,0,0,523,0,139,153,243,174,394,229,439,263
2024-01-07 16:15:00,0,646,0,312,0,0,0,532,0,139,153,238,171,393,237,440,263
2024-01-07 16:30:00,0,644,0,307,0,0,0,539,0,144,153,228,172,400,246,437,262
2024-01-07 16:45:00,0,639,0,307,0,0,0,543,0,149,153,231,167,401,245,423,262
2024-01-07 17:00:00,0,643,0,304,0,0,0,553,0,150,153,233,169,405,241,434,265
2024-01-07 17:15:00,0,642,0,305,0,0,0,562,0,150,153,231,170,405,237,448,264
2024-01-07 17:30:00,0,643,0,304,0,0,0,562,0,150,153,230,167,397,228,464,263
2024-01-07 17:45:00,0,646,0,297,0,0,0,570,0,150,153,233,160,395,224,457,262
2024-01-07 18:00:00,0,631,0,284,0,0,0,572,0,150,153,229,161,387,218,452,262
2024-01-07 18:15:00,0,628,0,279,0,0,0,574,0,145,153,227,163,395,220,444,262
2024-01-07 18:30:00,0,624,0,277,0,0,0,583,0,144,153,229,163,393,219,444,262
2024-01-07 18:45:00,0,627,0,271,0,0,0,589,0,141,153,233,164,395,218,444,261
2024-01-07 19:00:00,0,625,0,271,0,0,0,592,0,142,153,232,162,396,212,441,260
2024-01-07 19:15:00,0,619,0,282,0,0,0,594,0,143,153,250,158,402,210,449,259
2024-01-07 19:30:00,0,622,0,293,0,0,0,598,0,145,153,258,159,405,208,464,259
2024-01-07 19:45:00,0,626,0,300,0,0,0,602,0,146,153,256,171,406,206,473,262
2024-01-07 20:00:00,0,629,0,306,0,0,0,604,0,147,153,258,169,408,208,477,261
2024-01-07 20:15:00,0,637,0,312,0,0,0,606,0,147,153,259,168,410,209,478,261
2024-01-07 20:30:00,0,649,0,317,0,0,0,612,0,147,153,261,178,423,225,481,262
2024-01-07 20:45:00,0,655,0,325,0,0,0,616,0,150,153,261,180,432,241,477,263
2024-01-07 21:00:00,0,655,0,330,0,0,0,619,0,150,153,262,184,433,248,486,263
2024-01-07 21:15:00,0,655,0,330,0,0,0,619,0,150,153,262,184,433,248,486,263
2024-01-07 21:30:00,0,655,0,330,0,0,0,619,0,150,153,262,184,433,248,486,263
2024-01-07 21:45:00,0,655,0,330,0,0,0,619,0,150,153,262,184,433,248,486,263
2024-01-07 22:00:00,0,655,0,330,0,0,0,619,0,150,153,262,184,433,248,486,263
2024-01-07 22:15:00,0,655,0,330,0,0,0,619,0,150,153,262,184,433,248,486,263
2024-01-07 22:30:00,0,655,0,330,0,0,0,619,0,150,153,262,184,433,248,486,263
2024-01-07 22:45:00,0,655,0,330,0,0,0,619,0,150,153,262,184,433,248,486,263
2024-01-07 23:00:00,0,655,0,330,0,0,0,619,0,150,153,262,184,433,248,486,263
2024-01-07 23:15:00,0,664,0,361,0,0,0,628,0,150,153,273,193,440,260,559,266
2024-01-07 23:30:00,0,664,0,361,0,0,0,628,0,150,153,273,193,440,260,559,266
2024-01-07 23:45:00,0,664,0,361,0,0,0,628,0,150,153,273,193,440,260,559,266
2024-01-14 00:00:00,0,641,0,279,0,0,0,674,0,150,154,213,166,339,196,111,110
2024-01-14 00:15:00,0,641,0,279,0,0,0,674,0,150,154,213,166,339,196,111,110
2024-01-14 00:30:00,0,641,0,279,0,0,0,674,0,150,154,213,166,339,196,111,110
2024-01-14 00:45:00,0,641,0,279,0,0,0,674,0,150,154,213,166,339,196,111,110
2024-01-14 01:00:00,0,641,0,279,0,0,0,674,0,150,154,213,166,339,196,111,110
2024-01-14 01:15:00,0,641,0,279,0,0,0,674,0,150,154,213,166,339,196,111,110
2024-01-14 01:30:00,0,641,0,279,0,0,0,674,0,150,154,213,166,339,196,111,110
2024-01-14 01:45:00,0,641,0,279,0,0,0,674,0,150,154,213,166,339,196,111,110
2024-01-14 02:00:00,0,641,0,279,0,0,0,674,0,150,154,213,166,339,196,111,110
2024-01-14 02:15:00,0,641,0,279,0,0,0,674,0,150,154,213,166,339,196,111,110
2024-01-14 02:30:00,0,641,0,279,0,0,0,674,0,150,154,213,166,339,196,111,110
2024-01-14 02:45:00,0,641,0,279,0,0,0,674,0,150,154,213,166,339,196,111,110
2024-01-14 03:00:00,0,641,0,279,0,0,0,674,0,150,154,213,166,339,196,111,110
2024-01-14 03:15:00,0,641,0,279,0,0,0,674,0,150,154,213,166,339,196,111,110
2024-01-14 03:30:00,0,641,0,279,0,0,0,674,0,150,154,213,166,339,196,111,110
2024-01-14 03:45:00,0,641,0,279,0,0,0,674,0,150,154,213,166,339,196,111,110
2024-01-14 04:00:00,0,641,0,279,0,0,0,674,0,150,154,213,166,339,196,111,110
2024-01-14 04:15:00,0,641,0,279,0,0,0,674,0,150,154,213,166,339,196,111,110
2024-01-14 04:30:00,0,641,0,279,0,0,0,674,0,150,154,213,166,339,196,111,110
