Time,PH Coesfelder Kreuz,PH Theater,PP Hörsterplatz,PH Alter Steinweg,Busparkplatz,PP Schlossplatz Nord,PP Schlossplatz Süd,PH Aegidii,PP Georgskommende,PH Münster Arkaden,PH Karstadt,PH Stubengasse,PH Bremer Platz,PH Engelenschanze,PH Bahnhofstraße,PH Cineplex,PH Stadthaus 3,Weekday
00:00:00,0,588,11,306,3,15,0,650,9,92,112,197,153,267,169,400,250,Sunday
00:15:00,0,588,11,306,3,15,0,650,9,92,112,197,154,267,169,402,250,Sunday
00:30:00,0,588,11,306,3,15,0,650,9,92,112,197,154,267,169,403,251,Sunday
00:45:00,0,588,11,306,3,15,0,650,9,91,114,198,153,267,169,406,251,Sunday
01:00:00,0,588,11,306,3,15,0,650,9,92,112,197,154,267,169,405,251,Sunday
01:15:00,0,588,11,306,3,15,0,650,9,92,112,197,154,267,169,406,252,Sunday
01:30:00,0,588,11,306,3,15,0,650,9,92,112,197,154,267,169,408,252,Sunday
01:45:00,0,588,11,306,3,15,0,650,9,92,112,197,154,267,169,409,252,Sunday
02:00:00,0,581,11,305,3,15,0,644,9,92,115,196,151,262,168,409,251,Sunday
02:15:00,0,581,11,305,3,15,0,644,9,92,115,196,151,262,168,410,251,Sunday
02:30:00,0,581,11,305,3,15,0,644,9,92,115,196,151,262,168,410,252,Sunday
02:45:00,0,581,11,305,3,15,0,644,9,92,115,196,151,262,168,410,252,Sunday
03:00:00,0,588,11,306,3,15,0,650,9,92,112,197,154,267,169,412,253,Sunday
03:15:00,0,587,8,306,2,15,0,649,9,94,114,197,153,267,168,413,254,Sunday
03:30:00,0,588,11,306,3,15,0,650,9,92,112,197,154,267,169,412,253,Sunday
03:45:00,0,588,11,306,3,15,0,650,9,92,112,197,154,267,169,412,253,Sunday
04:00:00,0,588,11,306,3,15,0,650,9,92,112,197,154,267,169,412,254,Sunday
04:15:00,0,588,11,306,3,15,0,650,9,92,112,197,154,267,169,412,254,Sunday
04:30:00,0,588,11,306,3,15,0,650,9,92,112,197,154,267,169,412,254,Sunday
04:45:00,0,588,11,306,3,15,0,650,9,92,112,197,154,267,169,412,254,Sunday
05:00:00,0,587,11,305,3,15,0,648,9,91,114,197,153,267,169,411,254,Sunday
05:15:00,0,588,11,306,3,15,0,650,9,92,112,197,154,267,169,413,254,Sunday
05:30:00,0,588,11,306,3,15,0,650,9,92,112,197,154,267,169,413,254,Sunday
05:45:00,0,588,11,306,3,15,0,650,9,92,112,197,154,267,169,413,254,Sunday
06:00:00,0,588,11,306,3,15,0,650,9,92,112,197,154,267,169,413,254,Sunday
06:15:00,0,588,11,306,3,15,0,650,9,92,112,197,154,267,169,413,254,Sunday
06:30:00,0,588,11,306,3,15,0,650,9,92,112,197,154,267,169,413,254,Sunday
06:45:00,0,588,11,306,3,15,0,650,9,92,112,197,154,267,169,413,254,Sunday
07:00:00,0,588,11,306,3,15,0,650,9,92,112,197,154,267,169,413,254,Sunday
07:15:00,0,104,14,341,3,15,8,115,16,29,112,41,168,281,184,550,281,Sunday
07:30:00,0,104,14,341,3,15,8,115,16,29,112,41,168,281,183,550,281,Sunday
07:45:00,0,104,14,341,3,15,8,115,15,29,112,46,167,281,183,549,281,Sunday
08:00:00,0,117,14,341,3,15,8,115,14,29,112,67,167,282,183,549,281,Sunday
08:15:00,0,117,15,333,3,15,8,115,14,29,112,131,167,282,183,548,281,Sunday
08:30:00,0,277,15,340,3,15,8,159,14,30,114,183,167,282,183,548,281,Sunday
08:45:00,0,471,15,342,3,15,8,476,14,26,110,210,168,286,183,547,281,Sunday
09:00:00,0,613,15,343,3,15,8,618,11,26,112,208,166,285,183,546,281,Sunday
09:15:00,0,600,15,343,3,15,8,618,11,26,112,206,166,286,183,546,281,Sunday
09:30:00,0,610,14,342,3,18,8,615,11,44,112,202,166,287,185,544,281,Sunday
09:45:00,0,605,14,339,3,25,41,610,16,83,112,198,165,288,185,542,281,Sunday
10:00:00,0,598,14,336,8,56,92,603,31,140,112,191,165,289,187,540,281,Sunday
10:15:00,0,593,14,332,10,82,104,598,35,142,112,185,165,293,190,535,280,Sunday
10:30:00,0,590,13,329,12,82,111,593,34,142,112,183,166,298,194,526,278,Sunday
10:45:00,0,588,13,325,11,82,117,589,33,141,112,182,166,304,196,515,277,Sunday
11:00:00,0,584,13,322,11,95,119,581,32,140,110,183,168,315,200,503,276,Sunday
11:15:00,0,581,13,319,11,92,119,580,29,139,111,181,168,322,204,494,275,Sunday
11:30:00,0,577,13,315,11,88,119,576,27,137,110,185,169,327,207,483,274,Sunday
11:45:00,0,574,12,312,11,92,117,572,24,135,111,188,169,332,209,472,273,Sunday
12:00:00,0,568,17,309,9,84,119,569,22,133,111,192,168,334,208,461,273,Sunday
12:15:00,0,565,19,306,8,92,116,568,20,131,112,195,170,336,207,452,272,Sunday
12:30:00,0,561,18,304,8,92,116,566,20,129,112,198,171,338,207,443,272,Sunday
12:45:00,0,559,18,302,8,92,123,567,18,127,112,202,172,338,206,438,271,Sunday
13:00:00,0,559,18,300,8,86,123,567,18,125,112,205,172,337,204,435,271,Sunday
13:15:00,0,558,18,297,8,95,123,566,17,124,111,206,172,335,201,434,271,Sunday
13:30:00,0,558,18,297,8,86,123,567,17,122,111,209,171,332,195,435,271,Sunday
13:45:00,0,557,18,295,8,83,126,562,18,119,110,208,169,328,191,433,271,Sunday
14:00:00,0,558,17,294,7,91,123,564,20,119,111,210,169,328,190,432,272,Sunday
14:15:00,0,559,16,297,7,91,124,570,16,124,110,212,171,329,191,429,271,Sunday
14:30:00,0,558,17,294,7,91,129,564,19,116,111,211,172,328,193,428,272,Sunday
14:45:00,0,558,16,294,7,91,131,569,15,117,110,214,174,331,202,427,271,Sunday
15:00:00,0,556,16,293,8,91,136,561,17,117,111,212,172,330,195,427,272,Sunday
15:15:00,0,554,16,292,8,91,136,562,16,117,111,211,173,330,195,426,273,Sunday
15:30:00,0,552,15,294,9,91,131,569,17,118,110,213,175,333,197,428,272,Sunday
15:45:00,0,545,14,287,9,96,136,564,19,118,111,210,174,332,194,429,274,Sunday
16:00:00,0,545,13,293,8,96,131,571,17,118,110,212,173,334,195,433,273,Sunday
16:15:00,0,544,13,289,9,96,136,563,19,117,111,209,172,332,194,433,274,Sunday
16:30:00,0,542,21,286,11,96,136,557,19,118,111,209,173,336,201,432,274,Sunday
16:45:00,0,538,12,290,12,96,136,547,18,119,111,209,173,338,203,430,274,Sunday
17:00:00,0,539,13,293,11,96,131,558,16,121,110,214,174,341,204,427,273,Sunday
17:15:00,0,535,13,290,12,102,136,558,17,121,111,211,173,339,202,425,273,Sunday
17:30:00,0,527,12,293,11,102,131,573,15,125,110,216,171,342,200,422,271,Sunday
17:45:00,0,511,11,287,12,102,136,570,19,124,111,212,167,336,195,412,271,Sunday
18:00:00,0,500,11,285,11,102,131,582,18,126,110,218,165,338,194,407,270,Sunday
18:15:00,0,497,11,279,13,98,136,582,22,125,111,215,163,336,192,401,270,Sunday
18:30:00,0,499,11,279,11,80,90,592,21,128,113,220,165,338,194,397,268,Sunday
18:45:00,0,499,11,276,11,58,85,597,24,129,111,218,164,339,192,395,269,Sunday
19:00:00,0,502,11,276,10,27,36,602,21,130,111,219,163,339,191,395,269,Sunday
19:15:00,0,506,12,279,6,15,16,609,10,132,111,222,163,339,190,396,269,Sunday
19:30:00,0,515,14,285,6,15,16,614,10,134,111,224,164,342,191,398,269,Sunday
19:45:00,0,524,15,291,6,15,16,618,11,136,111,226,166,343,194,399,270,Sunday
20:00:00,0,531,17,298,6,15,16,624,13,138,111,228,166,345,197,408,270,Sunday
20:15:00,0,543,19,305,6,15,16,629,14,139,110,231,168,348,200,416,270,Sunday
20:30:00,0,557,20,313,6,15,16,635,15,141,110,235,172,356,212,424,272,Sunday
20:45:00,0,569,20,320,6,15,8,641,17,143,108,237,175,364,222,431,272,Sunday
21:00:00,0,581,22,326,6,15,8,648,12,144,110,239,176,365,225,437,274,Sunday
21:15:00,0,581,12,328,6,15,8,650,12,144,108,240,177,366,226,438,274,Sunday
21:30:00,0,583,12,328,6,15,8,650,12,145,110,240,177,366,226,440,275,Sunday
21:45:00,0,585,12,329,6,15,8,651,12,145,110,240,177,367,226,443,275,Sunday
22:00:00,0,586,12,330,6,15,8,652,12,145,110,241,177,367,226,444,276,Sunday
22:15:00,0,587,12,330,6,15,8,652,12,145,110,241,178,367,226,446,276,Sunday
22:30:00,0,587,12,331,6,15,8,652,12,145,110,241,178,367,226,448,276,Sunday
22:45:00,0,587,12,331,6,15,8,653,12,145,110,241,178,368,227,451,276,Sunday
23:00:00,0,587,12,331,6,15,8,653,12,145,110,241,179,368,227,453,276,Sunday
23:15:00,0,617,13,351,6,15,8,667,0,88,108,248,188,378,234,539,284,Sunday
23:30:00,0,618,13,351,6,15,8,667,0,89,110,247,188,377,234,541,285,Sunday
23:45:00,0,618,13,351,6,15,8,667,0,89,110,248,188,378,234,541,285,Sunday
