Time,PH Coesfelder Kreuz,PH Theater,PP Hörsterplatz,PH Alter Steinweg,Busparkplatz,PP Schlossplatz Nord,PP Schlossplatz Süd,PH Aegidii,PP Georgskommende,PH Münster Arkaden,PH Karstadt,PH Stubengasse,PH Bremer Platz,PH Engelenschanze,PH Bahnhofstraße,PH Cineplex,PH Stadthaus 3,Weekday
00:00:00,0,609,0,343,4,24,12,678,10,79,113,223,163,323,201,535,284,Thursday
00:15:00,0,609,0,343,4,24,12,678,10,79,113,223,163,323,201,536,284,Thursday
00:30:00,0,609,0,343,4,24,12,678,10,79,113,223,163,323,201,536,284,Thursday
00:45:00,0,609,0,343,4,22,12,678,10,79,113,223,163,323,201,536,284,Thursday
01:00:00,0,607,0,343,4,23,12,677,11,82,118,222,162,320,201,536,284,Thursday
01:15:00,0,608,0,343,4,23,12,679,10,80,112,223,163,322,201,540,286,Thursday
01:30:00,0,608,0,343,4,19,12,677,10,77,112,223,162,321,201,535,284,Thursday
01:45:00,0,609,0,343,4,22,12,678,10,79,113,223,163,323,201,536,284,Thursday
02:00:00,0,609,0,343,4,22,12,678,10,79,113,223,163,323,201,536,284,Thursday
02:15:00,0,609,0,343,4,22,12,678,10,79,113,223,163,323,201,536,284,Thursday
02:30:00,0,609,0,343,4,22,12,678,10,79,113,223,163,323,201,536,284,Thursday
02:45:00,0,609,0,343,4,22,12,678,10,79,113,223,163,323,201,536,284,Thursday
03:00:00,0,609,0,343,4,22,12,678,10,79,113,223,163,323,201,536,284,Thursday
03:15:00,0,609,0,343,4,22,12,678,10,79,113,223,163,323,201,536,284,Thursday
03:30:00,0,609,0,343,4,22,12,678,10,79,113,223,163,323,201,536,284,Thursday
03:45:00,0,609,0,343,4,22,12,678,10,79,113,223,163,323,201,537,284,Thursday
04:00:00,0,609,0,343,4,22,12,678,10,79,113,223,163,323,201,537,284,Thursday
04:15:00,0,609,0,343,4,22,12,678,10,79,113,223,163,323,201,537,284,Thursday
04:30:00,0,609,0,343,4,22,12,678,10,79,113,223,163,323,201,537,284,Thursday
04:45:00,0,609,0,343,4,22,12,678,10,79,113,223,163,323,201,537,284,Thursday
05:00:00,0,609,0,343,4,22,12,678,10,79,113,223,163,323,201,537,284,Thursday
05:15:00,0,609,0,343,4,22,12,678,10,79,113,223,163,323,201,537,284,Thursday
05:30:00,0,609,0,343,4,22,12,678,10,79,113,223,163,323,201,537,284,Thursday
05:45:00,0,609,0,343,4,22,12,678,10,79,113,223,163,323,201,537,284,Thursday
06:00:00,0,610,0,342,5,26,13,680,5,86,110,224,165,328,201,542,285,Thursday
06:15:00,0,608,0,343,4,23,12,677,10,80,112,223,163,322,201,537,283,Thursday
06:30:00,0,608,0,343,4,28,12,677,10,80,112,223,163,322,201,537,282,Thursday
06:45:00,0,608,4,342,4,31,20,677,20,80,112,223,162,319,200,536,280,Thursday
07:00:00,0,609,20,342,10,32,29,678,29,79,113,223,160,323,200,535,279,Thursday
07:15:00,0,554,158,320,49,121,232,575,199,34,115,215,153,305,194,552,248,Thursday
07:30:00,0,547,157,329,49,138,232,572,203,40,113,212,152,309,193,547,243,Thursday
07:45:00,0,536,152,324,49,159,232,557,212,67,110,208,150,303,192,541,241,Thursday
08:00:00,0,525,143,311,49,145,237,551,214,137,108,213,149,296,190,533,237,Thursday
08:15:00,0,527,136,308,49,159,237,537,211,135,107,208,146,291,188,525,233,Thursday
08:30:00,0,518,132,297,48,143,236,527,208,132,105,209,143,287,185,517,227,Thursday
08:45:00,0,532,123,284,48,147,236,535,204,124,103,202,140,280,182,510,223,Thursday
09:00:00,0,531,110,272,47,142,231,533,198,114,101,192,139,271,178,504,218,Thursday
09:15:00,0,519,99,260,46,158,229,519,194,103,98,181,134,262,177,499,215,Thursday
09:30:00,0,506,88,244,47,147,227,506,188,95,94,170,132,253,173,496,214,Thursday
09:45:00,0,491,74,223,45,152,233,482,182,80,89,156,130,244,170,493,214,Thursday
10:00:00,0,472,57,196,44,175,235,465,173,65,84,141,127,233,165,490,213,Thursday
10:15:00,0,460,44,171,43,150,226,448,167,51,78,125,125,224,162,488,213,Thursday
10:30:00,0,448,28,149,41,155,220,434,162,35,71,112,123,218,160,486,213,Thursday
10:45:00,0,431,18,132,40,171,208,421,156,28,66,101,121,210,158,484,212,Thursday
11:00:00,0,414,12,120,40,156,200,408,152,21,61,93,120,203,155,483,210,Thursday
11:15:00,0,403,10,107,39,167,195,398,155,20,57,86,120,199,152,482,207,Thursday
11:30:00,0,392,8,94,37,164,191,395,151,17,54,82,120,195,152,481,209,Thursday
11:45:00,0,384,8,89,37,158,183,392,148,16,51,79,118,191,151,480,208,Thursday
12:00:00,0,376,7,84,37,157,180,391,148,16,52,77,117,188,148,479,207,Thursday
12:15:00,0,375,9,82,38,164,178,387,148,16,50,76,116,190,146,478,207,Thursday
12:30:00,0,374,12,84,37,163,178,393,148,15,52,82,115,191,149,476,207,Thursday
12:45:00,0,371,16,87,36,163,179,401,148,16,51,84,115,192,149,476,207,Thursday
13:00:00,0,372,22,90,36,152,179,409,148,16,51,87,114,195,151,476,208,Thursday
13:15:00,0,377,26,93,36,160,176,416,148,17,52,90,115,199,151,476,208,Thursday
13:30:00,0,383,30,97,35,162,175,416,149,17,53,93,116,202,154,476,210,Thursday
13:45:00,0,388,30,101,35,146,175,424,149,17,55,93,116,201,154,475,210,Thursday
14:00:00,0,394,27,98,34,142,167,423,145,17,55,93,113,198,153,463,202,Thursday
14:15:00,0,400,30,105,34,151,174,432,150,18,55,97,115,202,153,461,207,Thursday
