Time,PH Coesfelder Kreuz,PH Theater,PP Hörsterplatz,PH Alter Steinweg,Busparkplatz,PP Schlossplatz Nord,PP Schlossplatz Süd,PH Aegidii,PP Georgskommende,PH Münster Arkaden,PH Karstadt,PH Stubengasse,PH Bremer Platz,PH Engelenschanze,PH Bahnhofstraße,PH Cineplex,PH Stadthaus 3,Weekday
00:00:00,0,605,6,349,5,53,38,656,20,85,121,229,171,326,204,545,282,Tuesday
00:15:00,0,605,6,349,5,53,38,657,20,85,121,229,171,326,204,545,282,Tuesday
00:30:00,0,605,6,349,5,53,38,657,20,85,121,229,171,326,204,545,282,Tuesday
00:45:00,0,605,6,349,5,53,38,657,20,85,121,229,171,326,204,545,282,Tuesday
01:00:00,0,604,6,349,5,55,39,656,20,84,120,229,171,325,204,545,282,Tuesday
01:15:00,0,605,6,349,5,53,38,657,20,85,121,229,171,326,204,545,282,Tuesday
01:30:00,0,605,6,349,5,53,38,657,20,85,121,229,171,326,204,545,282,Tuesday
01:45:00,0,605,6,349,5,53,38,657,20,85,121,229,171,326,204,545,282,Tuesday
02:00:00,0,605,6,349,5,53,38,657,20,85,121,229,171,326,204,545,282,Tuesday
02:15:00,0,605,6,349,5,53,38,657,20,85,121,229,171,326,204,545,282,Tuesday
02:30:00,0,605,6,349,5,53,38,657,20,85,121,229,171,326,204,545,282,Tuesday
02:45:00,0,605,6,349,5,53,38,657,20,85,121,229,171,326,204,545,282,Tuesday
03:00:00,0,605,6,349,5,53,38,657,20,85,121,229,171,326,204,546,282,Tuesday
03:15:00,0,605,6,349,5,53,38,657,20,85,121,229,171,326,204,546,282,Tuesday
03:30:00,0,605,6,349,5,53,38,657,20,85,121,229,171,326,204,546,282,Tuesday
03:45:00,0,605,6,349,5,53,38,657,20,85,121,229,171,326,204,546,282,Tuesday
04:00:00,0,605,6,349,5,53,38,657,20,85,121,229,171,326,204,546,282,Tuesday
04:15:00,0,605,6,349,5,53,38,657,20,85,121,229,171,326,204,546,282,Tuesday
04:30:00,0,605,6,349,5,53,38,657,20,85,121,229,171,326,204,546,282,Tuesday
04:45:00,0,605,6,349,5,53,38,657,20,85,121,229,171,326,204,546,282,Tuesday
05:00:00,0,605,6,349,5,53,38,657,20,85,121,229,171,326,204,546,282,Tuesday
05:15:00,0,605,6,349,5,53,38,657,20,85,121,229,171,326,204,546,282,Tuesday
05:30:00,0,605,6,349,5,53,38,657,20,85,121,229,171,326,204,546,282,Tuesday
05:45:00,0,605,6,349,5,53,38,657,20,85,121,229,171,326,204,545,282,Tuesday
06:00:00,0,604,6,349,5,55,39,656,20,84,120,229,171,325,204,545,281,Tuesday
06:15:00,0,605,6,349,5,53,38,657,20,85,121,229,171,326,204,545,281,Tuesday
