Time,PH Coesfelder Kreuz,PH Theater,PP Hörsterplatz,PH Alter Steinweg,Busparkplatz,PP Schlossplatz Nord,PP Schlossplatz Süd,PH Aegidii,PP Georgskommende,PH Münster Arkaden,PH Karstadt,PH Stubengasse,PH Bremer Platz,PH Engelenschanze,PH Bahnhofstraße,PH Cineplex,PH Stadthaus 3,Weekday
00:00:00,0,605,0,347,5,26,12,672,10,83,115,226,159,309,201,536,280,Wednesday
00:15:00,0,605,0,347,5,26,12,672,10,83,115,226,159,309,201,536,280,Wednesday
00:30:00,0,605,0,347,5,26,12,672,10,83,115,226,159,309,201,536,280,Wednesday
00:45:00,0,605,0,347,5,26,12,672,10,83,115,226,159,309,201,536,280,Wednesday
01:00:00,0,604,0,347,5,27,12,670,10,85,117,226,159,309,201,536,280,Wednesday
01:15:00,0,605,0,347,5,26,12,672,10,83,115,226,159,309,201,536,280,Wednesday
01:30:00,0,605,0,347,5,26,12,672,10,83,115,226,159,309,201,536,280,Wednesday
01:45:00,0,605,0,347,5,26,12,672,10,83,115,226,159,309,201,536,280,Wednesday
02:00:00,0,605,0,347,5,26,12,672,10,83,115,226,159,309,201,536,280,Wednesday
02:15:00,0,605,0,347,5,26,12,672,10,83,115,226,159,309,201,536,280,Wednesday
02:30:00,0,605,0,347,5,26,12,672,10,83,115,226,159,309,201,536,280,Wednesday
02:45:00,0,605,0,347,5,26,12,672,10,83,115,226,159,309,201,536,280,Wednesday
03:00:00,0,605,0,347,5,26,12,672,10,83,115,226,159,309,201,536,280,Wednesday
03:15:00,0,605,0,347,5,26,12,672,10,83,115,226,159,309,201,536,280,Wednesday
03:30:00,0,605,0,347,5,26,12,672,10,83,115,226,159,309,201,536,280,Wednesday
03:45:00,0,605,0,347,5,26,12,672,10,83,115,226,159,309,201,536,280,Wednesday
04:00:00,0,605,0,347,5,26,12,672,10,83,115,226,159,309,201,536,280,Wednesday
04:15:00,0,605,0,347,5,26,12,672,10,83,115,226,159,309,201,536,280,Wednesday
04:30:00,0,605,0,347,5,26,12,672,10,83,115,226,159,309,201,536,280,Wednesday
04:45:00,0,605,0,347,5,26,12,672,10,83,115,226,159,309,201,536,280,Wednesday
05:00:00,0,605,0,347,5,26,12,672,10,83,115,226,159,309,201,536,280,Wednesday
05:15:00,0,605,0,347,5,26,12,672,10,83,115,226,159,309,201,536,280,Wednesday
05:30:00,0,605,0,347,5,26,12,672,10,83,115,226,159,309,201,536,280,Wednesday
05:45:00,0,605,0,347,5,26,12,672,10,83,115,226,159,309,201,536,280,Wednesday
06:00:00,0,598,0,345,3,31,14,668,11,86,121,225,157,308,203,532,279,Wednesday
06:15:00,0,605,0,347,5,26,12,672,10,83,115,226,159,309,201,536,278,Wednesday
06:30:00,0,605,0,347,5,26,12,672,10,83,115,226,159,309,201,536,277,Wednesday
06:45:00,0,605,0,347,5,34,12,672,10,83,115,226,159,309,201,536,276,Wednesday
07:00:00,0,604,20,346,11,34,23,671,30,80,115,222,157,309,200,535,274,Wednesday
07:15:00,0,581,160,333,42,159,229,585,183,27,114,218,144,296,190,540,239,Wednesday
07:30:00,0,572,157,328,42,150,241,577,189,52,110,215,143,295,188,533,232,Wednesday
07:45:00,0,562,153,321,42,152,246,571,196,71,109,212,142,290,187,527,229,Wednesday
08:00:00,0,549,143,312,42,160,246,562,198,130,108,205,142,286,185,520,225,Wednesday
08:15:00,0,537,136,300,42,157,246,554,195,131,106,208,140,282,183,511,220,Wednesday
08:30:00,0,526,130,288,43,162,246,540,190,128,104,203,137,279,180,502,209,Wednesday
08:45:00,0,518,127,275,44,160,245,533,184,119,103,198,136,274,176,495,209,Wednesday
09:00:00,0,516,104,259,43,150,243,516,175,106,100,186,132,263,172,488,206,Wednesday
09:15:00,0,501,90,243,43,152,241,495,169,90,96,174,129,254,168,483,203,Wednesday
09:30:00,0,486,73,222,42,159,233,479,160,71,90,160,126,244,166,479,202,Wednesday
09:45:00,0,469,56,197,41,164,233,460,150,52,84,145,123,234,162,477,202,Wednesday
10:00:00,0,445,37,163,40,164,215,439,137,36,76,126,119,221,158,474,202,Wednesday
10:15:00,0,421,16,133,39,157,207,414,126,18,66,108,115,212,153,472,201,Wednesday
10:30:00,0,399,10,110,38,165,200,392,115,12,59,92,112,202,151,468,200,Wednesday
10:45:00,0,377,3,91,36,166,181,375,107,10,53,87,111,192,147,467,200,Wednesday
11:00:00,0,351,2,68,35,155,171,357,99,10,45,68,109,183,142,465,200,Wednesday
11:15:00,0,331,1,55,34,167,161,339,94,10,40,62,107,177,140,464,199,Wednesday
11:30:00,0,314,2,48,33,165,158,319,89,10,38,58,105,170,138,463,198,Wednesday
11:45:00,0,300,2,41,32,172,159,324,86,10,35,53,104,168,137,462,197,Wednesday
12:00:00,0,296,2,40,31,175,156,323,84,10,32,50,103,166,135,462,196,Wednesday
12:15:00,0,292,2,43,30,165,151,329,85,10,31,52,105,169,134,462,195,Wednesday
12:30:00,0,281,5,40,30,170,146,338,87,7,32,57,104,170,133,472,195,Wednesday
12:45:00,0,283,8,43,31,173,145,334,88,7,33,62,105,171,133,473,200,Wednesday
13:00:00,0,288,9,46,30,171,145,342,95,7,35,64,106,170,136,473,200,Wednesday
13:15:00,0,295,14,53,31,165,146,346,96,8,38,70,107,175,140,474,200,Wednesday
13:30:00,0,306,19,62,32,173,146,362,98,8,40,75,108,186,142,474,202,Wednesday
13:45:00,0,314,21,70,31,171,146,379,99,10,42,79,109,189,143,473,200,Wednesday
14:00:00,0,324,20,73,33,170,140,382,105,9,45,82,110,188,144,472,201,Wednesday
14:15:00,0,337,26,83,33,183,154,394,109,9,48,83,112,193,146,466,207,Wednesday
14:30:00,0,349,31,95,33,182,154,410,117,10,51,88,113,198,148,468,207,Wednesday
14:45:00,0,362,33,94,33,182,154,414,126,11,54,96,115,203,150,467,208,Wednesday
15:00:00,0,371,32,106,34,182,149,426,135,11,56,97,116,201,152,466,210,Wednesday
15:15:00,0,381,36,112,35,182,149,432,143,13,58,100,118,207,155,465,213,Wednesday
15:30:00,0,389,38,117,35,176,149,419,147,14,60,103,121,216,158,466,216,Wednesday
15:45:00,0,397,40,120,37,176,146,437,148,15,63,105,124,213,160,468,224,Wednesday
16:00:00,0,404,36,124,37,179,146,451,149,16,64,106,122,214,161,469,231,Wednesday
16:15:00,0,413,37,128,38,179,151,462,153,18,66,108,123,220,163,470,241,Wednesday
16:30:00,0,423,39,130,38,171,148,476,157,20,69,110,124,226,165,471,247,Wednesday
16:45:00,0,433,40,132,39,179,150,488,159,20,71,115,122,229,165,470,253,Wednesday
17:00:00,0,442,42,140,39,171,152,497,161,22,73,114,122,232,165,470,258,Wednesday
17:15:00,0,456,44,139,40,164,155,510,167,25,75,117,126,238,167,469,262,Wednesday
17:30:00,0,468,49,145,41,167,158,524,172,28,78,120,123,244,168,468,265,Wednesday
17:45:00,0,476,53,148,42,168,159,536,177,33,81,123,122,246,166,463,268,Wednesday
18:00:00,0,481,57,152,42,165,161,540,181,36,84,124,120,247,164,456,269,Wednesday
18:15:00,0,486,61,161,42,172,161,545,185,41,88,130,120,250,163,457,270,Wednesday
18:30:00,0,492,66,164,42,173,161,559,188,47,92,133,129,253,162,453,270,Wednesday
18:45:00,0,493,71,170,42,174,168,562,191,53,96,137,121,255,160,447,270,Wednesday
19:00:00,0,490,75,176,42,174,168,574,192,62,99,142,121,259,159,439,269,Wednesday
19:15:00,0,482,76,183,42,176,171,587,196,70,103,149,120,264,159,432,269,Wednesday
19:30:00,0,484,77,199,42,174,172,598,199,80,106,157,130,269,162,424,268,Wednesday
19:45:00,0,490,81,210,42,168,172,607,201,90,109,165,123,274,163,415,268,Wednesday
20:00:00,0,497,85,223,42,167,172,617,194,103,108,170,125,279,166,411,268,Wednesday
20:15:00,0,503,90,238,43,163,165,629,185,115,112,180,129,284,169,409,268,Wednesday
20:30:00,0,512,94,250,44,142,159,633,175,122,113,186,132,291,173,411,269,Wednesday
20:45:00,0,520,99,262,44,134,127,641,159,126,113,191,132,295,175,414,270,Wednesday
21:00:00,0,528,104,273,38,69,64,650,94,130,113,196,134,299,177,417,271,Wednesday
21:15:00,0,530,105,275,36,69,55,652,84,130,113,197,135,300,178,419,271,Wednesday
21:30:00,0,533,106,277,36,69,55,654,84,131,113,198,136,301,179,420,272,Wednesday
