Time,PH Coesfelder Kreuz,PH Theater,PP Hörsterplatz,PH Alter Steinweg,Busparkplatz,PP Schlossplatz Nord,PP Schlossplatz Süd,PH Aegidii,PP Georgskommende,PH Münster Arkaden,PH Karstadt,PH Stubengasse,PH Bremer Platz,PH Engelenschanze,PH Bahnhofstraße,PH Cineplex,PH Stadthaus 3,Weekday
00:00:00,0,613,13,350,6,14,8,651,0,89,112,247,186,372,233,540,284,Monday
00:15:00,0,617,13,351,6,14,8,654,0,87,110,247,188,375,233,541,284,Monday
00:30:00,0,613,13,350,6,14,8,651,0,89,112,247,186,372,233,541,284,Monday
00:45:00,0,613,13,350,6,14,8,651,0,89,112,247,186,372,233,541,284,Monday
01:00:00,0,612,13,350,6,14,8,650,0,90,111,246,187,371,233,542,285,Monday
01:15:00,0,613,13,350,6,14,8,651,0,89,112,247,186,372,233,541,284,Monday
01:30:00,0,613,13,350,6,14,8,651,0,89,112,247,186,372,233,541,284,Monday
01:45:00,0,613,13,350,6,14,8,651,0,89,112,247,186,372,233,541,284,Monday
02:00:00,0,613,13,350,6,14,8,651,0,89,112,247,186,372,233,541,284,Monday
02:15:00,0,613,13,350,6,14,8,651,0,89,112,247,186,372,233,541,284,Monday
02:30:00,0,613,13,350,6,14,8,651,0,89,112,247,186,372,233,541,284,Monday
02:45:00,0,613,13,350,6,14,8,651,0,89,112,247,186,372,233,541,284,Monday
03:00:00,0,613,13,350,6,14,8,651,0,89,112,247,186,372,233,541,284,Monday
03:15:00,0,613,13,350,6,14,8,651,0,89,112,247,186,372,233,541,284,Monday
03:30:00,0,613,13,350,6,14,8,651,0,89,112,247,186,372,233,541,284,Monday
03:45:00,0,613,13,350,6,14,8,651,0,89,112,247,186,372,233,541,284,Monday
04:00:00,0,613,13,350,6,14,8,651,0,89,112,247,186,372,233,541,284,Monday
04:15:00,0,613,13,350,6,14,8,651,0,89,112,247,186,372,233,541,284,Monday
04:30:00,0,613,13,350,6,14,8,651,0,89,112,247,186,372,233,541,284,Monday
04:45:00,0,613,13,350,6,14,8,651,0,89,112,247,186,372,233,541,284,Monday
05:00:00,0,613,13,350,6,14,8,651,0,89,112,247,186,372,233,541,284,Monday
05:15:00,0,613,13,350,6,14,8,651,0,89,112,247,186,372,233,541,284,Monday
05:30:00,0,613,13,350,6,14,8,651,0,89,112,247,186,372,233,541,284,Monday
05:45:00,0,613,13,350,6,14,8,651,0,89,112,247,186,372,233,541,284,Monday
06:00:00,0,613,13,350,6,18,8,651,0,89,112,247,186,372,233,541,283,Monday
06:15:00,0,613,13,350,6,23,8,651,0,89,112,247,186,372,233,541,283,Monday
06:30:00,0,612,13,350,6,24,8,651,0,89,112,246,186,373,233,540,282,Monday
