Time,PH Coesfelder Kreuz,PH Theater,PP Hörsterplatz,PH Alter Steinweg,Busparkplatz,PP Schlossplatz Nord,PP Schlossplatz Süd,PH Aegidii,PP Georgskommende,PH Münster Arkaden,PH Karstadt,PH Stubengasse,PH Bremer Platz,PH Engelenschanze,PH Bahnhofstraße,PH Cineplex,PH Stadthaus 3,Weekday
00:00:00,0,618,4,346,4,21,6,675,5,87,110,227,169,329,210,507,279,Friday
00:15:00,0,618,4,346,4,21,6,675,5,87,110,227,169,329,210,507,279,Friday
00:30:00,0,618,4,346,4,21,6,675,5,87,110,227,169,329,210,507,279,Friday
00:45:00,0,618,4,346,4,21,6,675,5,87,110,227,169,329,210,507,279,Friday
01:00:00,0,618,4,346,4,21,6,675,5,87,110,227,169,329,210,508,279,Friday
01:15:00,0,618,4,346,4,21,6,675,5,87,110,227,169,329,210,508,279,Friday
01:30:00,0,618,4,346,4,21,6,675,5,87,110,227,169,329,210,508,279,Friday
01:45:00,0,618,4,346,4,21,6,675,5,87,110,227,169,329,210,508,279,Friday
02:00:00,0,618,4,346,4,21,6,674,5,89,112,226,169,327,209,508,279,Friday
02:15:00,0,618,4,346,4,21,6,675,5,87,110,227,169,329,210,509,279,Friday
02:30:00,0,618,4,346,4,21,6,675,5,87,110,227,169,329,210,509,279,Friday
02:45:00,0,618,4,346,4,21,6,675,5,87,110,227,169,329,210,509,279,Friday
03:00:00,0,618,4,346,4,21,6,675,5,87,110,227,169,329,210,509,279,Friday
03:15:00,0,618,4,346,4,21,6,675,5,87,110,227,169,329,210,509,279,Friday
03:30:00,0,618,4,346,4,21,6,675,5,87,110,227,169,329,210,509,279,Friday
03:45:00,0,618,4,346,4,21,6,675,5,87,110,227,169,329,210,509,279,Friday
04:00:00,0,618,4,346,4,21,6,675,5,87,110,227,169,329,210,509,279,Friday
04:15:00,0,618,4,346,4,21,6,675,5,87,110,227,169,329,210,509,279,Friday
04:30:00,0,618,4,346,4,21,6,675,5,87,110,227,169,329,210,509,279,Friday
04:45:00,0,618,4,346,4,21,6,675,5,87,110,227,169,329,210,509,279,Friday
05:00:00,0,618,4,346,4,21,6,675,5,87,110,227,169,329,210,509,279,Friday
05:15:00,0,618,4,346,4,21,6,675,5,87,110,227,169,329,210,509,279,Friday
05:30:00,0,618,4,346,4,21,6,675,5,87,110,227,169,329,210,509,279,Friday
05:45:00,0,618,4,346,4,21,6,675,5,87,110,227,169,329,210,509,279,Friday
06:00:00,0,614,0,345,5,24,7,671,5,85,108,226,165,325,209,510,278,Friday
06:15:00,0,618,4,346,4,21,6,675,5,87,110,227,169,329,210,508,278,Friday
06:30:00,0,623,4,346,4,25,6,680,5,86,110,227,169,329,210,508,278,Friday
06:45:00,0,618,4,346,4,29,6,675,20,87,110,226,167,328,208,508,276,Friday
07:00:00,0,617,27,345,10,29,22,676,33,87,110,225,167,329,209,507,275,Friday
07:15:00,0,600,164,337,48,153,212,624,207,34,108,209,159,310,204,540,251,Friday
07:30:00,0,593,162,333,48,169,216,622,218,40,106,205,158,306,203,536,247,Friday
07:45:00,0,582,155,327,48,164,216,612,222,69,104,201,157,303,201,530,246,Friday
08:00:00,0,572,146,318,47,168,218,601,220,131,102,196,156,296,199,524,244,Friday
08:15:00,0,561,138,310,47,153,218,606,218,131,102,195,154,290,196,517,242,Friday
08:30:00,0,551,132,301,47,164,217,596,215,126,101,189,151,285,192,511,240,Friday
08:45:00,0,534,125,283,46,165,216,588,210,116,99,181,146,277,185,505,237,Friday
09:00:00,0,533,112,270,45,158,213,565,204,105,97,173,142,267,182,502,235,Friday
09:15:00,0,523,99,256,45,161,213,550,199,95,94,163,140,260,180,499,234,Friday
09:30:00,0,512,86,239,44,162,210,535,199,83,90,153,138,258,178,497,233,Friday
09:45:00,0,498,69,216,43,165,208,519,193,69,86,141,135,248,173,495,234,Friday
10:00:00,0,479,48,186,42,165,205,493,185,52,82,126,132,238,170,492,233,Friday
10:15:00,0,464,31,153,40,172,198,472,178,35,74,108,131,229,167,489,233,Friday
10:30:00,0,448,21,136,39,157,198,457,171,22,67,94,129,217,165,487,232,Friday
10:45:00,0,431,11,119,38,165,194,437,167,16,60,82,128,208,162,484,231,Friday
11:00:00,0,411,7,94,37,166,192,424,160,10,55,73,127,199,159,482,229,Friday
11:15:00,0,399,6,93,36,170,185,415,157,7,53,69,126,198,157,480,228,Friday
11:30:00,0,386,5,72,35,172,183,410,154,6,50,66,125,194,155,480,226,Friday
11:45:00,0,375,6,72,34,172,184,406,150,6,48,62,122,190,152,479,225,Friday
12:00:00,0,366,7,63,32,168,170,397,149,4,47,62,120,185,150,477,225,Friday
12:15:00,0,362,10,70,32,168,168,388,150,5,48,64,120,181,149,477,229,Friday
12:30:00,0,365,13,68,31,162,171,400,149,9,48,70,120,185,153,476,233,Friday
12:45:00,0,364,16,72,31,167,171,407,148,9,47,73,116,185,153,474,237,Friday
13:00:00,0,364,17,75,30,158,166,412,147,9,47,76,114,185,153,474,240,Friday
13:15:00,0,366,19,78,31,164,165,420,148,10,47,78,114,187,155,474,244,Friday
