time_only,PH Coesfelder Kreuz,PH Theater,PP Hörsterplatz,PH Alter Steinweg,Busparkplatz,PP Schlossplatz Nord,PP Schlossplatz Süd,PH Aegidii,PP Georgskommende,PH Münster Arkaden,PH Karstadt,PH Stubengasse,PH Bremer Platz,PH Engelenschanze,PH Bahnhofstraße,PH Cineplex,PH Stadthaus 3
00:00:00,0,626,4,347,4,21,6,686,5,76,99,227,173,339,212,502,273
00:15:00,0,626,4,347,4,21,6,686,5,76,99,227,173,339,212,502,273
00:30:00,0,626,4,347,4,21,6,686,5,76,99,227,173,339,212,502,273
00:45:00,0,626,4,347,4,21,6,686,5,76,99,227,173,339,212,502,273
01:00:00,0,626,4,347,4,21,6,686,5,76,99,227,173,339,212,502,273
01:15:00,0,626,4,347,4,21,6,686,5,76,99,227,173,339,212,502,273
01:30:00,0,626,4,347,4,21,6,686,5,76,99,227,173,339,212,502,273
01:45:00,0,626,4,347,4,21,6,686,5,76,99,227,173,339,212,502,273
02:00:00,0,626,4,347,4,21,6,684,5,78,101,226,173,337,212,502,273
02:15:00,0,626,4,347,4,21,6,686,5,76,99,227,173,339,212,502,273
02:30:00,0,626,4,347,4,21,6,686,5,76,99,227,173,339,212,502,273
02:45:00,0,626,4,347,4,21,6,686,5,76,99,227,173,339,212,502,273
03:00:00,0,626,4,347,4,21,6,686,5,76,99,227,173,339,212,502,273
03:15:00,0,626,4,347,4,21,6,686,5,76,99,227,173,339,212,502,273
03:30:00,0,626,4,347,4,21,6,686,5,76,99,227,173,339,212,502,273
03:45:00,0,626,4,347,4,21,6,686,5,76,99,227,173,339,212,502,273
04:00:00,0,626,4,347,4,21,6,686,5,76,99,227,173,339,212,502,273
04:15:00,0,626,4,347,4,21,6,686,5,76,99,227,173,339,212,502,273
04:30:00,0,626,4,347,4,21,6,686,5,76,99,227,173,339,212,502,273
04:45:00,0,626,4,347,4,21,6,686,5,76,99,227,173,339,212,502,273
05:00:00,0,626,4,347,4,21,6,686,5,76,99,227,173,339,212,502,273
05:15:00,0,626,4,347,4,21,6,686,5,76,99,227,173,339,212,502,273
