time_only,PH Coesfelder Kreuz,PH Theater,PP Hörsterplatz,PH Alter Steinweg,Busparkplatz,PP Schlossplatz Nord,PP Schlossplatz Süd,PH Aegidii,PP Georgskommende,PH Münster Arkaden,PH Karstadt,PH Stubengasse,PH Bremer Platz,PH Engelenschanze,PH Bahnhofstraße,PH Cineplex,PH Stadthaus 3
00:00:00,ges,570,ges,339,ges,ges,ges,611,ges,159.0,181,227,145,269,195,535,316
00:15:00,ges,571,ges,340,ges,ges,ges,611,ges,159.0,181,228,145,269,195,537,316
00:30:00,ges,571,ges,340,ges,ges,ges,611,ges,159.0,181,228,145,269,195,539,316
00:45:00,ges,571,ges,340,ges,ges,ges,611,ges,159.0,181,228,145,269,195,540,317
01:00:00,ges,571,ges,340,ges,ges,ges,611,ges,159.0,181,228,145,269,195,543,317
01:15:00,ges,571,ges,340,ges,ges,ges,611,ges,159.0,181,228,145,269,195,544,317
01:30:00,ges,571,ges,340,ges,ges,ges,611,ges,159.0,181,228,145,269,195,546,317
01:45:00,ges,571,ges,340,ges,ges,ges,611,ges,159.0,181,228,145,269,195,548,317
02:00:00,ges,571,ges,340,ges,ges,ges,611,ges,159.0,181,228,145,269,195,549,317
02:15:00,ges,571,ges,340,ges,ges,ges,611,ges,159.0,181,228,145,269,195,550,317
02:30:00,ges,571,ges,340,ges,ges,ges,611,ges,159.0,181,228,145,269,195,550,317
02:45:00,ges,571,ges,340,ges,ges,ges,611,ges,159.0,181,228,145,269,195,550,317
03:00:00,ges,571,ges,340,ges,ges,ges,611,ges,159.0,181,228,145,269,195,550,317
03:15:00,ges,571,ges,340,ges,ges,ges,611,ges,159.0,181,228,145,269,195,550,317
03:30:00,ges,571,ges,340,ges,ges,ges,611,ges,159.0,181,228,145,269,195,550,317
03:45:00,ges,571,ges,340,ges,ges,ges,611,ges,159.0,181,228,145,269,195,550,318
04:00:00,ges,571,ges,340,ges,ges,ges,611,ges,159.0,181,228,145,269,195,550,318
04:15:00,ges,571,ges,340,ges,ges,ges,611,ges,159.0,181,228,145,269,195,550,317
