time_only,PH Coesfelder Kreuz,PH Theater,PP Hörsterplatz,PH Alter Steinweg,Busparkplatz,PP Schlossplatz Nord,PP Schlossplatz Süd,PH Aegidii,PP Georgskommende,PH Münster Arkaden,PH Karstadt,PH Stubengasse,PH Bremer Platz,PH Engelenschanze,PH Bahnhofstraße,PH Cineplex,PH Stadthaus 3
00:00:00,0,630,13,351,6,10,8,668,0,75,101,249,194,387,236,540,278
00:15:00,0,630,13,351,6,10,8,668,0,75,101,249,194,387,236,540,278
00:30:00,0,630,13,351,6,10,8,668,0,75,101,249,194,387,236,540,278
00:45:00,0,630,13,351,6,10,8,668,0,75,101,249,194,387,236,540,278
01:00:00,0,630,13,351,6,10,8,668,0,77,100,249,195,386,236,542,278
01:15:00,0,630,13,351,6,10,8,668,0,75,101,249,194,387,236,540,278
01:30:00,0,630,13,351,6,10,8,668,0,75,101,249,194,387,236,540,278
01:45:00,0,630,13,351,6,10,8,668,0,75,101,249,194,387,236,540,278
02:00:00,0,630,13,351,6,10,8,668,0,75,101,249,194,387,236,540,278
02:15:00,0,630,13,351,6,10,8,668,0,75,101,249,194,387,236,540,278
02:30:00,0,630,13,351,6,10,8,668,0,75,101,249,194,387,236,540,278
02:45:00,0,630,13,351,6,10,8,668,0,75,101,249,194,387,236,540,278
03:00:00,0,630,13,351,6,10,8,668,0,75,101,249,194,387,236,540,278
03:15:00,0,630,13,351,6,10,8,668,0,75,101,249,194,387,236,540,278
03:30:00,0,630,13,351,6,10,8,668,0,75,101,249,194,387,236,540,278
03:45:00,0,630,13,351,6,10,8,668,0,75,101,249,194,387,236,540,278
04:00:00,0,630,13,351,6,10,8,668,0,75,101,249,194,387,236,540,278
04:15:00,0,630,13,351,6,10,8,668,0,75,101,249,194,387,236,540,278
04:30:00,0,630,13,351,6,10,8,668,0,75,101,249,194,387,236,540,278
04:45:00,0,630,13,351,6,10,8,668,0,75,101,249,194,387,236,540,278
05:00:00,0,630,13,351,6,10,8,668,0,75,101,249,194,387,236,540,278
05:15:00,0,630,13,351,6,10,8,668,0,75,101,249,194,387,236,540,278
05:30:00,0,630,13,351,6,10,8,668,0,75,101,249,194,387,236,540,278
05:45:00,0,630,13,351,6,10,8,668,0,75,101,249,194,387,236,540,278
06:00:00,0,630,13,351,6,10,8,668,0,75,101,249,194,387,236,540,278
06:15:00,0,630,13,351,6,10,8,668,0,75,101,249,194,387,236,540,278
