time_only,PH Coesfelder Kreuz,PH Theater,PP Hörsterplatz,PH Alter Steinweg,Busparkplatz,PP Schlossplatz Nord,PP Schlossplatz Süd,PH Aegidii,PP Georgskommende,PH Münster Arkaden,PH Karstadt,PH Stubengasse,PH Bremer Platz,PH Engelenschanze,PH Bahnhofstraße,PH Cineplex,PH Stadthaus 3
00:00:00,ges,537,ges,347,ges,ges,ges,568,ges,162,169,231,147,297,214,548,319
00:15:00,ges,537,ges,347,ges,ges,ges,568,ges,162,169,231,147,297,214,548,319
00:30:00,ges,537,ges,347,ges,ges,ges,568,ges,162,169,231,147,297,214,550,319
00:45:00,ges,537,ges,347,ges,ges,ges,568,ges,162,169,231,147,297,214,550,319
01:00:00,ges,537,ges,347,ges,ges,ges,568,ges,162,169,231,147,297,214,550,319
01:15:00,ges,537,ges,347,ges,ges,ges,568,ges,162,169,231,147,297,214,551,319
01:30:00,ges,537,ges,347,ges,ges,ges,568,ges,162,169,231,147,297,214,551,319
01:45:00,ges,537,ges,347,ges,ges,ges,568,ges,162,169,231,147,297,214,552,319
02:00:00,ges,537,ges,347,ges,ges,ges,568,ges,162,169,231,147,297,214,553,319
02:15:00,ges,537,ges,347,ges,ges,ges,568,ges,162,169,231,147,297,214,553,319
02:30:00,ges,537,ges,347,ges,ges,ges,568,ges,162,169,231,147,297,214,553,319
02:45:00,ges,537,ges,347,ges,ges,ges,568,ges,162,169,231,147,297,214,553,319
03:00:00,ges,537,ges,347,ges,ges,ges,568,ges,162,169,231,147,297,214,553,319
03:15:00,ges,537,ges,347,ges,ges,ges,568,ges,162,169,231,147,297,214,553,319
03:30:00,ges,537,ges,347,ges,ges,ges,568,ges,162,169,231,147,297,214,553,319
03:45:00,ges,537,ges,347,ges,ges,ges,568,ges,162,169,231,147,297,214,553,319
04:00:00,ges,537,ges,347,ges,ges,ges,568,ges,162,169,231,147,297,214,553,319
04:15:00,ges,537,ges,347,ges,ges,ges,568,ges,162,169,231,147,297,214,553,319
04:30:00,ges,537,ges,347,ges,ges,ges,568,ges,162,169,231,147,297,214,553,319
04:45:00,ges,537,ges,347,ges,ges,ges,568,ges,162,169,231,147,297,214,553,319
