Time,PH Coesfelder Kreuz,PH Theater,PP Hörsterplatz,PH Alter Steinweg,Busparkplatz,PP Schlossplatz Nord,PP Schlossplatz Süd,PH Aegidii,PP Georgskommende,PH Münster Arkaden,PH Karstadt,PH Stubengasse,PH Bremer Platz,PH Engelenschanze,PH Bahnhofstraße,PH Cineplex,PH Stadthaus 3,Weekday
00:00:00,0,596,2,307,7,30,4,658,10,77,113,200,156,276,183,428,264,Saturday
00:15:00,0,597,2,308,7,30,4,658,10,79,114,200,156,276,183,431,265,Saturday
00:30:00,0,597,2,308,7,30,4,658,10,79,113,200,156,276,183,432,265,Saturday
00:45:00,0,597,2,308,7,30,4,658,10,79,113,200,156,276,183,433,265,Saturday
01:00:00,0,597,2,308,7,30,4,658,10,79,113,200,156,276,183,434,266,Saturday
01:15:00,0,597,2,308,7,30,4,658,10,79,114,200,156,276,183,435,266,Saturday
01:30:00,0,597,2,308,7,30,4,658,10,79,114,200,156,276,183,436,266,Saturday
01:45:00,0,597,2,308,7,30,4,658,10,79,114,200,156,276,183,437,266,Saturday
02:00:00,0,597,2,308,7,30,4,658,10,79,114,200,156,276,183,438,266,Saturday
02:15:00,0,597,2,308,7,30,4,658,10,79,114,200,156,276,183,438,266,Saturday
02:30:00,0,597,2,308,7,30,4,658,10,79,114,200,156,276,183,438,266,Saturday
02:45:00,0,597,2,308,7,30,4,658,10,79,114,200,156,276,183,439,266,Saturday
03:00:00,0,597,2,308,7,30,4,658,10,79,114,200,156,276,183,439,266,Saturday
03:15:00,0,597,2,308,7,30,4,658,10,79,114,200,156,276,183,439,266,Saturday
03:30:00,0,597,2,308,7,30,4,658,10,79,114,200,156,276,183,439,266,Saturday
03:45:00,0,597,2,308,7,30,4,658,10,79,114,200,156,276,183,439,266,Saturday
04:00:00,0,597,2,308,7,30,4,658,10,79,114,200,156,276,183,439,266,Saturday
04:15:00,0,597,2,308,7,30,4,658,10,79,114,200,156,276,183,439,266,Saturday
04:30:00,0,597,2,308,7,30,4,658,10,79,114,200,156,276,183,439,266,Saturday
04:45:00,0,597,2,308,7,30,4,658,10,79,114,200,156,276,183,439,266,Saturday
05:00:00,0,597,2,308,7,30,4,658,10,79,114,200,156,276,183,439,266,Saturday
05:15:00,0,597,2,308,7,30,4,658,10,79,114,200,156,276,183,439,266,Saturday
05:30:00,0,597,2,308,7,30,4,658,10,79,114,200,156,276,183,439,266,Saturday
05:45:00,0,597,2,308,7,30,4,658,10,79,114,200,156,276,183,439,267,Saturday
06:00:00,0,596,3,309,6,24,4,656,11,84,119,201,154,275,183,442,268,Saturday
06:15:00,0,597,2,308,7,30,4,658,10,79,114,200,156,276,183,440,267,Saturday
06:30:00,0,597,2,308,7,30,4,658,10,79,114,200,156,276,183,440,267,Saturday
06:45:00,0,606,5,310,8,38,4,663,14,77,114,200,161,280,183,439,267,Saturday
07:00:00,0,597,23,311,10,43,36,657,26,79,114,200,158,277,183,439,267,Saturday
07:15:00,0,614,166,337,42,167,240,612,166,34,113,209,169,289,188,551,282,Saturday
07:30:00,0,610,167,336,44,148,251,601,175,46,113,209,169,287,187,551,282,Saturday
07:45:00,0,608,165,334,44,155,251,598,172,89,114,208,169,285,186,550,282,Saturday
08:00:00,0,606,163,332,44,165,251,578,168,148,110,206,168,286,186,550,281,Saturday
08:15:00,0,605,161,328,45,152,251,575,164,146,109,205,168,286,186,550,281,Saturday
08:30:00,0,604,158,325,45,159,247,570,172,140,108,203,167,286,185,549,280,Saturday
08:45:00,96,598,153,320,45,158,246,563,169,130,107,199,166,283,183,549,280,Saturday
09:00:00,96,588,149,311,44,175,249,552,162,115,104,189,165,280,182,548,279,Saturday
09:15:00,96,576,136,297,42,159,248,527,159,94,99,176,163,276,180,547,279,Saturday
09:30:00,96,559,123,276,40,182,247,502,151,69,93,161,161,269,178,545,278,Saturday
09:45:00,96,536,106,243,38,159,245,466,141,46,86,141,158,259,174,542,277,Saturday
10:00:00,96,503,81,197,34,175,238,427,127,20,75,114,152,246,169,537,276,Saturday
10:15:00,95,468,57,150,31,182,225,381,110,6,63,81,148,230,162,532,274,Saturday
10:30:00,97,429,39,109,29,163,207,353,93,2,51,54,143,211,155,525,272,Saturday
10:45:00,95,391,23,81,26,184,187,293,78,1,44,36,140,200,150,521,271,Saturday
11:00:00,76,355,10,47,24,179,169,259,63,0,38,23,136,183,142,516,268,Saturday
11:15:00,93,314,4,29,22,170,157,196,52,0,33,16,129,163,133,511,267,Saturday
11:30:00,93,280,2,15,19,142,132,173,41,0,26,11,124,151,124,504,265,Saturday
11:45:00,92,236,1,7,16,116,95,129,35,0,23,8,123,131,115,494,264,Saturday
12:00:00,92,200,1,4,14,100,76,88,25,0,21,5,117,113,108,484,262,Saturday
12:15:00,91,162,1,3,13,98,61,74,21,0,18,4,111,89,99,476,261,Saturday
12:30:00,90,149,0,3,10,86,42,61,19,0,16,4,110,73,90,468,259,Saturday
12:45:00,89,119,1,2,9,67,39,59,17,0,14,4,104,63,82,461,258,Saturday
13:00:00,88,107,1,2,8,63,23,58,15,0,14,4,95,51,75,456,257,Saturday
13:15:00,87,103,1,3,6,57,9,58,15,0,14,5,95,44,71,451,256,Saturday
13:30:00,86,95,1,4,5,45,8,63,15,0,14,6,95,41,63,446,255,Saturday
13:45:00,86,94,1,4,6,47,8,56,15,0,14,5,94,37,60,440,254,Saturday
14:00:00,85,95,1,5,6,60,9,67,16,0,14,6,89,36,53,435,252,Saturday
14:15:00,85,101,2,5,7,60,32,77,20,0,14,6,85,34,54,431,252,Saturday
14:30:00,84,114,2,6,9,61,33,86,26,0,15,6,85,31,55,428,252,Saturday
14:45:00,83,121,2,7,10,66,33,95,35,0,14,7,84,31,51,425,251,Saturday
15:00:00,83,145,4,8,10,73,40,112,46,0,16,8,86,35,53,422,251,Saturday
15:15:00,82,160,4,9,11,71,40,118,57,0,17,10,91,39,51,419,251,Saturday
15:30:00,82,186,6,11,13,67,40,117,61,0,17,10,91,43,52,419,250,Saturday
15:45:00,82,197,8,11,14,95,40,136,69,0,18,11,90,46,54,419,250,Saturday
16:00:00,82,207,10,12,15,97,40,151,72,1,19,13,91,51,57,417,250,Saturday
16:15:00,83,228,14,16,17,105,40,171,77,1,21,14,93,62,60,416,250,Saturday
16:30:00,83,255,18,18,19,109,40,186,86,1,23,16,97,68,61,410,250,Saturday
16:45:00,84,271,21,27,21,122,40,213,91,0,27,17,98,76,63,404,249,Saturday
17:00:00,76,291,27,34,24,129,38,233,97,0,30,20,100,88,68,399,249,Saturday
17:15:00,76,319,31,44,25,127,40,254,106,1,35,27,101,101,71,392,248,Saturday
17:30:00,78,331,37,53,27,122,40,285,114,1,41,34,99,109,72,384,248,Saturday
17:45:00,79,349,40,62,29,130,40,316,122,3,45,38,100,118,74,373,248,Saturday
18:00:00,80,367,43,70,31,121,40,336,130,5,51,46,100,135,76,363,246,Saturday
18:15:00,80,384,47,81,33,115,40,368,138,10,56,55,103,144,79,354,245,Saturday
18:30:00,80,400,51,95,34,116,40,392,145,15,63,67,102,153,82,342,243,Saturday
18:45:00,80,409,57,104,35,116,40,419,151,23,69,74,104,161,86,330,240,Saturday
19:00:00,80,408,57,115,36,97,40,443,157,31,78,82,104,170,88,313,236,Saturday
19:15:00,80,404,55,127,37,106,40,465,163,43,83,92,105,178,92,298,233,Saturday
19:30:00,80,409,58,141,37,113,40,488,169,54,89,102,107,188,96,276,228,Saturday
19:45:00,80,414,61,152,38,102,40,508,173,67,95,112,109,191,101,254,225,Saturday
20:00:00,80,423,64,170,38,102,40,527,177,83,101,123,111,199,104,241,223,Saturday
20:15:00,80,434,69,188,39,90,40,546,182,105,110,136,113,206,107,230,222,Saturday
20:30:00,80,446,76,202,40,85,40,563,187,117,113,142,118,214,119,223,223,Saturday
20:45:00,80,456,79,214,36,61,41,574,185,124,114,150,122,224,128,221,223,Saturday
21:00:00,80,465,83,224,11,27,13,586,140,130,114,155,125,230,131,223,224,Saturday
21:15:00,80,468,84,227,10,27,13,590,134,131,114,157,126,232,132,225,224,Saturday
21:30:00,80,471,85,230,10,27,13,595,131,132,114,159,124,233,133,226,224,Saturday
21:45:00,80,475,86,232,10,27,13,598,131,133,114,160,125,235,134,228,224,Saturday
22:00:00,80,478,87,234,10,27,13,600,131,133,114,161,126,236,134,230,224,Saturday
22:15:00,80,481,86,236,10,27,13,601,132,134,114,162,126,237,135,233,225,Saturday
22:30:00,80,485,83,237,10,27,13,603,132,135,114,163,127,238,136,239,226,Saturday
22:45:00,80,487,83,238,10,27,13,604,132,135,114,163,127,239,137,247,228,Saturday
23:00:00,80,489,83,239,10,27,13,605,132,136,114,164,128,239,137,256,229,Saturday
23:15:00,0,583,11,304,3,15,0,646,8,93,114,195,152,265,165,393,251,Saturday
23:30:00,0,580,11,304,3,15,0,642,8,95,115,195,154,262,165,397,252,Saturday
23:45:00,0,581,11,305,3,15,0,644,8,95,115,196,151,263,165,400,252,Saturday
