Datum und Uhrzeit,PH Coesfelder Kreuz,PH Theater,PP Hörsterplatz,PH Alter Steinweg,Busparkplatz,PP Schlossplatz Nord,PP Schlossplatz Süd,PH Aegidii,PP Georgskommende,PH Münster Arkaden,PH Karstadt,PH Stubengasse,PH Bremer Platz,PH Engelenschanze,PH Bahnhofstraße,PH Cineplex,PH Stadthaus 3
2024-01-06 00:00:00,0,647,0,331,0,0,0,750,0,150,161,210,162,344,210,468,256
2024-01-06 00:15:00,0,647,0,331,0,0,0,750,0,150,161,210,162,344,210,468,256
2024-01-06 00:30:00,0,647,0,331,0,0,0,750,0,150,161,210,162,344,210,468,256
2024-01-06 00:45:00,0,647,0,331,0,0,0,750,0,150,161,210,162,344,210,468,256
2024-01-06 01:00:00,0,647,0,331,0,0,0,750,0,150,161,210,162,344,210,468,256
2024-01-06 01:15:00,0,647,0,331,0,0,0,750,0,150,161,210,162,344,210,468,256
2024-01-06 01:30:00,0,647,0,331,0,0,0,750,0,150,161,210,162,344,210,468,256
2024-01-06 01:45:00,0,647,0,331,0,0,0,750,0,150,161,210,162,344,210,468,256
2024-01-06 02:00:00,0,647,0,331,0,0,0,750,0,150,161,210,162,344,210,468,256
2024-01-06 02:15:00,0,647,0,331,0,0,0,750,0,150,161,210,162,344,210,468,256
2024-01-06 02:30:00,0,647,0,331,0,0,0,750,0,150,161,210,162,344,210,468,256
2024-01-06 02:45:00,0,647,0,331,0,0,0,750,0,150,161,210,162,344,210,468,256
2024-01-06 03:00:00,0,647,0,331,0,0,0,750,0,150,161,210,162,344,210,468,256
2024-01-06 03:15:00,0,647,0,331,0,0,0,750,0,150,161,210,162,344,210,468,256
2024-01-06 03:30:00,0,647,0,331,0,0,0,750,0,150,161,210,162,344,210,468,256
2024-01-06 03:45:00,0,647,0,331,0,0,0,750,0,150,161,210,162,344,210,468,256
2024-01-06 04:00:00,0,647,0,331,0,0,0,750,0,150,161,210,162,344,210,468,256
2024-01-06 04:15:00,0,647,0,331,0,0,0,750,0,150,161,210,162,344,210,468,256
2024-01-06 04:30:00,0,647,0,331,0,0,0,750,0,150,161,210,162,344,210,468,256
2024-01-06 04:45:00,0,647,0,331,0,0,0,750,0,150,161,210,162,344,210,468,256
2024-01-06 05:00:00,0,647,0,331,0,0,0,750,0,150,161,210,162,344,210,468,256
2024-01-06 05:15:00,0,647,0,331,0,0,0,750,0,150,161,210,162,344,210,468,256
2024-01-06 05:30:00,0,647,0,331,0,0,0,750,0,150,161,210,162,344,210,468,256
2024-01-06 05:45:00,0,647,0,331,0,0,0,750,0,150,161,210,162,344,210,468,256
2024-01-06 06:00:00,0,647,0,331,0,0,0,750,0,150,161,210,162,344,210,468,256
2024-01-06 06:15:00,0,647,0,331,0,0,0,750,0,150,161,210,162,344,210,468,256
2024-01-06 06:30:00,0,647,0,331,0,0,0,750,0,150,161,210,162,344,210,468,256
2024-01-06 06:45:00,0,647,0,331,0,0,0,750,0,150,161,210,162,344,210,468,256
2024-01-06 07:00:00,0,647,0,331,0,0,0,750,0,150,161,210,162,344,210,468,256
2024-01-06 07:15:00,0,667,187,353,32,0,430,750,230,0,161,221,176,379,234,572,265
2024-01-06 07:30:00,0,665,186,353,32,0,430,750,229,150,160,220,174,378,233,572,265
2024-01-06 07:45:00,0,663,182,354,32,0,430,750,229,150,161,219,172,378,232,571,265
2024-01-06 08:00:00,0,660,184,352,32,0,430,750,228,150,161,217,175,378,231,571,265
2024-01-06 08:15:00,0,658,186,351,32,0,430,750,227,150,159,216,180,379,231,571,266
2024-01-06 08:30:00,0,657,185,350,32,0,430,750,225,150,158,219,180,379,233,571,266
2024-01-06 08:45:00,0,655,181,342,31,0,430,750,221,144,154,215,175,378,234,570,266
2024-01-06 09:00:00,0,646,170,336,30,0,430,750,220,133,154,204,174,375,232,570,266
2024-01-06 09:15:00,0,636,159,330,27,0,430,750,214,120,147,196,175,374,230,571,266
2024-01-06 09:30:00,0,625,150,307,30,350,430,750,208,88,140,184,178,370,230,571,265
2024-01-06 09:45:00,0,607,131,275,29,0,430,750,199,58,122,166,167,358,227,569,265
2024-01-06 10:00:00,0,580,114,229,27,0,430,750,190,34,104,144,165,348,223,568,267
2024-01-06 10:15:00,0,555,101,194,25,350,430,750,177,9,82,113,163,336,223,567,269
2024-01-06 10:30:00,0,533,85,162,25,0,430,732,156,0,64,88,157,322,217,566,269
2024-01-06 10:45:00,0,497,66,127,26,350,330,719,133,0,49,66,158,316,214,566,269
2024-01-06 11:00:00,0,462,37,82,24,350,330,720,115,0,45,52,153,300,207,567,269
2024-01-06 11:15:00,0,437,0,43,22,350,330,99,105,0,38,48,151,284,206,566,268
2024-01-06 11:30:00,0,407,0,21,19,350,330,86,87,0,30,41,150,268,204,565,268
2024-01-06 11:45:00,0,360,0,0,17,350,200,76,79,0,27,22,147,253,202,557,268
2024-01-06 12:00:00,0,323,0,0,13,350,200,69,72,0,17,0,139,239,198,541,268
2024-01-06 12:15:00,0,286,0,0,12,350,100,70,69,0,9,0,136,224,193,533,268
2024-01-06 12:30:00,0,246,0,0,11,350,100,75,70,0,0,0,138,218,190,526,268
2024-01-06 12:45:00,0,215,0,0,10,350,100,90,63,0,0,0,130,199,183,521,267
2024-01-06 13:00:00,0,198,0,0,10,350,100,104,63,0,0,0,127,183,177,517,267
2024-01-06 13:15:00,0,193,0,0,9,350,30,8,64,0,0,0,121,167,169,515,267
2024-01-06 13:30:00,0,171,0,2,7,350,30,7,57,0,0,0,124,154,162,512,262
2024-01-06 13:45:00,0,155,1,3,5,350,30,8,58,0,0,0,131,125,158,513,258
2024-01-06 14:00:00,0,153,0,0,35,350,30,7,57,0,0,0,130,106,148,520,259
2024-01-06 14:15:00,0,152,3,0,36,350,30,24,61,0,0,0,129,90,131,518,258
2024-01-06 14:30:00,0,180,1,5,31,350,30,70,65,0,0,0,121,90,127,515,258
2024-01-06 14:45:00,0,211,0,2,32,350,30,38,73,0,0,1,118,90,122,512,259
2024-01-06 15:00:00,0,221,2,4,34,350,30,85,87,0,0,0,119,87,118,509,258
2024-01-06 15:15:00,0,255,12,1,35,350,30,117,101,0,0,5,122,87,127,508,258
2024-01-06 15:30:00,0,269,5,0,34,350,30,146,104,0,7,1,125,91,135,505,258
2024-01-06 15:45:00,0,296,6,9,29,350,30,180,114,4,8,0,119,108,132,505,258
2024-01-06 16:00:00,0,336,11,0,33,350,30,115,127,17,0,1,109,123,132,504,259
2024-01-06 16:15:00,0,363,21,6,34,350,30,145,139,30,0,0,107,131,134,497,257
2024-01-06 16:30:00,0,383,29,6,36,0,30,186,154,16,0,0,115,141,129,483,257
2024-01-06 16:45:00,0,410,25,20,40,350,30,224,162,0,12,6,117,163,126,479,254
2024-01-06 17:00:00,0,427,27,40,40,350,30,273,179,0,21,8,109,180,133,460,257
2024-01-06 17:15:00,0,448,21,50,42,350,30,322,186,0,31,2,105,188,141,463,256
2024-01-06 17:30:00,0,443,28,63,41,0,30,389,202,0,42,16,111,204,142,461,256
2024-01-06 17:45:00,0,441,37,72,43,350,30,429,211,0,53,24,102,221,142,446,255
2024-01-06 18:00:00,0,439,45,76,46,0,30,479,213,1,69,34,107,220,152,440,256
2024-01-06 18:15:00,0,450,43,77,47,0,30,523,216,10,76,55,102,230,148,430,254
2024-01-06 18:30:00,0,458,57,90,47,0,30,558,224,10,91,68,107,244,148,423,254
2024-01-06 18:45:00,0,470,73,113,46,0,30,593,228,28,100,76,116,259,146,414,255
2024-01-06 19:00:00,0,480,70,125,46,350,30,626,234,37,110,92,111,270,147,400,255
2024-01-06 19:15:00,0,487,74,132,46,350,30,652,234,43,119,100,111,279,153,379,255
2024-01-06 19:30:00,0,495,80,136,44,350,30,677,239,52,127,104,114,290,155,369,252
2024-01-06 19:45:00,0,496,85,144,44,350,30,706,241,73,138,112,118,291,155,360,249
2024-01-06 20:00:00,0,500,80,161,43,350,30,724,243,88,144,132,119,296,164,340,245
2024-01-06 20:15:00,0,503,82,177,43,350,30,740,244,112,152,146,110,301,163,307,246
2024-01-06 20:30:00,0,513,91,196,43,350,30,750,245,131,152,152,111,309,164,302,245
2024-01-06 20:45:00,0,517,96,209,42,350,30,750,247,138,156,157,117,318,180,301,244
2024-01-06 21:00:00,0,520,97,223,0,0,30,750,248,143,156,162,113,321,184,293,244
2024-01-06 21:15:00,0,520,97,223,0,0,30,750,248,143,156,162,113,321,184,293,244
2024-01-06 21:30:00,0,520,97,223,0,0,30,750,248,143,156,162,113,321,184,293,244
2024-01-06 21:45:00,0,520,97,223,0,0,30,750,248,143,156,162,113,321,184,293,244
2024-01-06 22:00:00,0,520,97,223,0,0,30,750,248,143,156,162,113,321,184,293,244
2024-01-06 22:15:00,0,520,97,223,0,0,30,750,248,143,156,162,113,321,184,293,244
2024-01-06 22:30:00,0,520,97,223,0,0,30,750,248,143,156,162,113,321,184,293,244
2024-01-06 22:45:00,0,520,97,223,0,0,30,750,248,143,156,162,113,321,184,293,244
2024-01-06 23:00:00,0,520,97,223,0,0,30,750,248,143,156,162,113,321,184,293,244
2024-01-06 23:15:00,0,566,0,315,0,0,0,750,0,150,156,196,166,361,227,417,252
2024-01-06 23:30:00,0,566,0,315,0,0,0,750,0,150,156,196,166,361,227,417,252
2024-01-06 23:45:00,0,566,0,315,0,0,0,750,0,150,156,196,166,361,227,417,252
2024-01-13 00:00:00,0,618,0,104,0,0,160,750,0,150,152,218,132,226,188,168,164
2024-01-13 00:15:00,0,618,0,104,0,0,160,750,0,150,152,218,132,226,188,168,164
2024-01-13 00:30:00,0,618,0,104,0,0,160,750,0,150,152,218,132,226,188,168,164
2024-01-13 00:45:00,0,618,0,104,0,0,160,750,0,150,152,218,132,226,188,168,164
2024-01-13 01:00:00,0,618,0,104,0,0,160,750,0,150,152,218,132,226,188,168,164
2024-01-13 01:15:00,0,618,0,104,0,0,160,750,0,150,152,218,132,226,188,168,164
2024-01-13 01:30:00,0,618,0,104,0,0,160,750,0,150,152,218,132,226,188,168,164
2024-01-13 01:45:00,0,618,0,104,0,0,160,750,0,150,152,218,132,226,188,168,164
2024-01-13 02:00:00,0,618,0,104,0,0,160,750,0,150,152,218,132,226,188,168,164
2024-01-13 02:15:00,0,618,0,104,0,0,160,750,0,150,152,218,132,226,188,168,164
2024-01-13 02:30:00,0,618,0,104,0,0,160,750,0,150,152,218,132,226,188,168,164
2024-01-13 02:45:00,0,618,0,104,0,0,160,750,0,150,152,218,132,226,188,168,164
2024-01-13 03:00:00,0,618,0,104,0,0,160,750,0,150,152,218,132,226,188,168,164
2024-01-13 03:15:00,0,618,0,104,0,0,160,750,0,150,152,218,132,226,188,168,164
2024-01-13 03:30:00,0,618,0,104,0,0,160,750,0,150,152,218,132,226,188,168,164
2024-01-13 03:45:00,0,618,0,104,0,0,160,750,0,150,152,218,132,226,188,168,164
2024-01-13 04:00:00,0,618,0,104,0,0,160,750,0,150,152,218,132,226,188,168,164
2024-01-13 04:15:00,0,618,0,104,0,0,160,750,0,150,152,218,132,226,188,168,164
2024-01-13 04:30:00,0,618,0,104,0,0,160,750,0,150,152,218,132,226,188,168,164
2024-01-13 04:45:00,0,618,0,104,0,0,160,750,0,150,152,218,132,226,188,168,164
2024-01-13 05:00:00,0,618,0,104,0,0,160,750,0,150,152,218,132,226,188,168,164
2024-01-13 05:15:00,0,618,0,104,0,0,160,750,0,150,152,218,132,226,188,168,164
2024-01-13 05:30:00,0,618,0,104,0,0,160,750,0,150,152,218,132,226,188,168,164
2024-01-13 05:45:00,0,618,0,104,0,0,160,750,0,150,152,218,132,226,188,168,164
2024-01-13 06:00:00,0,618,0,104,0,0,160,750,0,150,152,218,132,226,188,168,164
2024-01-13 06:15:00,0,618,0,104,0,0,160,750,0,150,152,218,132,226,188,168,164
2024-01-13 06:30:00,0,618,0,104,0,0,160,750,0,150,152,218,132,226,188,168,164
2024-01-13 06:45:00,0,618,0,104,0,0,160,750,0,150,152,218,132,226,188,168,164
2024-01-13 07:00:00,0,618,0,104,0,0,160,750,0,150,152,218,132,226,188,168,164
2024-01-13 07:15:00,0,649,154,162,28,0,425,592,0,0,150,239,141,330,207,568,264
2024-01-13 07:30:00,0,647,161,162,28,0,425,589,0,0,159,240,141,330,209,568,261
2024-01-13 07:45:00,0,648,162,160,57,350,425,590,0,150,158,238,194,330,209,568,260
2024-01-13 08:00:00,0,644,162,159,57,350,425,589,0,150,158,237,190,329,207,563,257
2024-01-13 08:15:00,0,644,165,159,57,0,425,588,0,150,158,237,191,332,208,558,250
2024-01-13 08:30:00,0,643,163,160,57,350,425,583,0,141,159,235,189,332,208,549,229
2024-01-13 08:45:00,0,632,160,155,57,350,425,587,122,133,158,232,186,335,209,536,199
2024-01-13 09:00:00,0,626,156,140,56,350,425,573,114,120,148,216,189,339,214,517,166
2024-01-13 09:15:00,0,623,151,131,54,350,425,564,216,96,141,204,187,340,213,507,152
2024-01-13 09:30:00,0,613,133,113,52,350,385,555,213,68,134,177,187,329,212,496,146
2024-01-13 09:45:00,0,593,118,86,52,350,385,547,208,46,116,167,183,321,208,484,141
2024-01-13 10:00:00,0,563,97,44,45,350,385,537,192,16,101,136,184,311,208,457,135
2024-01-13 10:15:00,0,547,81,9,42,350,385,526,177,0,86,101,180,303,211,427,129
2024-01-13 10:30:00,0,512,58,0,38,0,385,501,160,0,84,69,178,293,202,384,119
2024-01-13 10:45:00,0,468,50,1,34,350,385,404,149,0,74,46,167,285,201,345,110
2024-01-13 11:00:00,0,428,34,3,32,350,255,298,142,0,71,20,158,273,199,301,99
2024-01-13 11:15:00,0,393,22,1,28,0,255,291,138,0,58,20,156,266,198,278,92
2024-01-13 11:30:00,0,355,0,0,24,0,255,229,125,0,57,2,149,249,194,250,88
2024-01-13 11:45:00,0,299,0,0,24,350,255,232,121,0,35,1,144,246,186,229,84
2024-01-13 12:00:00,0,266,0,1,20,350,255,141,103,0,17,0,141,225,183,211,80
2024-01-13 12:15:00,0,230,0,5,18,350,155,78,91,0,0,5,137,221,181,196,76
2024-01-13 12:30:00,0,202,0,2,21,350,155,82,92,0,0,0,128,209,178,178,75
2024-01-13 12:45:00,0,202,0,0,25,350,155,59,87,0,0,0,123,190,173,158,74
2024-01-13 13:00:00,0,187,0,0,25,350,155,65,89,0,0,0,123,168,164,135,75
2024-01-13 13:15:00,0,172,0,0,27,350,155,33,90,0,0,0,117,160,164,122,74
2024-01-13 13:30:00,0,158,0,0,26,350,155,12,96,0,0,0,117,147,166,109,72
2024-01-13 13:45:00,0,161,0,0,27,350,155,2,97,0,0,0,119,144,161,101,71
2024-01-13 14:00:00,0,189,1,0,21,350,155,28,94,0,0,0,126,142,159,96,71
2024-01-13 14:15:00,0,209,2,0,23,350,155,11,90,1,0,0,125,130,157,83,78
2024-01-13 14:30:00,0,207,1,3,23,350,155,54,93,0,0,0,126,133,155,68,78
2024-01-13 14:45:00,0,227,0,0,24,350,155,95,99,0,0,0,121,130,157,63,80
2024-01-13 15:00:00,0,259,0,7,24,350,155,135,111,0,0,0,122,117,152,58,78
