time_only,PH Coesfelder Kreuz,PH Theater,PP Hörsterplatz,PH Alter Steinweg,Busparkplatz,PP Schlossplatz Nord,PP Schlossplatz Süd,PH Aegidii,PP Georgskommende,PH Münster Arkaden,PH Karstadt,PH Stubengasse,PH Bremer Platz,PH Engelenschanze,PH Bahnhofstraße,PH Cineplex,PH Stadthaus 3
00:00:00,0,604,2,307,7,30,4,666,10,65,104,198,161,289,188,426,259
00:15:00,0,604,2,307,7,30,4,666,10,65,104,198,161,289,188,426,259
00:30:00,0,604,2,307,7,30,4,666,10,65,104,198,161,289,188,426,259
00:45:00,0,604,2,307,7,30,4,666,10,65,104,198,161,289,188,426,259
01:00:00,0,604,2,307,7,30,4,666,10,65,104,198,161,289,188,426,259
01:15:00,0,604,2,307,7,30,4,666,10,65,104,198,161,289,188,426,259
01:30:00,0,604,2,307,7,30,4,666,10,65,104,198,161,289,188,426,259
01:45:00,0,604,2,307,7,30,4,666,10,65,104,198,161,289,188,426,259
02:00:00,0,604,2,307,7,30,4,666,10,65,104,198,161,289,188,426,259
02:15:00,0,604,2,307,7,30,4,666,10,65,104,198,161,289,188,426,259
02:30:00,0,604,2,307,7,30,4,666,10,65,104,198,161,289,188,426,259
02:45:00,0,604,2,307,7,30,4,666,10,65,104,198,161,289,188,426,259
03:00:00,0,604,2,307,7,30,4,666,10,65,104,198,161,289,188,426,259
03:15:00,0,604,2,307,7,30,4,666,10,65,104,198,161,289,188,426,259
03:30:00,0,604,2,307,7,30,4,666,10,65,104,198,161,289,188,426,259
03:45:00,0,604,2,307,7,30,4,666,10,65,104,198,161,289,188,426,259
04:00:00,0,604,2,307,7,30,4,666,10,65,104,198,161,289,188,426,259
04:15:00,0,604,2,307,7,30,4,666,10,65,104,198,161,289,188,426,259
04:30:00,0,604,2,307,7,30,4,666,10,65,104,198,161,289,188,426,259
04:45:00,0,604,2,307,7,30,4,666,10,65,104,198,161,289,188,426,259
05:00:00,0,604,2,307,7,30,4,666,10,65,104,198,161,289,188,426,259
05:15:00,0,604,2,307,7,30,4,666,10,65,104,198,161,289,188,426,259
05:30:00,0,604,2,307,7,30,4,666,10,65,104,198,161,289,188,426,259
05:45:00,0,604,2,307,7,30,4,666,10,65,104,198,161,289,188,426,259
06:00:00,0,603,3,308,6,24,4,665,11,70,109,200,159,291,188,427,260
06:15:00,0,604,2,307,7,30,4,666,10,65,104,198,161,289,188,426,259
06:30:00,0,604,2,307,7,30,4,666,10,65,104,198,161,289,188,426,259
06:45:00,0,604,2,307,7,30,4,666,10,65,104,198,161,289,188,426,259
07:00:00,0,604,2,307,7,30,4,666,10,65,104,198,161,289,188,426,259
07:15:00,0,623,168,337,39,159,231,617,162,14,104,209,175,303,193,554,277
07:30:00,0,620,167,336,41,138,245,605,172,28,104,209,174,303,193,554,276
07:45:00,0,617,165,334,42,146,245,603,169,77,105,208,174,302,192,553,276
08:00:00,0,616,163,333,42,157,245,580,165,147,102,206,173,302,192,554,276
08:15:00,0,615,161,329,42,143,244,579,162,146,100,205,173,302,192,553,276
08:30:00,0,613,158,326,42,151,240,576,171,140,100,203,172,302,191,553,275
08:45:00,0,608,154,321,43,149,239,570,169,130,99,199,172,300,189,552,274
09:00:00,0,598,150,312,42,167,243,561,163,116,96,190,171,296,188,551,274
09:15:00,0,586,137,299,40,151,242,538,160,98,92,178,169,292,186,550,273
09:30:00,0,570,125,280,38,175,241,515,152,74,88,164,167,286,184,548,272
09:45:00,0,549,108,247,36,151,239,481,141,48,81,144,164,276,180,544,271
10:00:00,0,517,83,203,33,167,234,448,126,20,72,118,158,263,175,538,270
10:15:00,0,484,59,158,30,175,222,408,110,5,62,85,154,248,169,533,268
10:30:00,0,448,40,119,28,154,209,377,94,2,53,58,150,230,162,525,266
10:45:00,0,412,23,85,25,177,195,309,79,1,45,37,147,216,156,521,264
11:00:00,0,376,10,46,22,172,173,273,64,0,38,24,142,196,148,515,262
11:15:00,0,336,4,29,20,164,161,212,54,0,33,16,137,178,140,510,260
11:30:00,0,293,2,15,17,135,135,181,44,0,28,11,133,158,133,504,258
11:45:00,0,245,1,7,14,108,97,134,35,0,24,8,128,138,124,494,257
12:00:00,0,208,1,4,12,94,77,96,27,0,22,5,122,114,116,485,255
12:15:00,0,175,1,3,11,92,62,79,23,0,19,4,117,93,107,476,254
12:30:00,0,149,0,3,9,86,43,66,20,0,17,4,113,76,98,470,253
12:45:00,0,128,1,2,8,67,39,64,18,0,15,4,107,63,87,464,252
13:00:00,0,114,1,3,7,63,23,65,16,0,15,4,101,53,80,459,251
13:15:00,0,106,1,3,6,57,9,64,15,0,15,5,97,46,73,455,249
13:30:00,0,101,1,5,5,45,8,67,15,0,14,6,96,43,68,451,248
13:45:00,0,102,1,5,6,47,8,61,16,0,15,6,94,40,64,445,247
14:00:00,0,105,1,5,6,61,9,72,17,0,14,6,92,38,59,441,246
14:15:00,0,110,2,5,8,60,35,82,21,0,15,7,91,36,57,438,246
14:30:00,0,121,2,7,9,61,36,94,29,0,16,7,92,34,56,436,245
14:45:00,0,137,2,7,10,66,36,102,39,0,16,8,92,33,56,434,245
15:00:00,0,153,4,9,10,74,44,119,50,0,17,9,92,36,56,430,245
15:15:00,0,172,4,10,12,74,44,128,61,0,17,10,94,42,57,429,245
15:30:00,0,191,6,11,13,68,44,124,66,0,18,11,96,46,59,429,245
15:45:00,0,210,8,11,14,98,44,144,73,0,19,11,97,49,59,430,245
16:00:00,0,234,10,12,16,98,44,163,78,1,21,13,98,56,62,429,244
16:15:00,0,256,14,17,17,110,44,184,84,1,22,15,99,64,65,429,244
16:30:00,0,280,18,20,19,116,44,205,92,1,25,16,102,72,67,423,244
16:45:00,0,304,21,29,21,130,44,225,98,0,28,18,104,81,70,418,244
17:00:00,0,325,27,37,23,138,42,256,105,0,33,22,106,95,74,414,244
17:15:00,0,347,32,47,25,135,44,282,113,1,37,28,109,104,79,406,243
17:30:00,0,366,37,57,27,130,44,322,122,1,42,36,110,115,80,399,243
17:45:00,0,384,42,66,28,138,44,354,130,3,47,42,110,127,81,388,242
18:00:00,0,403,45,74,29,129,44,374,138,5,52,50,110,139,83,377,241
18:15:00,0,420,49,88,31,123,44,408,145,10,58,60,111,150,86,368,239
18:30:00,0,435,55,103,32,123,44,431,151,16,65,70,112,162,91,355,237
18:45:00,0,443,60,114,32,123,44,459,156,24,70,79,113,174,94,343,234
19:00:00,0,441,60,126,33,107,44,482,161,34,78,89,112,183,96,327,231
19:15:00,0,436,58,139,34,116,44,504,166,47,81,100,113,192,100,311,228
19:30:00,0,439,61,152,34,125,44,527,172,58,86,110,115,201,104,292,224
19:45:00,0,443,63,163,34,114,44,545,174,71,91,120,117,208,108,270,221
20:00:00,0,450,66,180,35,114,44,561,178,87,95,131,118,215,112,257,220
20:15:00,0,459,70,198,35,100,44,578,182,109,101,143,120,221,115,246,219
20:30:00,0,468,77,211,36,93,44,591,186,119,103,148,124,232,126,237,219
20:45:00,0,476,79,222,32,64,45,600,183,126,104,156,128,243,135,235,220
21:00:00,0,484,83,231,10,27,13,610,130,131,104,161,131,248,138,236,220
21:15:00,0,484,83,231,10,27,13,610,130,131,104,161,131,248,138,236,220
21:30:00,0,484,83,231,10,27,13,610,130,131,104,161,131,248,138,236,220
21:45:00,0,484,83,231,10,27,13,610,130,131,104,161,131,248,138,236,220
22:00:00,0,484,83,231,10,27,13,610,130,131,104,161,131,248,138,236,220
22:15:00,0,484,83,231,10,27,13,610,130,131,104,161,131,248,138,236,220
22:30:00,0,484,83,231,10,27,13,610,130,131,104,161,131,248,138,236,220
22:45:00,0,484,83,231,10,27,13,610,130,131,104,161,131,248,138,236,220
23:00:00,0,484,83,231,10,27,13,610,130,131,104,161,131,248,138,236,220
23:15:00,0,591,11,305,3,15,0,656,3,82,104,196,159,276,170,391,245
23:30:00,0,591,11,305,3,15,0,656,3,82,104,196,159,276,170,391,245
23:45:00,0,591,11,305,3,15,0,656,3,82,104,196,159,276,170,391,245
