Datum und Uhrzeit,PH Coesfelder Kreuz,PH Theater,PP Hörsterplatz,PH Alter Steinweg,Busparkplatz,PP Schlossplatz Nord,PP Schlossplatz Süd,PH Aegidii,PP Georgskommende,PH Münster Arkaden,PH Karstadt,PH Stubengasse,PH Bremer Platz,PH Engelenschanze,PH Bahnhofstraße,PH Cineplex,PH Stadthaus 3
2024-11-16 00:00:00,ges,368,ges,266,ges,ges,ges,431,ges,156,176,204,46,124,170,448,292
2024-11-16 00:15:00,ges,369,ges,271,ges,ges,ges,433,ges,157,176,206,50,125,170,473,297
2024-11-16 00:30:00,ges,369,ges,271,ges,ges,ges,433,ges,157,176,206,50,125,170,490,303
2024-11-16 00:45:00,ges,369,ges,271,ges,ges,ges,433,ges,157,176,206,50,125,170,500,307
2024-11-16 01:00:00,ges,369,ges,271,ges,ges,ges,433,ges,157,176,206,50,125,170,508,309
2024-11-16 01:15:00,ges,369,ges,271,ges,ges,ges,433,ges,157,176,206,50,125,170,529,309
2024-11-16 01:30:00,ges,369,ges,271,ges,ges,ges,433,ges,157,176,206,50,125,170,535,309
2024-11-16 01:45:00,ges,369,ges,271,ges,ges,ges,433,ges,157,176,206,50,125,170,539,312
2024-11-16 02:00:00,ges,369,ges,271,ges,ges,ges,433,ges,157,176,206,50,125,170,553,312
2024-11-16 02:15:00,ges,369,ges,271,ges,ges,ges,433,ges,157,176,206,50,125,170,558,314
2024-11-16 02:30:00,ges,369,ges,271,ges,ges,ges,433,ges,157,176,206,50,125,170,564,315
2024-11-16 02:45:00,ges,369,ges,271,ges,ges,ges,433,ges,157,176,206,50,125,170,566,315
2024-11-16 03:00:00,ges,369,ges,271,ges,ges,ges,433,ges,157,176,206,50,125,170,566,315
2024-11-16 03:15:00,ges,369,ges,271,ges,ges,ges,433,ges,157,176,206,50,125,170,568,315
2024-11-16 03:30:00,ges,369,ges,271,ges,ges,ges,433,ges,157,176,206,50,125,170,570,315
2024-11-16 03:45:00,ges,369,ges,271,ges,ges,ges,433,ges,157,176,206,50,125,170,570,315
2024-11-16 04:00:00,ges,369,ges,271,ges,ges,ges,433,ges,157,176,206,50,125,170,570,315
2024-11-16 04:15:00,ges,369,ges,271,ges,ges,ges,433,ges,157,176,206,50,125,170,571,315
2024-11-16 04:30:00,ges,369,ges,271,ges,ges,ges,433,ges,157,176,206,50,125,170,571,315
2024-11-16 04:45:00,ges,369,ges,271,ges,ges,ges,433,ges,157,176,206,50,125,170,571,315
2024-11-16 05:00:00,ges,369,ges,271,ges,ges,ges,433,ges,157,176,206,50,125,170,571,315
2024-11-16 05:15:00,ges,369,ges,271,ges,ges,ges,433,ges,157,176,206,50,125,170,571,315
2024-11-16 05:30:00,ges,369,ges,271,ges,ges,ges,433,ges,157,176,206,50,125,170,571,315
2024-11-16 05:45:00,ges,369,ges,271,ges,ges,ges,433,ges,157,176,206,50,125,170,571,315
2024-11-16 06:00:00,ges,369,ges,271,ges,ges,ges,433,ges,157,176,206,50,125,170,571,315
2024-11-16 06:15:00,ges,369,ges,271,ges,ges,ges,433,ges,157,176,206,50,125,170,571,316
2024-11-16 06:30:00,ges,369,ges,271,ges,ges,ges,433,ges,157,176,206,50,125,170,571,316
2024-11-16 06:45:00,ges,kei,ges,kei,ges,ges,ges,kei,208,kei,176,kei,kei,kei,kei,571,316
2024-11-16 07:00:00,ges,370,138,303,ges,250,260,426,204,157,176,206,60,133,170,571,316
2024-11-16 07:15:00,ges,368,138,302,63,250,260,416,198,157,170,206,60,133,170,571,316
2024-11-16 07:30:00,ges,363,164,300,63,250,260,376,195,157,169,207,59,133,169,569,316
2024-11-16 07:45:00,ges,360,161,300,52,250,260,369,195,157,168,205,58,132,169,569,316
2024-11-16 08:00:00,ges,356,160,296,52,250,260,355,192,152,166,205,59,130,169,569,316
2024-11-16 08:15:00,ges,359,159,295,52,250,260,346,194,145,163,206,57,130,169,569,317
2024-11-16 08:30:00,ges,357,155,292,52,250,260,335,193,137,161,202,56,136,165,569,317
2024-11-16 08:45:00,ges,349,151,289,52,250,260,317,188,128,159,199,54,131,160,568,316
2024-11-16 09:00:00,ges,341,148,289,48,250,260,291,169,112,152,191,50,124,157,568,316
2024-11-16 09:15:00,ges,324,140,270,46,250,260,258,167,76,148,173,41,115,156,567,316
2024-11-16 09:30:00,ges,312,119,252,42,250,260,220,159,54,137,150,30,107,149,567,315
2024-11-16 09:45:00,ges,297,104,214,39,250,260,176,149,3,122,126,27,86,140,565,316
2024-11-16 10:00:00,ges,274,68,162,36,250,260,107,133,bes,99,93,21,63,133,564,317
2024-11-16 10:15:00,ges,235,37,106,34,250,260,43,122,bes,80,43,17,43,119,564,317
2024-11-16 10:30:00,ges,197,bes,43,34,250,260,bes,95,bes,59,15,16,16,110,563,317
2024-11-16 10:45:00,ges,136,bes,1,35,250,260,bes,61,bes,29,bes,12,bes,97,562,316
2024-11-16 11:00:00,ges,76,bes,bes,32,250,260,bes,32,1,2,bes,13,bes,84,559,315
2024-11-16 11:15:00,ges,15,bes,bes,30,250,260,bes,13,bes,bes,bes,8,bes,72,556,315
2024-11-16 11:30:00,ges,bes,bes,bes,16,250,bes,bes,1,bes,bes,bes,3,bes,50,552,315
2024-11-16 11:45:00,ges,bes,bes,bes,11,250,bes,bes,bes,1,1,bes,bes,bes,25,545,315
2024-11-16 12:00:00,ges,bes,bes,bes,9,bes,bes,bes,1,1,bes,bes,bes,bes,bes,524,314
2024-11-16 12:15:00,ges,bes,bes,bes,1,bes,bes,bes,bes,bes,bes,bes,bes,bes,bes,514,314
2024-11-16 12:30:00,ges,bes,bes,bes,1,bes,bes,bes,bes,bes,1,bes,bes,bes,bes,507,312
2024-11-16 12:45:00,ges,bes,bes,bes,1,bes,bes,bes,1,bes,bes,bes,bes,bes,bes,497,308
2024-11-16 13:00:00,ges,bes,1,bes,bes,bes,bes,bes,0,bes,bes,bes,bes,bes,bes,485,308
2024-11-16 13:15:00,ges,bes,bes,bes,bes,bes,bes,bes,bes,1,1,bes,bes,bes,bes,481,308
2024-11-16 13:30:00,ges,bes,bes,bes,1,bes,bes,bes,bes,1,bes,bes,bes,bes,bes,475,305
2024-11-16 13:45:00,ges,bes,bes,bes,1,bes,bes,bes,1,bes,bes,bes,bes,bes,bes,471,303
2024-11-16 14:00:00,ges,bes,bes,bes,6,bes,bes,bes,bes,bes,bes,bes,bes,bes,bes,473,302
2024-11-16 14:15:00,ges,bes,bes,bes,4,bes,10,bes,12,bes,1,bes,bes,bes,bes,460,301
2024-11-16 14:30:00,ges,bes,1,bes,6,bes,10,bes,19,bes,1,bes,bes,bes,bes,458,300
2024-11-16 14:45:00,ges,bes,bes,bes,6,bes,10,bes,29,bes,1,bes,bes,bes,bes,451,299
2024-11-16 15:00:00,ges,bes,2,bes,9,bes,10,bes,35,bes,bes,bes,bes,bes,bes,453,299
2024-11-16 15:15:00,ges,bes,2,bes,13,bes,10,bes,42,bes,bes,bes,bes,bes,4,451,300
2024-11-16 15:30:00,ges,bes,bes,bes,16,bes,10,bes,47,1,1,bes,bes,bes,8,455,300
2024-11-16 15:45:00,ges,bes,bes,bes,17,bes,10,bes,54,bes,bes,bes,bes,bes,12,455,298
2024-11-16 16:00:00,ges,6,bes,bes,19,bes,10,bes,58,1,1,bes,bes,bes,10,444,299
