time_only,PH Coesfelder Kreuz,PH Theater,PP Hörsterplatz,PH Alter Steinweg,Busparkplatz,PP Schlossplatz Nord,PP Schlossplatz Süd,PH Aegidii,PP Georgskommende,PH Münster Arkaden,PH Karstadt,PH Stubengasse,PH Bremer Platz,PH Engelenschanze,PH Bahnhofstraße,PH Cineplex,PH Stadthaus 3
00:00:00,ges,540,ges,307,ges,ges,ges,594,ges,160.0,176.0,213,118,183,150,450,301
00:15:00,ges,553,ges,314,ges,ges,ges,608,ges,161.0,174.0,210,128,190,152,467,303
00:30:00,ges,553,ges,314,ges,ges,ges,608,ges,161.0,172.0,210,128,190,152,473,304
00:45:00,ges,553,ges,314,ges,ges,ges,608,ges,161.0,172.0,210,128,190,152,480,305
01:00:00,ges,553,ges,314,ges,ges,ges,608,ges,161.0,172.0,210,128,190,152,486,306
01:15:00,ges,553,ges,314,ges,ges,ges,608,ges,161.0,174.0,210,128,190,152,494,306
01:30:00,ges,553,ges,314,ges,ges,ges,608,ges,161.0,173.0,210,128,190,152,502,306
01:45:00,ges,553,ges,314,ges,ges,ges,608,ges,161.0,173.0,210,128,190,152,508,307
02:00:00,ges,553,ges,314,ges,ges,ges,608,ges,161.0,173.0,210,128,190,152,513,307
02:15:00,ges,553,ges,314,ges,ges,ges,608,ges,161.0,173.0,210,128,190,152,517,308
02:30:00,ges,553,ges,314,ges,ges,ges,608,ges,161.0,173.0,210,128,190,152,519,308
02:45:00,ges,553,ges,314,ges,ges,ges,608,ges,161.0,173.0,210,128,190,152,520,308
03:00:00,ges,553,ges,314,ges,ges,ges,608,ges,161.0,173.0,210,128,190,152,521,308
03:15:00,ges,553,ges,314,ges,ges,ges,608,ges,161.0,173.0,210,128,190,152,521,309
03:30:00,ges,553,ges,314,ges,ges,ges,608,ges,161.0,173.0,210,128,190,152,522,309
03:45:00,ges,553,ges,314,ges,ges,ges,608,ges,161.0,173.0,210,128,190,152,523,309
04:00:00,ges,553,ges,314,ges,ges,ges,608,ges,161.0,173.0,210,128,190,152,524,310
04:15:00,ges,553,ges,314,ges,ges,ges,608,ges,161.0,173.0,210,128,190,152,525,310
04:30:00,ges,553,ges,314,ges,ges,ges,608,ges,161.0,173.0,210,128,190,152,525,311
04:45:00,ges,553,ges,314,ges,ges,ges,608,ges,161.0,173.0,210,128,190,152,525,312
05:00:00,ges,553,ges,314,ges,ges,ges,608,ges,161.0,173.0,210,128,190,152,526,312
05:15:00,ges,553,ges,314,ges,ges,ges,608,ges,161.0,173.0,210,128,190,152,526,312
05:30:00,ges,553,ges,314,ges,ges,ges,608,ges,161.0,173.0,210,128,190,152,527,313
05:45:00,ges,553,ges,314,ges,ges,ges,608,ges,161.0,173.0,210,128,190,152,527,313
06:00:00,ges,553,ges,314,ges,ges,ges,608,ges,161.0,173.0,210,128,190,152,527,313
06:15:00,ges,553,ges,314,ges,ges,ges,608,ges,161.0,173.0,210,128,190,152,527,313
06:30:00,ges,553,ges,314,ges,ges,ges,608,ges,161.0,173.0,210,128,190,152,527,314
06:45:00,ges,636,ges,333,ges,ges,ges,636,ges,162.0,173.0,210,157,210,152,527,314
07:00:00,ges,556,154,334,63,233,322,599,202,161.0,173.0,210,137,201,154,527,314
07:15:00,ges,557,158,333,63,283,294,586,195,161.0,171.0,210,137,201,153,527,315
07:30:00,ges,553,166,332,63,283,293,573,193,161.0,172.0,208,136,185,152,528,315
07:45:00,ges,550,163,330,61,283,293,566,192,160.0,168.0,207,136,186,151,528,315
08:00:00,ges,547,162,327,61,283,293,559,190,156.0,167.0,205,134,186,150,529,315
