time_only,PH Coesfelder Kreuz,PH Theater,PP Hörsterplatz,PH Alter Steinweg,Busparkplatz,PP Schlossplatz Nord,PP Schlossplatz Süd,PH Aegidii,PP Georgskommende,PH Münster Arkaden,PH Karstadt,PH Stubengasse,PH Bremer Platz,PH Engelenschanze,PH Bahnhofstraße,PH Cineplex,PH Stadthaus 3
00:00:00,0,599,11,305,3,15,0,662,4,81,102,197,161,281,172,392,245
00:15:00,0,599,11,305,3,15,0,662,4,81,102,197,161,281,172,392,245
00:30:00,0,599,11,305,3,15,0,662,4,81,102,197,161,281,172,392,245
00:45:00,0,600,11,305,3,15,0,663,4,79,104,198,161,281,172,393,245
01:00:00,0,599,11,305,3,15,0,662,4,81,102,197,161,281,172,392,245
01:15:00,0,599,11,305,3,15,0,662,4,81,102,197,161,281,172,392,245
01:30:00,0,599,11,305,3,15,0,662,4,81,102,197,161,281,172,392,245
01:45:00,0,599,11,305,3,15,0,662,4,81,102,197,161,281,172,392,245
02:00:00,0,591,11,304,3,15,0,656,4,81,106,196,159,275,170,390,243
02:15:00,0,591,11,304,3,15,0,656,4,81,106,196,159,275,170,390,243
02:30:00,0,591,11,304,3,15,0,656,4,81,106,196,159,275,170,390,243
02:45:00,0,591,11,304,3,15,0,656,4,81,106,196,159,275,170,390,243
03:00:00,0,599,11,305,3,15,0,662,4,81,102,197,161,281,172,392,245
03:15:00,0,599,8,305,2,15,0,662,4,83,104,197,161,280,171,392,245
03:30:00,0,599,11,305,3,15,0,662,4,81,102,197,161,281,172,392,245
03:45:00,0,599,11,305,3,15,0,662,4,81,102,197,161,281,172,392,245
04:00:00,0,599,11,305,3,15,0,662,4,81,102,197,161,281,172,392,245
04:15:00,0,599,11,305,3,15,0,662,4,81,102,197,161,281,172,392,245
04:30:00,0,599,11,305,3,15,0,662,4,81,102,197,161,281,172,392,245
04:45:00,0,599,11,305,3,15,0,662,4,81,102,197,161,281,172,392,245
05:00:00,0,598,11,304,3,15,0,660,4,79,104,197,161,281,172,389,244
05:15:00,0,599,11,305,3,15,0,662,4,81,102,197,161,281,172,392,245
05:30:00,0,599,11,305,3,15,0,662,4,81,102,197,161,281,172,392,245
05:45:00,0,599,11,305,3,15,0,662,4,81,102,197,161,281,172,392,245
06:00:00,0,599,11,305,3,15,0,662,4,81,102,197,161,281,172,392,245
06:15:00,0,599,11,305,3,15,0,662,4,81,102,197,161,281,172,392,245
06:30:00,0,599,11,305,3,15,0,662,4,81,102,197,161,281,172,392,245
06:45:00,0,599,11,305,3,15,0,662,4,81,102,197,161,281,172,392,245
07:00:00,0,599,11,305,3,15,0,662,4,81,102,197,161,281,172,392,245
07:15:00,0,37,14,345,3,15,8,40,11,7,102,16,177,297,189,551,276
07:30:00,0,36,14,345,3,15,8,40,11,7,102,16,178,297,189,551,276
07:45:00,0,36,14,345,3,15,8,40,10,7,102,21,177,297,189,551,276
08:00:00,0,52,14,345,3,15,8,40,9,7,102,45,177,297,188,550,276
08:15:00,0,52,15,337,3,15,8,40,8,7,102,120,177,298,188,550,276
08:30:00,0,237,15,345,3,15,8,90,8,8,104,180,177,298,189,549,276
08:45:00,0,461,15,345,3,15,8,459,8,7,102,211,176,299,188,549,276
09:00:00,0,628,15,345,3,15,8,626,6,3,102,210,176,300,188,547,276
09:15:00,0,612,15,345,3,15,8,625,5,3,102,208,176,301,188,546,276
09:30:00,0,624,14,343,3,18,8,624,5,24,102,205,176,302,190,545,276
09:45:00,0,620,14,341,3,20,37,618,11,70,102,201,176,303,191,543,276
10:00:00,0,613,14,338,4,50,79,613,17,136,102,195,176,304,192,540,275
10:15:00,0,609,14,335,7,76,86,610,21,140,102,189,176,308,195,535,274
10:30:00,0,606,13,333,9,76,94,606,21,140,102,187,177,312,199,526,272
10:45:00,0,604,13,330,8,76,101,604,20,140,102,186,177,318,201,515,271
11:00:00,0,601,13,327,8,89,103,597,19,139,100,188,177,330,205,503,270
11:15:00,0,599,13,325,8,87,103,598,16,138,102,186,178,337,209,494,269
11:30:00,0,597,13,322,8,83,103,597,14,137,100,192,180,342,212,484,268
11:45:00,0,595,12,320,8,87,101,594,11,136,102,195,180,347,214,474,267
12:00:00,0,590,10,317,7,79,103,594,9,134,100,200,178,349,213,464,267
12:15:00,0,588,12,315,6,87,102,594,8,133,102,204,180,351,212,456,266
12:30:00,0,585,12,314,6,87,102,595,8,131,102,209,182,353,212,447,266
12:45:00,0,583,12,312,6,87,110,597,6,130,102,212,183,353,211,442,265
13:00:00,0,583,12,312,6,77,110,599,6,128,102,216,183,352,210,440,265
13:15:00,0,583,12,310,6,87,110,600,5,127,102,218,183,350,207,438,265
13:30:00,0,583,12,309,6,77,110,602,5,126,102,221,182,349,201,439,265
13:45:00,0,582,12,309,6,73,113,600,2,124,100,221,179,344,197,437,265
14:00:00,0,583,11,309,6,82,110,603,5,123,102,223,180,345,195,436,266
