Datum und Uhrzeit,PH Coesfelder Kreuz,PH Theater,PP Hörsterplatz,PH Alter Steinweg,Busparkplatz,PP Schlossplatz Nord,PP Schlossplatz Süd,PH Aegidii,PP Georgskommende,PH Münster Arkaden,PH Karstadt,PH Stubengasse,PH Bremer Platz,PH Engelenschanze,PH Bahnhofstraße,PH Cineplex,PH Stadthaus 3
2024-11-10 00:00:00,ges,379,ges,302,ges,ges,ges,399,ges,159,173,183,67,88,148,452,277
2024-11-10 00:15:00,ges,379,ges,307,ges,ges,ges,401,ges,159,173,184,68,92,154,460,277
2024-11-10 00:30:00,ges,379,ges,307,ges,ges,ges,401,ges,159,173,184,68,92,154,468,280
2024-11-10 00:45:00,ges,379,ges,307,ges,ges,ges,401,ges,159,173,184,68,92,154,473,282
2024-11-10 01:00:00,ges,379,ges,307,ges,ges,ges,401,ges,159,173,184,68,92,154,477,286
2024-11-10 01:15:00,ges,379,ges,307,ges,ges,ges,401,ges,159,173,184,68,92,154,505,288
2024-11-10 01:30:00,ges,379,ges,307,ges,ges,ges,401,ges,159,173,184,68,92,154,536,290
2024-11-10 01:45:00,ges,379,ges,307,ges,ges,ges,401,ges,159,173,184,68,92,154,545,290
2024-11-10 02:00:00,ges,379,ges,307,ges,ges,ges,401,ges,159,173,184,68,92,154,545,297
2024-11-10 02:15:00,ges,379,ges,307,ges,ges,ges,401,ges,159,173,184,68,92,154,549,297
2024-11-10 02:30:00,ges,379,ges,307,ges,ges,ges,401,ges,159,173,184,68,92,154,549,299
2024-11-10 02:45:00,ges,379,ges,307,ges,ges,ges,401,ges,159,173,184,68,92,154,550,300
2024-11-10 03:00:00,ges,379,ges,307,ges,ges,ges,401,ges,159,173,184,68,92,154,552,302
2024-11-10 03:15:00,ges,379,ges,307,ges,ges,ges,401,ges,159,173,184,68,92,154,554,304
2024-11-10 03:30:00,ges,379,ges,307,ges,ges,ges,401,ges,159,173,184,68,92,154,554,306
2024-11-10 03:45:00,ges,379,ges,307,ges,ges,ges,401,ges,159,173,184,68,92,154,555,307
2024-11-10 04:00:00,ges,379,ges,307,ges,ges,ges,401,ges,159,173,184,68,92,154,557,307
2024-11-10 04:15:00,ges,379,ges,307,ges,ges,ges,401,ges,159,173,184,68,92,154,557,308
2024-11-10 04:30:00,ges,379,ges,307,ges,ges,ges,401,ges,159,173,184,68,92,154,558,309
2024-11-10 04:45:00,ges,379,ges,307,ges,ges,ges,401,ges,159,173,184,68,92,154,558,310
2024-11-10 05:00:00,ges,379,ges,307,ges,ges,ges,401,ges,159,173,184,68,92,154,559,310
2024-11-10 05:15:00,ges,379,ges,307,ges,ges,ges,401,ges,159,173,184,68,92,154,560,309
2024-11-10 05:30:00,ges,379,ges,307,ges,ges,ges,401,ges,159,173,184,68,92,154,559,310
2024-11-10 05:45:00,ges,379,ges,307,ges,ges,ges,401,ges,159,173,184,68,92,154,559,310
2024-11-10 06:00:00,ges,379,ges,307,ges,ges,ges,401,ges,159,173,184,68,92,154,559,312
2024-11-10 06:15:00,ges,379,ges,307,ges,ges,ges,401,ges,159,173,184,68,92,154,560,312
2024-11-10 06:30:00,ges,379,ges,307,ges,ges,ges,401,ges,159,173,184,68,92,154,561,312
2024-11-10 06:45:00,ges,379,ges,307,ges,ges,ges,401,ges,159,173,184,68,92,154,561,312
2024-11-10 07:00:00,ges,379,ges,307,ges,ges,ges,401,ges,159,173,184,68,92,154,561,312
2024-11-10 07:15:00,ges,379,ges,307,ges,ges,ges,401,ges,159,173,184,68,92,154,561,312
2024-11-10 07:30:00,ges,379,ges,307,ges,ges,ges,401,ges,159,173,184,68,92,154,561,312
2024-11-10 07:45:00,ges,379,ges,307,ges,ges,ges,401,ges,159,173,184,68,92,154,560,313
