time_only,PH Coesfelder Kreuz,PH Theater,PP Hörsterplatz,PH Alter Steinweg,Busparkplatz,PP Schlossplatz Nord,PP Schlossplatz Süd,PH Aegidii,PP Georgskommende,PH Münster Arkaden,PH Karstadt,PH Stubengasse,PH Bremer Platz,PH Engelenschanze,PH Bahnhofstraße,PH Cineplex,PH Stadthaus 3
00:00:00,ges,519,ges,309,ges,ges,ges,570,ges,162,173,199,105,182,148,454,284
00:15:00,ges,520,ges,312,ges,ges,ges,571,ges,162,173,200,106,185,151,468,285
00:30:00,ges,520,ges,312,ges,ges,ges,571,ges,162,172,200,106,185,151,474,287
00:45:00,ges,520,ges,312,ges,ges,ges,571,ges,162,172,200,106,185,151,480,291
01:00:00,ges,520,ges,312,ges,ges,ges,571,ges,162,172,200,106,185,151,487,293
01:15:00,ges,520,ges,312,ges,ges,ges,571,ges,162,172,200,106,185,151,497,294
01:30:00,ges,520,ges,312,ges,ges,ges,571,ges,162,172,200,106,185,151,508,296
01:45:00,ges,520,ges,312,ges,ges,ges,571,ges,162,172,200,106,185,151,518,298
02:00:00,ges,520,ges,312,ges,ges,ges,571,ges,162,172,200,106,185,151,527,300
02:15:00,ges,520,ges,312,ges,ges,ges,571,ges,162,172,200,106,185,151,532,301
02:30:00,ges,520,ges,312,ges,ges,ges,571,ges,162,172,200,106,185,151,532,302
02:45:00,ges,520,ges,312,ges,ges,ges,571,ges,162,172,200,106,185,151,533,303
03:00:00,ges,520,ges,312,ges,ges,ges,571,ges,162,172,200,106,185,151,534,304
03:15:00,ges,520,ges,312,ges,ges,ges,571,ges,162,172,200,106,185,151,535,305
03:30:00,ges,520,ges,312,ges,ges,ges,571,ges,162,172,200,106,185,151,537,306
03:45:00,ges,520,ges,312,ges,ges,ges,571,ges,162,172,200,106,185,151,538,307
04:00:00,ges,520,ges,312,ges,ges,ges,571,ges,162,172,200,106,185,151,538,308
04:15:00,ges,520,ges,312,ges,ges,ges,571,ges,162,172,200,106,185,151,539,309
04:30:00,ges,520,ges,312,ges,ges,ges,571,ges,162,172,200,106,185,151,539,310
04:45:00,ges,520,ges,312,ges,ges,ges,571,ges,162,172,200,106,185,151,540,310
05:00:00,ges,520,ges,312,ges,ges,ges,571,ges,162,172,200,106,185,151,540,312
05:15:00,ges,520,ges,312,ges,ges,ges,571,ges,162,172,200,106,185,151,541,312
