time_only,PH Coesfelder Kreuz,PH Theater,PP Hörsterplatz,PH Alter Steinweg,Busparkplatz,PP Schlossplatz Nord,PP Schlossplatz Süd,PH Aegidii,PP Georgskommende,PH Münster Arkaden,PH Karstadt,PH Stubengasse,PH Bremer Platz,PH Engelenschanze,PH Bahnhofstraße,PH Cineplex,PH Stadthaus 3
00:00:00,0,616,0,343,4,22,12,688,10,66,103,221,166,330,201,533,279
00:15:00,0,616,0,343,4,22,12,688,10,66,103,221,166,330,201,533,279
00:30:00,0,616,0,343,4,22,12,688,10,66,103,221,166,330,201,533,279
00:45:00,0,616,0,343,4,22,12,688,10,66,103,221,166,330,201,533,279
01:00:00,0,614,0,343,4,23,12,688,11,69,108,220,166,328,201,533,279
01:15:00,0,615,0,343,4,23,12,689,10,67,101,221,166,330,201,539,281
01:30:00,0,615,0,343,4,19,12,688,10,64,101,221,166,329,201,532,278
01:45:00,0,616,0,343,4,22,12,688,10,66,103,221,166,330,201,533,279
02:00:00,0,616,0,343,4,22,12,688,10,66,103,221,166,330,201,533,279
02:15:00,0,616,0,343,4,22,12,688,10,66,103,221,166,330,201,533,279
02:30:00,0,616,0,343,4,22,12,688,10,66,103,221,166,330,201,533,279
02:45:00,0,616,0,343,4,22,12,688,10,66,103,221,166,330,201,533,279
03:00:00,0,616,0,343,4,22,12,688,10,66,103,221,166,330,201,533,279
03:15:00,0,616,0,343,4,22,12,688,10,66,103,221,166,330,201,533,279
03:30:00,0,616,0,343,4,22,12,688,10,66,103,221,166,330,201,533,279
03:45:00,0,616,0,343,4,22,12,688,10,66,103,221,166,330,201,533,279
04:00:00,0,616,0,343,4,22,12,688,10,66,103,221,166,330,201,533,279
04:15:00,0,616,0,343,4,22,12,688,10,66,103,221,166,330,201,533,279
04:30:00,0,616,0,343,4,22,12,688,10,66,103,221,166,330,201,533,279
04:45:00,0,616,0,343,4,22,12,688,10,66,103,221,166,330,201,533,279
05:00:00,0,616,0,343,4,22,12,688,10,66,103,221,166,330,201,533,279
05:15:00,0,616,0,343,4,22,12,688,10,66,103,221,166,330,201,533,279
05:30:00,0,616,0,343,4,22,12,688,10,66,103,221,166,330,201,533,279
05:45:00,0,616,0,343,4,22,12,688,10,66,103,221,166,330,201,533,279
06:00:00,0,618,0,342,5,26,13,692,5,72,97,221,169,338,202,539,279
06:15:00,0,615,0,343,4,23,12,687,10,67,101,221,166,330,201,534,278
06:30:00,0,615,0,343,4,23,12,687,10,67,101,221,166,330,201,534,278
06:45:00,0,615,0,343,4,23,12,687,10,67,101,221,166,330,201,534,278
07:00:00,0,616,0,343,4,22,12,688,10,66,103,221,166,330,201,533,279
07:15:00,0,552,157,318,47,119,221,569,193,14,106,212,158,311,195,555,244
07:30:00,0,545,155,330,47,137,221,567,198,21,104,209,156,316,193,550,239
07:45:00,0,534,150,324,48,161,221,551,209,52,102,206,154,310,193,543,237
08:00:00,0,522,142,311,48,145,226,545,211,134,99,212,153,302,190,535,233
08:15:00,0,526,135,308,47,161,226,531,208,133,98,207,150,297,188,527,229
08:30:00,0,517,131,297,47,143,225,522,205,129,97,209,146,293,185,519,223
08:45:00,0,535,124,284,46,148,225,534,201,123,95,202,144,287,182,512,220
09:00:00,0,536,111,273,46,142,220,536,196,112,93,192,141,277,178,506,215
09:15:00,0,524,101,261,45,160,217,525,192,102,91,182,138,268,177,503,213
09:30:00,0,512,90,246,45,148,218,514,187,95,87,172,136,260,174,500,212
09:45:00,0,498,77,225,44,153,226,492,181,81,83,158,135,250,171,498,212
10:00:00,0,479,59,199,42,179,229,479,173,68,78,143,131,239,166,495,211
10:15:00,0,468,45,176,41,151,221,466,167,50,73,127,130,233,163,494,211
10:30:00,0,457,30,156,40,157,218,457,163,36,68,115,128,227,161,492,210
