Datum und Uhrzeit,PH Coesfelder Kreuz,PH Theater,PP Hörsterplatz,PH Alter Steinweg,Busparkplatz,PP Schlossplatz Nord,PP Schlossplatz Süd,PH Aegidii,PP Georgskommende,PH Münster Arkaden,PH Karstadt,PH Stubengasse,PH Bremer Platz,PH Engelenschanze,PH Bahnhofstraße,PH Cineplex,PH Stadthaus 3
2024-11-14 00:00:00,ges,378,ges,332,ges,100,ges,450,ges,160,176,221,56,152,182,578,310
2024-11-14 00:15:00,ges,378,ges,332,ges,100,ges,450,ges,160,176,221,56,152,183,578,310
2024-11-14 00:30:00,ges,378,ges,332,ges,100,ges,450,ges,160,176,221,56,152,183,578,310
2024-11-14 00:45:00,ges,378,ges,332,ges,ges,ges,450,ges,160,176,221,56,152,183,578,310
2024-11-14 01:00:00,ges,378,ges,332,ges,ges,ges,450,ges,160,176,221,56,152,183,578,311
2024-11-14 01:15:00,ges,378,ges,332,ges,ges,ges,450,ges,160,176,221,56,152,183,578,311
2024-11-14 01:30:00,ges,378,ges,332,ges,ges,ges,450,ges,160,176,221,56,152,183,579,311
2024-11-14 01:45:00,ges,378,ges,332,ges,ges,ges,450,ges,160,176,221,56,152,183,579,312
2024-11-14 02:00:00,ges,378,ges,332,ges,ges,ges,450,ges,160,176,221,56,152,183,579,312
2024-11-14 02:15:00,ges,378,ges,332,ges,ges,ges,450,ges,160,176,221,56,152,183,579,312
2024-11-14 02:30:00,ges,378,ges,332,ges,ges,ges,450,ges,160,176,221,56,152,183,579,312
2024-11-14 02:45:00,ges,378,ges,332,ges,ges,ges,450,ges,160,176,221,56,152,183,579,313
2024-11-14 03:00:00,ges,378,ges,332,ges,ges,ges,450,ges,160,176,221,56,152,183,579,313
2024-11-14 03:15:00,ges,378,ges,332,ges,ges,ges,450,ges,160,176,221,56,152,183,579,313
2024-11-14 03:30:00,ges,378,ges,332,ges,ges,ges,450,ges,160,176,221,56,152,183,579,313
2024-11-14 03:45:00,ges,378,ges,332,ges,ges,ges,450,ges,160,176,221,56,152,183,579,313
2024-11-14 04:00:00,ges,378,ges,332,ges,ges,ges,450,ges,160,176,221,56,152,183,579,313
2024-11-14 04:15:00,ges,378,ges,332,ges,ges,ges,450,ges,160,176,221,56,152,183,579,312
2024-11-14 04:30:00,ges,378,ges,332,ges,ges,ges,450,ges,160,176,221,56,152,183,579,312
2024-11-14 04:45:00,ges,378,ges,332,ges,ges,ges,450,ges,160,176,221,56,152,183,579,312
2024-11-14 05:00:00,ges,378,ges,332,ges,ges,ges,450,ges,160,176,221,56,152,183,579,312
2024-11-14 05:15:00,ges,378,ges,332,ges,ges,ges,450,ges,160,176,221,56,152,183,579,312
2024-11-14 05:30:00,ges,378,ges,332,ges,ges,ges,450,ges,160,176,221,56,152,183,579,310
2024-11-14 05:45:00,ges,378,ges,332,ges,ges,ges,450,ges,160,176,221,56,152,183,579,309
2024-11-14 06:00:00,ges,378,ges,332,ges,ges,ges,450,ges,160,176,221,56,152,183,579,309
2024-11-14 06:15:00,ges,378,ges,332,ges,ges,ges,450,ges,160,176,221,56,152,183,577,305
2024-11-14 06:30:00,ges,378,ges,332,ges,ges,ges,450,ges,160,176,221,56,152,183,574,300
2024-11-14 06:45:00,ges,378,156,330,ges,ges,ges,450,ges,160,176,220,52,0,178,569,286
2024-11-14 07:00:00,ges,378,170,330,63,ges,260,449,ges,160,176,215,52,157,177,556,271
