time_only,PH Coesfelder Kreuz,PH Theater,PP Hörsterplatz,PH Alter Steinweg,Busparkplatz,PP Schlossplatz Nord,PP Schlossplatz Süd,PH Aegidii,PP Georgskommende,PH Münster Arkaden,PH Karstadt,PH Stubengasse,PH Bremer Platz,PH Engelenschanze,PH Bahnhofstraße,PH Cineplex,PH Stadthaus 3
00:00:00,ges,567,ges,343,ges,ges,ges,614,ges,161,181,236,142,274,200,548,316
00:15:00,ges,567,ges,343,ges,ges,ges,614,ges,162,181,236,142,274,200,551,317
00:30:00,ges,567,ges,343,ges,ges,ges,614,ges,162,181,236,142,274,200,551,317
00:45:00,ges,567,ges,343,ges,ges,ges,614,ges,162,181,236,142,274,200,551,317
01:00:00,ges,567,ges,343,ges,ges,ges,614,ges,162,181,236,142,274,200,551,317
01:15:00,ges,567,ges,343,ges,ges,ges,614,ges,162,181,236,142,274,200,552,317
01:30:00,ges,567,ges,343,ges,ges,ges,614,ges,162,181,236,142,274,200,554,317
01:45:00,ges,567,ges,343,ges,ges,ges,614,ges,162,181,236,142,274,200,554,317
02:00:00,ges,567,ges,343,ges,ges,ges,614,ges,162,181,236,142,274,200,555,317
02:15:00,ges,567,ges,343,ges,ges,ges,614,ges,162,181,236,142,274,200,556,317
02:30:00,ges,567,ges,343,ges,ges,ges,614,ges,162,181,236,142,274,200,556,317
02:45:00,ges,567,ges,343,ges,ges,ges,614,ges,162,181,236,142,274,200,556,317
03:00:00,ges,567,ges,343,ges,ges,ges,614,ges,162,181,236,142,274,200,556,317
03:15:00,ges,567,ges,343,ges,ges,ges,614,ges,162,181,236,142,274,200,556,318
03:30:00,ges,567,ges,343,ges,ges,ges,614,ges,162,181,236,142,274,200,556,318
03:45:00,ges,567,ges,343,ges,ges,ges,614,ges,162,181,236,142,274,200,556,318
04:00:00,ges,567,ges,343,ges,ges,ges,614,ges,162,181,236,142,274,200,556,318
04:15:00,ges,567,ges,343,ges,ges,ges,614,ges,162,181,236,142,274,200,556,318
04:30:00,ges,567,ges,343,ges,ges,ges,614,ges,162,181,236,142,274,200,556,318
04:45:00,ges,567,ges,343,ges,ges,ges,614,ges,162,181,236,142,274,200,556,318
05:00:00,ges,567,ges,343,ges,ges,ges,614,ges,162,181,236,142,274,200,556,318
05:15:00,ges,567,ges,343,ges,ges,ges,614,ges,162,181,236,142,274,200,556,318
05:30:00,ges,567,ges,343,ges,ges,ges,614,ges,162,181,236,142,274,200,556,317
05:45:00,ges,567,ges,343,ges,ges,ges,614,ges,162,181,236,142,274,200,557,316
06:00:00,ges,567,ges,343,ges,ges,ges,614,ges,162,181,236,142,274,200,557,312
