time_only,PH Coesfelder Kreuz,PH Theater,PP Hörsterplatz,PH Alter Steinweg,Busparkplatz,PP Schlossplatz Nord,PP Schlossplatz Süd,PH Aegidii,PP Georgskommende,PH Münster Arkaden,PH Karstadt,PH Stubengasse,PH Bremer Platz,PH Engelenschanze,PH Bahnhofstraße,PH Cineplex,PH Stadthaus 3
00:00:00,0,616,6,350,5,53,38,670,20,76,111,234,178,338,206,544,276
00:15:00,0,616,6,350,5,53,38,670,20,76,111,234,178,338,206,544,276
00:30:00,0,616,6,350,5,53,38,670,20,76,111,234,178,338,206,544,276
00:45:00,0,616,6,350,5,53,38,670,20,76,111,234,178,338,206,544,276
01:00:00,0,616,6,350,5,55,39,670,20,74,110,234,178,337,206,544,276
01:15:00,0,616,6,350,5,53,38,670,20,76,111,234,178,338,206,544,276
01:30:00,0,616,6,350,5,53,38,670,20,76,111,234,178,338,206,544,276
01:45:00,0,616,6,350,5,53,38,670,20,76,111,234,178,338,206,544,276
02:00:00,0,616,6,350,5,53,38,670,20,76,111,234,178,338,206,544,276
02:15:00,0,616,6,350,5,53,38,670,20,76,111,234,178,338,206,544,276
02:30:00,0,616,6,350,5,53,38,670,20,76,111,234,178,338,206,544,276
02:45:00,0,616,6,350,5,53,38,670,20,76,111,234,178,338,206,544,276
03:00:00,0,616,6,350,5,53,38,670,20,76,111,234,178,338,206,544,276
03:15:00,0,616,6,350,5,53,38,670,20,76,111,234,178,338,206,544,276
03:30:00,0,616,6,350,5,53,38,670,20,76,111,234,178,338,206,544,276
03:45:00,0,616,6,350,5,53,38,670,20,76,111,234,178,338,206,544,276
04:00:00,0,616,6,350,5,53,38,670,20,76,111,234,178,338,206,544,276
04:15:00,0,616,6,350,5,53,38,670,20,76,111,234,178,338,206,544,276
04:30:00,0,616,6,350,5,53,38,670,20,76,111,234,178,338,206,544,276
04:45:00,0,616,6,350,5,53,38,670,20,76,111,234,178,338,206,544,276
05:00:00,0,616,6,350,5,53,38,670,20,76,111,234,178,338,206,544,276
05:15:00,0,616,6,350,5,53,38,670,20,76,111,234,178,338,206,544,276
05:30:00,0,616,6,350,5,53,38,670,20,76,111,234,178,338,206,544,276
05:45:00,0,616,6,350,5,53,38,670,20,76,111,234,178,338,206,544,276
06:00:00,0,616,6,350,5,55,39,670,20,74,110,234,178,337,206,544,276
06:15:00,0,616,6,350,5,53,38,670,20,76,111,234,178,338,206,544,276
06:30:00,0,616,6,350,5,53,38,670,20,76,111,234,178,338,206,544,276
06:45:00,0,616,6,350,5,53,38,670,20,76,111,234,178,338,206,544,276
07:00:00,0,616,6,350,5,53,38,670,20,76,111,234,178,338,206,544,276
07:15:00,0,607,161,334,46,140,259,643,231,14,111,231,155,330,198,541,226
07:30:00,0,598,165,329,47,156,263,640,236,31,109,229,153,326,196,535,227
07:45:00,0,587,158,323,47,159,263,634,234,62,107,226,152,319,195,529,223
08:00:00,0,575,148,315,46,164,263,623,231,133,105,221,150,313,191,521,219
08:15:00,0,563,141,306,48,153,263,612,228,136,104,217,147,308,189,513,215
08:30:00,0,550,135,297,47,156,263,600,225,133,105,212,143,302,185,504,209
08:45:00,0,539,128,285,46,162,263,584,219,126,102,206,141,295,178,496,205
09:00:00,0,522,118,266,46,157,261,562,213,117,100,199,136,282,173,488,198
09:15:00,0,507,108,258,45,173,259,547,210,105,97,187,133,273,169,484,196
09:30:00,0,494,97,241,44,165,258,539,205,93,93,175,129,263,167,480,195
09:45:00,0,477,84,218,43,165,256,518,198,78,88,162,126,251,163,477,195
10:00:00,0,461,67,192,42,165,245,499,190,57,82,146,122,238,159,474,196
10:15:00,0,448,51,168,41,173,240,487,183,39,75,131,120,228,155,472,196
10:30:00,0,435,39,145,40,181,235,479,177,25,69,118,118,220,152,470,195
10:45:00,0,424,30,127,39,173,235,466,171,16,63,106,116,216,150,468,196
11:00:00,0,415,21,110,37,173,228,457,166,11,54,96,115,204,147,467,195
11:15:00,0,409,17,100,36,173,224,455,165,9,51,88,116,201,145,466,194
11:30:00,0,404,17,93,35,181,219,452,163,6,47,82,116,195,144,465,193
11:45:00,0,400,17,87,35,173,208,453,160,6,46,79,114,192,140,465,192
12:00:00,0,393,17,84,35,181,207,455,159,4,44,75,113,190,143,464,191
12:15:00,0,393,20,85,35,173,207,462,160,5,43,77,112,190,144,463,190
12:30:00,0,394,25,86,35,173,207,471,161,6,44,79,114,193,146,462,190
12:45:00,0,394,30,86,35,178,203,480,160,7,49,82,114,194,148,462,191
13:00:00,0,395,34,89,35,186,202,489,161,9,46,86,115,198,149,463,192
13:15:00,0,397,39,90,35,178,201,489,163,10,48,92,117,214,152,464,193
13:30:00,0,402,43,97,36,178,202,500,164,10,49,94,117,208,153,465,195
13:45:00,0,404,42,102,36,170,204,502,163,10,50,97,115,205,155,464,197
14:00:00,0,406,39,103,35,186,203,509,163,11,52,100,113,204,155,462,197
14:15:00,0,411,41,109,36,178,210,505,165,11,54,102,115,206,155,461,198
14:30:00,0,417,41,113,36,186,209,499,165,11,55,104,116,208,157,458,198
14:45:00,0,420,40,112,36,168,208,525,165,12,56,103,118,208,158,456,199
15:00:00,0,420,36,116,36,170,208,526,164,12,56,103,119,208,159,453,198
15:15:00,0,424,35,117,37,176,206,525,167,11,55,104,119,212,160,452,200
15:30:00,0,427,34,118,38,186,206,487,168,17,57,105,125,216,163,452,205
15:45:00,0,430,33,119,38,162,206,482,168,12,58,104,127,217,163,453,211
16:00:00,0,434,32,119,39,170,206,485,167,13,59,105,126,218,164,455,219
16:15:00,0,443,32,120,39,170,206,484,170,13,60,107,127,224,165,457,227
16:30:00,0,453,37,123,39,179,206,493,172,15,63,109,129,231,168,457,235
16:45:00,0,462,38,129,39,171,201,510,174,16,65,112,130,235,170,458,241
17:00:00,0,469,38,134,40,171,201,528,174,19,66,114,130,239,172,460,247
17:15:00,0,484,43,143,41,163,201,548,179,22,68,118,130,245,173,462,251
17:30:00,0,496,49,153,41,176,201,564,183,27,71,124,131,254,174,466,256
17:45:00,0,504,56,162,41,176,201,570,187,31,74,129,130,257,176,466,260
18:00:00,0,511,64,168,41,173,203,571,189,37,77,132,128,260,175,466,261
18:15:00,0,518,73,179,41,160,203,585,194,45,80,137,129,266,175,465,262
18:30:00,0,525,80,188,41,167,203,596,199,53,84,142,130,272,175,465,262
18:45:00,0,528,85,194,41,175,203,602,200,61,87,148,130,276,175,462,262
19:00:00,0,523,85,202,40,170,203,613,202,69,90,155,131,279,174,455,262
19:15:00,0,513,87,212,40,171,203,623,205,77,93,162,132,285,174,448,261
19:30:00,0,514,92,223,40,173,206,634,207,87,96,171,132,290,175,438,260
19:45:00,0,519,97,234,40,187,206,642,210,101,98,178,135,294,175,429,259
20:00:00,0,523,104,243,41,181,208,646,203,111,100,185,136,298,178,424,259
20:15:00,0,529,111,255,41,175,194,655,195,123,103,193,138,302,179,423,259
20:30:00,0,535,115,265,42,156,188,654,177,128,104,199,141,304,183,424,260
20:45:00,0,541,119,274,42,142,174,658,151,132,104,203,143,308,185,426,261
21:00:00,0,546,123,284,32,92,69,664,66,136,104,207,144,311,187,431,261
21:15:00,0,547,123,284,32,92,69,664,66,136,104,207,144,311,187,431,261
21:30:00,0,547,123,284,32,92,69,664,66,136,104,207,144,311,187,431,261
21:45:00,0,547,123,284,32,92,69,664,66,136,104,207,144,311,187,431,261
22:00:00,0,547,123,284,32,92,69,664,66,136,104,207,144,311,187,431,261
22:15:00,0,547,123,284,32,92,69,664,66,136,104,207,144,311,187,431,261
22:30:00,0,547,123,284,32,92,69,664,66,136,104,207,144,311,187,431,261
22:45:00,0,547,123,284,32,92,69,664,66,136,104,207,144,311,187,431,261
23:00:00,0,547,123,284,32,92,69,664,66,136,104,207,144,311,187,431,261
23:15:00,0,617,0,347,5,21,12,689,10,71,104,227,163,320,201,533,274
23:30:00,0,617,0,347,5,21,12,689,10,71,104,227,163,320,201,533,274
23:45:00,0,617,0,347,5,21,12,689,10,71,104,227,163,320,201,533,274
