Datum und Uhrzeit,PH Coesfelder Kreuz,PH Theater,PP Hörsterplatz,PH Alter Steinweg,Busparkplatz,PP Schlossplatz Nord,PP Schlossplatz Süd,PH Aegidii,PP Georgskommende,PH Münster Arkaden,PH Karstadt,PH Stubengasse,PH Bremer Platz,PH Engelenschanze,PH Bahnhofstraße,PH Cineplex,PH Stadthaus 3
2024-11-12 00:00:00,ges,381,ges,331,ges,ges,ges,445,ges,159,176,222,77,192,201,566,315
2024-11-12 00:15:00,ges,381,ges,331,ges,ges,ges,445,ges,159,176,222,77,192,201,567,315
2024-11-12 00:30:00,ges,381,ges,331,ges,ges,ges,445,ges,159,176,222,77,192,201,567,315
2024-11-12 00:45:00,ges,381,ges,331,ges,ges,ges,445,ges,159,176,222,77,192,201,567,315
2024-11-12 01:00:00,ges,381,ges,331,ges,ges,ges,445,ges,159,176,222,77,192,201,567,315
2024-11-12 01:15:00,ges,381,ges,331,ges,ges,ges,445,ges,159,176,222,77,192,201,567,315
2024-11-12 01:30:00,ges,381,ges,331,ges,ges,ges,445,ges,159,176,222,77,192,201,567,315
2024-11-12 01:45:00,ges,381,ges,331,ges,ges,ges,445,ges,159,176,222,77,192,201,567,315
2024-11-12 02:00:00,ges,381,ges,331,ges,ges,ges,445,ges,159,176,222,77,192,201,567,315
2024-11-12 02:15:00,ges,381,ges,331,ges,ges,ges,445,ges,159,176,222,77,192,201,567,315
2024-11-12 02:30:00,ges,381,ges,331,ges,ges,ges,445,ges,159,176,222,77,192,201,566,315
2024-11-12 02:45:00,ges,381,ges,331,ges,ges,ges,445,ges,159,176,222,77,192,201,566,315
2024-11-12 03:00:00,ges,381,ges,331,ges,ges,ges,445,ges,159,176,222,77,192,201,567,315
2024-11-12 03:15:00,ges,381,ges,331,ges,ges,ges,445,ges,159,176,222,77,192,201,567,315
2024-11-12 03:30:00,ges,381,ges,331,ges,ges,ges,445,ges,159,176,222,77,192,201,567,315
2024-11-12 03:45:00,ges,381,ges,331,ges,ges,ges,445,ges,159,176,222,77,192,201,567,315
2024-11-12 04:00:00,ges,381,ges,331,ges,ges,ges,445,ges,159,176,222,77,192,201,567,315
2024-11-12 04:15:00,ges,381,ges,331,ges,ges,ges,445,ges,159,176,222,77,192,201,567,314
2024-11-12 04:30:00,ges,381,ges,331,ges,ges,ges,445,ges,159,176,222,77,192,201,567,314
2024-11-12 04:45:00,ges,381,ges,331,ges,ges,ges,445,ges,159,176,222,77,192,201,567,314
2024-11-12 05:00:00,ges,381,ges,331,ges,ges,ges,445,ges,159,176,222,77,192,201,567,314
2024-11-12 05:15:00,ges,381,ges,331,ges,ges,ges,445,ges,159,176,222,77,192,201,567,314
2024-11-12 05:30:00,ges,381,ges,331,ges,ges,ges,445,ges,159,176,222,77,192,201,566,313
2024-11-12 05:45:00,ges,381,ges,331,ges,ges,ges,445,ges,159,176,222,77,192,201,566,313
2024-11-12 06:00:00,ges,381,ges,331,ges,ges,ges,445,ges,159,176,222,77,192,201,566,306
2024-11-12 06:15:00,ges,381,ges,331,ges,ges,ges,445,ges,159,176,222,77,192,201,564,303
