time_only,PH Coesfelder Kreuz,PH Theater,PP Hörsterplatz,PH Alter Steinweg,Busparkplatz,PP Schlossplatz Nord,PP Schlossplatz Süd,PH Aegidii,PP Georgskommende,PH Münster Arkaden,PH Karstadt,PH Stubengasse,PH Bremer Platz,PH Engelenschanze,PH Bahnhofstraße,PH Cineplex,PH Stadthaus 3
00:00:00,ges,534,ges,342,ges,ges,ges,568,ges,147,182,199,130,254,193,548,318
00:15:00,ges,534,ges,343,ges,ges,ges,572,ges,147,182,198,131,254,193,548,319
00:30:00,ges,534,ges,343,ges,ges,ges,572,ges,147,182,198,131,254,193,548,319
00:45:00,ges,534,ges,343,ges,ges,ges,572,ges,147,182,198,131,254,193,550,319
01:00:00,ges,534,ges,343,ges,ges,ges,572,ges,147,182,198,131,254,193,551,319
01:15:00,ges,534,ges,343,ges,ges,ges,572,ges,147,182,198,131,254,193,551,319
01:30:00,ges,534,ges,343,ges,ges,ges,572,ges,147,182,198,131,254,193,551,319
01:45:00,ges,534,ges,343,ges,ges,ges,572,ges,147,182,198,131,254,193,552,319
02:00:00,ges,534,ges,343,ges,ges,ges,572,ges,147,182,198,131,254,193,553,319
02:15:00,ges,534,ges,343,ges,ges,ges,572,ges,147,182,198,131,254,193,553,319
02:30:00,ges,534,ges,343,ges,ges,ges,572,ges,147,182,198,131,254,193,553,319
02:45:00,ges,534,ges,343,ges,ges,ges,572,ges,147,182,198,131,254,193,553,319
03:00:00,ges,534,ges,343,ges,ges,ges,572,ges,147,182,198,131,254,193,553,319
03:15:00,ges,534,ges,343,ges,ges,ges,572,ges,147,182,198,131,254,193,553,319
03:30:00,ges,534,ges,343,ges,ges,ges,572,ges,147,182,198,131,254,193,553,319
03:45:00,ges,534,ges,343,ges,ges,ges,572,ges,147,182,198,131,254,193,553,319
04:00:00,ges,534,ges,343,ges,ges,ges,572,ges,147,182,198,131,254,193,553,319
04:15:00,ges,534,ges,343,ges,ges,ges,572,ges,147,182,198,131,254,193,553,319
04:30:00,ges,534,ges,343,ges,ges,ges,572,ges,147,182,198,131,254,193,553,319
04:45:00,ges,534,ges,343,ges,ges,ges,572,ges,147,182,198,131,254,193,553,319
05:00:00,ges,534,ges,343,ges,ges,ges,572,ges,147,182,198,131,254,193,553,319
05:15:00,ges,534,ges,343,ges,ges,ges,572,ges,147,182,198,131,254,193,553,319
05:30:00,ges,534,ges,343,ges,ges,ges,572,ges,147,182,198,131,254,193,553,318
05:45:00,ges,534,ges,343,ges,ges,ges,572,ges,147,182,198,131,254,193,553,317
06:00:00,ges,534,ges,343,ges,ges,ges,572,ges,147,182,198,131,254,193,553,312
06:15:00,ges,534,ges,343,ges,ges,ges,572,ges,147,182,198,131,254,193,552,307
06:30:00,ges,534,ges,343,ges,123,ges,572,ges,147,182,198,131,254,193,549,301
06:45:00,ges,524,ges,342,ges,114,ges,569,ges,144,182,198,114,240,159,545,289
07:00:00,ges,558,172,338,59,112,161,587,239,144,182,193,123,272,187,539,277
07:15:00,ges,554,172,335,59,112,246,591,239,144,176,192,121,269,188,532,268
07:30:00,ges,548,169,334,59,112,298,587,237,144,170,192,121,268,187,528,263
07:45:00,ges,542,164,326,59,112,298,581,235,144,164,190,120,262,185,522,259
08:00:00,ges,510,150,316,59,112,298,547,232,143,161,190,116,243,182,515,255
08:15:00,ges,498,140,306,59,112,298,531,227,137,158,186,115,239,183,505,249
08:30:00,ges,489,129,293,59,138,298,517,223,133,155,182,111,218,180,499,242
08:45:00,ges,478,124,279,59,138,298,500,217,123,150,176,106,219,174,492,238
09:00:00,ges,462,113,250,60,138,298,450,210,112,143,163,100,203,169,483,232
09:15:00,ges,446,97,226,61,116,285,422,207,103,137,147,97,192,165,478,228
09:30:00,ges,428,82,197,61,116,285,396,201,91,127,133,93,181,162,475,225
09:45:00,ges,406,82,171,61,116,285,365,192,77,118,116,90,171,159,472,225
10:00:00,ges,352,48,136,61,116,253,326,180,55,103,95,83,157,153,468,227
10:15:00,ges,359,51,95,61,116,253,286,164,34,84,74,80,143,150,466,226
10:30:00,ges,338,54,62,60,104,253,253,155,28,71,59,79,150,146,461,226
10:45:00,ges,315,31,60,58,104,233,227,146,25,67,49,75,135,141,458,224
11:00:00,ges,284,40,46,56,104,193,197,139,15,49,42,72,119,136,453,223
11:15:00,ges,261,75,40,54,104,193,170,136,19,46,37,72,110,131,454,221
11:30:00,ges,242,83,40,49,104,193,151,130,19,38,36,72,103,130,453,219
11:45:00,ges,230,88,27,47,104,134,145,125,13,42,29,72,101,130,452,217
12:00:00,ges,222,44,34,48,95,164,127,130,13,34,27,74,101,131,450,215
12:15:00,ges,215,33,34,48,106,195,120,132,87,36,34,72,104,131,448,215
12:30:00,ges,213,27,43,42,96,195,123,131,18,38,36,71,110,133,447,215
