Datum und Uhrzeit,PH Coesfelder Kreuz,PH Theater,PP Hörsterplatz,PH Alter Steinweg,Busparkplatz,PP Schlossplatz Nord,PP Schlossplatz Süd,PH Aegidii,PP Georgskommende,PH Münster Arkaden,PH Karstadt,PH Stubengasse,PH Bremer Platz,PH Engelenschanze,PH Bahnhofstraße,PH Cineplex,PH Stadthaus 3
2024-01-03 00:00:00,0,654,0,361,0,0,0,750,0,0,156,259,202,407,256,541,260
2024-01-03 00:15:00,0,654,0,361,0,0,0,750,0,0,156,259,202,407,256,541,260
2024-01-03 00:30:00,0,654,0,361,0,0,0,750,0,0,156,259,202,407,256,541,260
2024-01-03 00:45:00,0,654,0,361,0,0,0,750,0,0,156,259,202,407,256,541,260
2024-01-03 01:00:00,0,654,0,361,0,0,0,750,0,0,156,259,202,407,256,541,260
2024-01-03 01:15:00,0,654,0,361,0,0,0,750,0,0,156,259,202,407,256,541,260
2024-01-03 01:30:00,0,654,0,361,0,0,0,750,0,0,156,259,202,407,256,541,260
2024-01-03 01:45:00,0,654,0,361,0,0,0,750,0,0,156,259,202,407,256,541,260
2024-01-03 02:00:00,0,654,0,361,0,0,0,750,0,0,156,259,202,407,256,541,260
2024-01-03 02:15:00,0,654,0,361,0,0,0,750,0,0,156,259,202,407,256,541,260
2024-01-03 02:30:00,0,654,0,361,0,0,0,750,0,0,156,259,202,407,256,541,260
2024-01-03 02:45:00,0,654,0,361,0,0,0,750,0,0,156,259,202,407,256,541,260
2024-01-03 03:00:00,0,654,0,361,0,0,0,750,0,0,156,259,202,407,256,541,260
2024-01-03 03:15:00,0,654,0,361,0,0,0,750,0,0,156,259,202,407,256,541,260
2024-01-03 03:30:00,0,654,0,361,0,0,0,750,0,0,156,259,202,407,256,541,260
2024-01-03 03:45:00,0,654,0,361,0,0,0,750,0,0,156,259,202,407,256,541,260
2024-01-03 04:00:00,0,654,0,361,0,0,0,750,0,0,156,259,202,407,256,541,260
2024-01-03 04:15:00,0,654,0,361,0,0,0,750,0,0,156,259,202,407,256,541,260
2024-01-03 04:30:00,0,654,0,361,0,0,0,750,0,0,156,259,202,407,256,541,260
2024-01-03 04:45:00,0,654,0,361,0,0,0,750,0,0,156,259,202,407,256,541,260
2024-01-03 05:00:00,0,654,0,361,0,0,0,750,0,0,156,259,202,407,256,541,260
2024-01-03 05:15:00,0,654,0,361,0,0,0,750,0,0,156,259,202,407,256,541,260
2024-01-03 05:30:00,0,654,0,361,0,0,0,750,0,0,156,259,202,407,256,541,260
2024-01-03 05:45:00,0,654,0,361,0,0,0,750,0,0,156,259,202,407,256,541,260
2024-01-03 06:00:00,0,654,0,361,0,0,0,750,0,0,156,259,202,407,256,541,260
2024-01-03 06:15:00,0,654,0,361,0,0,0,750,0,0,156,259,202,407,256,541,260
2024-01-03 06:30:00,0,654,0,361,0,0,0,750,0,0,156,259,202,407,256,541,260
2024-01-03 06:45:00,0,654,0,361,0,0,0,750,0,0,156,259,202,407,256,541,260
2024-01-03 07:00:00,0,654,0,361,0,0,0,750,0,0,156,259,202,407,256,541,260
2024-01-03 07:15:00,0,652,185,335,63,350,430,750,249,0,156,253,160,398,250,553,221
2024-01-03 07:30:00,0,641,183,328,63,350,430,750,249,0,151,251,156,394,242,549,214
2024-01-03 07:45:00,0,631,177,321,63,350,430,750,248,0,155,246,156,380,240,547,209
2024-01-03 08:00:00,0,616,175,310,63,350,430,750,249,150,152,240,153,369,235,539,205
2024-01-03 08:15:00,0,605,173,300,63,350,430,750,245,150,151,237,150,362,226,530,206
2024-01-03 08:30:00,0,595,168,286,63,350,430,750,246,147,151,233,150,358,226,519,203
2024-01-03 08:45:00,0,589,162,277,63,350,430,499,243,138,149,225,150,348,216,516,201
2024-01-03 09:00:00,0,572,150,262,63,350,430,488,238,128,142,216,148,339,211,516,198
2024-01-03 09:15:00,0,562,140,252,63,350,430,481,235,118,140,204,151,331,206,513,193
2024-01-03 09:30:00,0,554,130,238,63,350,430,465,232,103,131,176,150,324,201,514,193
2024-01-03 09:45:00,0,538,114,220,63,350,430,461,227,65,119,152,150,315,199,515,195
2024-01-03 10:00:00,0,520,96,179,63,350,430,433,224,43,99,126,144,300,200,514,200
2024-01-03 10:15:00,0,503,75,160,62,350,430,422,217,4,86,109,132,293,197,515,200
2024-01-03 10:30:00,0,477,52,131,61,350,430,406,210,0,69,82,126,283,195,513,201
2024-01-03 10:45:00,0,451,38,95,60,350,330,388,203,0,60,63,123,280,188,511,197
2024-01-03 11:00:00,0,434,18,61,58,350,330,370,197,0,40,40,117,265,181,505,195
2024-01-03 11:15:00,0,415,0,38,56,350,330,360,187,0,30,27,114,249,173,501,196
2024-01-03 11:30:00,0,393,0,0,56,350,330,355,180,0,24,22,113,251,168,493,195
2024-01-03 11:45:00,0,370,0,0,56,350,330,366,173,0,16,15,111,241,164,483,196
2024-01-03 12:00:00,0,334,0,0,56,350,330,384,162,2,25,9,112,226,165,479,198
2024-01-03 12:15:00,0,310,0,0,61,350,330,386,158,0,19,7,115,218,159,476,196
2024-01-03 12:30:00,0,294,0,0,58,350,230,384,156,0,21,24,116,207,159,475,193
2024-01-03 12:45:00,0,287,0,9,58,350,230,124,162,0,15,10,116,204,160,475,190
2024-01-03 13:00:00,0,284,0,3,56,350,230,140,167,0,13,9,119,198,163,478,192
2024-01-03 13:15:00,0,296,0,7,58,350,230,166,162,0,7,14,117,200,167,473,191
2024-01-03 13:30:00,0,319,27,20,61,350,230,180,165,0,9,29,112,215,172,471,191
2024-01-03 13:45:00,0,328,21,22,59,350,230,212,165,0,9,32,113,218,171,475,195
2024-01-03 14:00:00,0,338,26,13,58,350,230,216,166,0,14,29,111,218,171,460,193
2024-01-03 14:15:00,0,341,26,25,60,350,230,234,164,0,9,34,112,221,175,443,195
2024-01-03 14:30:00,0,357,31,21,60,350,230,265,169,0,13,43,110,228,178,430,194
2024-01-03 14:45:00,0,374,20,23,41,350,230,296,171,0,14,51,110,222,174,424,196
2024-01-03 15:00:00,0,386,20,29,41,350,230,318,173,0,22,45,111,233,176,422,197
2024-01-03 15:15:00,0,400,15,28,40,350,230,353,175,0,31,46,108,247,181,417,192
2024-01-03 15:30:00,0,399,20,27,36,350,230,366,177,0,34,48,119,245,193,419,198
2024-01-03 15:45:00,0,411,7,27,36,350,230,411,183,0,31,57,120,250,195,418,201
2024-01-03 16:00:00,0,426,14,54,35,350,230,446,183,0,38,62,118,265,198,413,209
2024-01-03 16:15:00,0,432,27,53,38,350,230,469,189,0,40,73,125,279,203,431,221
2024-01-03 16:30:00,0,452,27,58,40,350,230,509,193,0,45,73,123,292,209,429,226
2024-01-03 16:45:00,0,472,41,60,40,350,230,537,195,0,54,88,127,294,206,419,231
2024-01-03 17:00:00,0,497,40,81,40,350,230,572,201,0,63,88,120,304,204,427,236
2024-01-03 17:15:00,0,516,46,101,42,350,230,609,205,0,72,101,117,312,206,429,242
2024-01-03 17:30:00,0,535,55,128,46,350,230,656,214,0,78,120,114,324,207,441,244
2024-01-03 17:45:00,0,545,68,143,50,350,230,693,214,4,82,124,112,334,207,435,248
2024-01-03 18:00:00,0,553,75,149,50,350,230,718,215,0,94,129,105,328,202,435,249
2024-01-03 18:15:00,0,551,84,162,51,350,230,744,217,17,104,143,114,326,202,439,251
2024-01-03 18:30:00,0,568,91,188,51,350,230,750,224,28,111,160,122,333,201,446,251
2024-01-03 18:45:00,0,574,101,196,52,350,230,750,227,42,119,165,120,339,192,448,251
2024-01-03 19:00:00,0,579,103,196,53,350,230,750,230,56,127,165,124,347,193,443,251
2024-01-03 19:15:00,0,593,114,209,54,350,230,750,234,66,141,172,130,349,196,451,251
2024-01-03 19:30:00,0,601,120,219,54,350,230,750,240,74,147,177,127,352,201,445,252
2024-01-03 19:45:00,0,606,124,233,54,350,230,750,244,94,151,186,133,353,202,439,253
2024-01-03 20:00:00,0,622,123,231,55,350,230,750,244,114,155,195,127,363,204,434,254
2024-01-03 20:15:00,0,630,127,252,57,350,230,750,246,128,160,203,125,371,206,432,254
2024-01-03 20:30:00,0,633,135,261,55,350,230,750,248,135,161,207,123,376,206,431,254
2024-01-03 20:45:00,0,637,138,269,56,350,230,750,249,138,161,213,125,383,205,442,254
2024-01-03 21:00:00,0,641,146,285,55,0,0,750,249,149,161,217,125,384,206,442,255
2024-01-03 21:15:00,0,641,146,285,55,0,0,750,249,149,161,217,125,384,206,442,255
2024-01-03 21:30:00,0,641,146,285,55,0,0,750,249,149,161,217,125,384,206,442,255
2024-01-03 21:45:00,0,641,146,285,55,0,0,750,249,149,161,217,125,384,206,442,255
2024-01-03 22:00:00,0,641,146,285,55,0,0,750,249,149,161,217,125,384,206,442,255
2024-01-03 22:15:00,0,641,146,285,55,0,0,750,249,149,161,217,125,384,206,442,255
2024-01-03 22:30:00,0,641,146,285,55,0,0,750,249,149,161,217,125,384,206,442,255
2024-01-03 22:45:00,0,641,146,285,55,0,0,750,249,149,161,217,125,384,206,442,255
2024-01-03 23:00:00,0,641,146,285,55,0,0,750,249,149,161,217,125,384,206,442,255
2024-01-03 23:15:00,0,663,0,355,0,0,0,750,0,150,161,256,162,390,239,545,260
2024-01-03 23:30:00,0,663,0,355,0,0,0,750,0,150,161,256,162,390,239,545,260
2024-01-03 23:45:00,0,663,0,355,0,0,0,750,0,150,161,256,162,390,239,545,260
2024-01-10 00:00:00,0,656,0,362,0,0,160,750,0,150,158,264,185,275,217,572,263
2024-01-10 00:15:00,0,656,0,362,0,0,160,750,0,150,158,264,185,275,217,572,263
2024-01-10 00:30:00,0,656,0,362,0,0,160,750,0,150,158,264,185,275,217,572,263
2024-01-10 00:45:00,0,656,0,362,0,0,160,750,0,150,158,264,185,275,217,572,263
2024-01-10 01:00:00,0,656,0,362,0,0,160,750,0,150,158,264,185,275,217,572,263
2024-01-10 01:15:00,0,656,0,362,0,0,160,750,0,150,158,264,185,275,217,572,263
2024-01-10 01:30:00,0,656,0,362,0,0,160,750,0,150,158,264,185,275,217,572,263
2024-01-10 01:45:00,0,656,0,362,0,0,160,750,0,150,158,264,185,275,217,572,263
2024-01-10 02:00:00,0,656,0,362,0,0,160,750,0,150,158,264,185,275,217,572,263
2024-01-10 02:15:00,0,656,0,362,0,0,160,750,0,150,158,264,185,275,217,572,263
2024-01-10 02:30:00,0,656,0,362,0,0,160,750,0,150,158,264,185,275,217,572,263
2024-01-10 02:45:00,0,656,0,362,0,0,160,750,0,150,158,264,185,275,217,572,263
2024-01-10 03:00:00,0,656,0,362,0,0,160,750,0,150,158,264,185,275,217,572,263
2024-01-10 03:15:00,0,656,0,362,0,0,160,750,0,150,158,264,185,275,217,572,263
2024-01-10 03:30:00,0,656,0,362,0,0,160,750,0,150,158,264,185,275,217,572,263
2024-01-10 03:45:00,0,656,0,362,0,0,160,750,0,150,158,264,185,275,217,572,263
2024-01-10 04:00:00,0,656,0,362,0,0,160,750,0,150,158,264,185,275,217,572,263
2024-01-10 04:15:00,0,656,0,362,0,0,160,750,0,150,158,264,185,275,217,572,263
2024-01-10 04:30:00,0,656,0,362,0,0,160,750,0,150,158,264,185,275,217,572,263
2024-01-10 04:45:00,0,656,0,362,0,0,160,750,0,150,158,264,185,275,217,572,263
2024-01-10 05:00:00,0,656,0,362,0,0,160,750,0,150,158,264,185,275,217,572,263
2024-01-10 05:15:00,0,656,0,362,0,0,160,750,0,150,158,264,185,275,217,572,263
2024-01-10 05:30:00,0,656,0,362,0,0,160,750,0,150,158,264,185,275,217,572,263
2024-01-10 05:45:00,0,656,0,362,0,0,160,750,0,150,158,264,185,275,217,572,263
2024-01-10 06:00:00,0,656,0,362,0,0,160,750,0,150,158,264,185,275,217,572,263
2024-01-10 06:15:00,0,656,0,362,0,0,160,750,0,150,158,264,185,275,217,572,263
2024-01-10 06:30:00,0,656,0,362,0,0,160,750,0,150,158,264,185,275,217,572,263
2024-01-10 06:45:00,0,656,0,362,0,0,160,750,0,150,158,264,185,275,217,572,263
2024-01-10 07:00:00,0,656,0,362,0,0,160,750,0,150,158,264,185,275,217,572,263
2024-01-10 07:15:00,0,643,188,343,61,350,400,750,208,0,158,252,170,275,210,549,207
2024-01-10 07:30:00,0,635,188,335,61,0,400,748,208,150,155,253,169,271,213,546,200
2024-01-10 07:45:00,0,623,182,325,61,350,400,742,207,150,151,253,168,260,215,531,193
2024-01-10 08:00:00,0,610,179,316,61,350,400,733,204,150,149,249,168,258,219,521,190
2024-01-10 08:15:00,0,599,174,300,60,0,400,721,202,150,149,238,157,259,213,510,180
2024-01-10 08:30:00,0,581,161,284,56,350,400,708,194,144,147,235,144,245,206,497,171
2024-01-10 08:45:00,0,561,150,267,55,350,400,696,183,125,145,228,135,238,200,476,166
2024-01-10 09:00:00,0,543,132,245,51,350,400,678,172,100,139,212,127,228,192,456,160
2024-01-10 09:15:00,0,528,119,224,54,0,400,673,171,85,132,195,119,220,186,449,151
2024-01-10 09:30:00,0,509,102,212,53,0,400,666,163,71,120,180,119,206,182,442,149
2024-01-10 09:45:00,0,481,85,171,55,0,400,651,158,50,113,154,120,184,181,436,152
