time_only,PH Coesfelder Kreuz,PH Theater,PP Hörsterplatz,PH Alter Steinweg,Busparkplatz,PP Schlossplatz Nord,PP Schlossplatz Süd,PH Aegidii,PP Georgskommende,PH Münster Arkaden,PH Karstadt,PH Stubengasse,PH Bremer Platz,PH Engelenschanze,PH Bahnhofstraße,PH Cineplex,PH Stadthaus 3
00:00:00,0,617,0,347,5,21,12,689,10,71,104,227,163,320,201,533,274
00:15:00,0,617,0,347,5,21,12,689,10,71,104,227,163,320,201,533,274
00:30:00,0,617,0,347,5,21,12,689,10,71,104,227,163,320,201,533,274
00:45:00,0,617,0,347,5,21,12,689,10,71,104,227,163,320,201,533,274
01:00:00,0,616,0,347,5,22,12,688,10,73,107,226,163,319,201,532,273
01:15:00,0,617,0,347,5,21,12,689,10,71,104,227,163,320,201,533,274
01:30:00,0,617,0,347,5,21,12,689,10,71,104,227,163,320,201,533,274
01:45:00,0,617,0,347,5,21,12,689,10,71,104,227,163,320,201,533,274
02:00:00,0,617,0,347,5,21,12,689,10,71,104,227,163,320,201,533,274
02:15:00,0,617,0,347,5,21,12,689,10,71,104,227,163,320,201,533,274
02:30:00,0,617,0,347,5,21,12,689,10,71,104,227,163,320,201,533,274
02:45:00,0,617,0,347,5,21,12,689,10,71,104,227,163,320,201,533,274
03:00:00,0,617,0,347,5,21,12,689,10,71,104,227,163,320,201,533,274
03:15:00,0,617,0,347,5,21,12,689,10,71,104,227,163,320,201,533,274
03:30:00,0,617,0,347,5,21,12,689,10,71,104,227,163,320,201,533,274
03:45:00,0,617,0,347,5,21,12,689,10,71,104,227,163,320,201,533,274
04:00:00,0,617,0,347,5,21,12,689,10,71,104,227,163,320,201,533,274
04:15:00,0,617,0,347,5,21,12,689,10,71,104,227,163,320,201,533,274
04:30:00,0,617,0,347,5,21,12,689,10,71,104,227,163,320,201,533,274
04:45:00,0,617,0,347,5,21,12,689,10,71,104,227,163,320,201,533,274
05:00:00,0,617,0,347,5,21,12,689,10,71,104,227,163,320,201,533,274
05:15:00,0,617,0,347,5,21,12,689,10,71,104,227,163,320,201,533,274
05:30:00,0,617,0,347,5,21,12,689,10,71,104,227,163,320,201,533,274
05:45:00,0,617,0,347,5,21,12,689,10,71,104,227,163,320,201,533,274
06:00:00,0,611,0,346,3,25,14,687,11,72,110,225,162,320,203,528,272
06:15:00,0,617,0,347,5,21,12,689,10,71,104,227,163,320,201,533,274
06:30:00,0,617,0,347,5,21,12,689,10,71,104,227,163,320,201,533,274
06:45:00,0,617,0,347,5,21,12,689,10,71,104,227,163,320,201,533,274
07:00:00,0,617,0,347,5,21,12,689,10,71,104,227,163,320,201,533,274
07:15:00,0,590,160,333,40,160,217,591,180,10,104,217,148,306,190,540,234
07:30:00,0,581,157,328,39,151,231,583,187,38,100,214,147,305,187,533,227
07:45:00,0,570,152,321,40,154,236,576,195,61,100,211,146,299,186,528,224
08:00:00,0,557,143,311,39,164,236,568,197,126,99,207,146,295,184,520,220
08:15:00,0,545,136,300,39,161,236,560,195,128,98,209,144,290,181,511,216
08:30:00,0,533,130,288,40,166,236,542,190,125,96,204,141,286,179,503,204
08:45:00,0,521,121,275,41,164,235,537,184,117,94,198,140,280,175,496,204
09:00:00,0,519,106,259,41,152,232,521,175,104,92,187,135,270,171,489,202
09:15:00,0,505,92,244,41,155,230,502,168,90,88,174,132,261,167,484,198
09:30:00,0,491,76,224,40,163,221,489,160,71,83,160,129,250,164,480,197
09:45:00,0,474,59,200,39,169,221,472,150,52,79,145,126,240,161,478,197
10:00:00,0,450,36,167,37,168,206,454,137,34,71,127,122,228,156,474,197
10:15:00,0,428,17,139,36,160,201,434,127,16,63,110,119,220,152,472,197
10:30:00,0,407,10,112,35,170,199,416,118,9,56,94,116,212,151,468,196
10:45:00,0,388,3,89,33,168,181,403,111,7,51,89,115,203,146,467,196
11:00:00,0,365,2,64,32,156,170,388,103,7,44,69,113,195,142,465,195
11:15:00,0,348,1,53,31,169,160,371,99,6,39,61,112,190,140,465,194
11:30:00,0,333,2,44,31,167,151,345,95,7,36,56,110,184,139,463,193
11:45:00,0,320,2,39,30,173,150,344,91,7,33,52,109,179,139,463,192
12:00:00,0,312,2,37,29,178,147,350,89,7,31,50,109,176,137,463,191
12:15:00,0,309,2,39,29,167,142,356,90,6,31,52,110,176,136,463,191
12:30:00,0,302,6,36,29,172,137,367,92,4,30,58,110,179,136,475,190
12:45:00,0,304,8,39,30,175,136,355,93,4,31,62,111,180,137,475,196
13:00:00,0,308,9,43,30,173,135,370,96,4,33,65,113,183,140,475,196
13:15:00,0,315,15,51,31,167,136,383,100,5,36,72,114,187,145,476,197
13:30:00,0,327,19,60,31,175,137,401,103,5,37,75,115,193,148,477,198
13:45:00,0,336,21,69,31,173,136,421,106,7,40,80,116,196,148,475,196
14:00:00,0,345,22,74,32,172,129,422,110,6,42,84,116,199,149,474,197
14:15:00,0,359,27,84,33,186,145,436,116,7,45,84,119,204,151,467,203
14:30:00,0,372,32,94,32,188,145,453,124,7,48,89,120,209,153,470,204
14:45:00,0,385,34,95,32,188,145,457,132,8,52,96,121,210,155,468,204
15:00:00,0,394,34,108,33,188,139,469,142,8,53,99,122,212,157,467,206
15:15:00,0,404,37,115,34,188,139,475,150,10,56,103,125,218,160,467,208
15:30:00,0,413,38,120,35,189,143,459,154,11,58,106,128,228,163,468,212
15:45:00,0,422,40,124,36,188,139,479,155,12,59,108,130,224,165,469,219
16:00:00,0,429,37,128,36,188,139,495,155,13,60,109,129,226,166,471,227
16:15:00,0,438,38,133,37,188,144,505,160,15,61,111,130,231,168,472,236
16:30:00,0,448,41,135,38,180,144,521,164,15,64,113,131,238,169,473,242
16:45:00,0,458,41,139,38,189,146,536,166,17,66,117,129,241,170,472,249
17:00:00,0,468,43,141,38,181,148,544,168,18,67,118,128,245,169,472,253
17:15:00,0,483,46,147,40,173,148,559,174,21,70,123,134,252,171,471,257
17:30:00,0,494,51,154,41,176,152,575,179,24,72,125,130,260,172,471,260
17:45:00,0,503,55,154,42,177,153,587,184,30,75,129,129,263,171,466,263
18:00:00,0,508,58,161,42,170,155,592,188,34,78,130,126,265,168,458,264
18:15:00,0,513,64,168,42,181,155,597,191,38,82,134,124,268,167,460,266
18:30:00,0,518,69,175,42,186,155,611,195,44,85,139,134,271,166,456,265
18:45:00,0,519,75,181,41,186,162,611,197,51,89,144,124,274,163,451,265
19:00:00,0,515,76,187,41,186,162,620,198,61,91,149,124,277,162,443,264
19:15:00,0,507,78,194,41,189,166,629,202,69,95,156,123,281,162,437,264
19:30:00,0,508,81,210,41,186,167,638,204,79,97,164,134,286,164,429,264
19:45:00,0,513,85,220,40,180,167,645,205,89,99,171,126,291,166,420,263
20:00:00,0,518,90,233,41,178,167,651,197,101,98,174,128,296,168,416,263
20:15:00,0,523,94,246,41,174,159,659,185,114,101,182,132,300,170,414,264
20:30:00,0,530,97,257,41,147,155,658,172,120,102,187,135,304,174,415,265
20:45:00,0,538,101,268,42,136,117,664,154,125,103,191,137,308,176,417,266
21:00:00,0,544,106,278,36,68,60,671,89,128,103,196,139,312,178,420,267
21:15:00,0,545,106,278,36,68,55,671,84,128,103,196,139,312,178,420,267
21:30:00,0,545,106,278,36,68,55,671,84,128,103,196,139,312,178,420,267
21:45:00,0,545,106,278,36,68,55,671,84,128,103,196,139,312,178,420,267
22:00:00,0,545,106,278,36,68,55,671,84,128,103,196,139,312,178,420,267
22:15:00,0,545,106,278,36,68,55,671,84,128,103,196,139,312,178,420,267
22:30:00,0,545,106,278,36,68,55,671,84,128,103,196,139,312,178,420,267
22:45:00,0,545,106,278,36,68,55,671,84,128,103,196,139,312,178,420,267
23:00:00,0,545,106,278,36,68,55,671,84,128,103,196,139,312,178,420,267
23:15:00,0,615,0,343,4,23,12,689,10,64,105,221,165,330,201,533,279
23:30:00,0,616,0,343,4,22,12,688,10,66,103,221,166,330,201,533,279
23:45:00,0,616,0,343,4,22,12,688,10,66,103,221,166,330,201,533,279
