Datum und Uhrzeit,PH Coesfelder Kreuz,PH Theater,PP Hörsterplatz,PH Alter Steinweg,Busparkplatz,PP Schlossplatz Nord,PP Schlossplatz Süd,PH Aegidii,PP Georgskommende,PH Münster Arkaden,PH Karstadt,PH Stubengasse,PH Bremer Platz,PH Engelenschanze,PH Bahnhofstraße,PH Cineplex,PH Stadthaus 3
2024-11-13 00:00:00,ges,380,ges,338,ges,ges,ges,442,ges,158,174,233,59,187,196,580,317
2024-11-13 00:15:00,ges,380,ges,338,ges,ges,ges,442,ges,158,174,233,59,187,196,581,317
2024-11-13 00:30:00,ges,380,ges,338,ges,ges,ges,442,ges,158,174,233,59,187,196,581,316
2024-11-13 00:45:00,ges,380,ges,338,ges,ges,ges,442,ges,158,174,233,59,187,196,581,316
2024-11-13 01:00:00,ges,380,ges,338,ges,ges,ges,442,ges,158,174,233,59,187,196,581,316
2024-11-13 01:15:00,ges,380,ges,338,ges,ges,ges,442,ges,158,174,233,59,187,196,581,317
2024-11-13 01:30:00,ges,380,ges,338,ges,ges,ges,442,ges,158,174,233,59,187,196,581,317
2024-11-13 01:45:00,ges,380,ges,338,ges,ges,ges,442,ges,158,174,233,59,187,196,581,317
2024-11-13 02:00:00,ges,380,ges,338,ges,ges,ges,442,ges,158,174,233,59,187,196,581,317
2024-11-13 02:15:00,ges,380,ges,338,ges,ges,ges,442,ges,158,174,233,59,187,196,581,317
2024-11-13 02:30:00,ges,380,ges,338,ges,ges,ges,442,ges,158,174,233,59,187,196,581,317
2024-11-13 02:45:00,ges,380,ges,338,ges,ges,ges,442,ges,158,174,233,59,187,196,581,317
2024-11-13 03:00:00,ges,380,ges,338,ges,ges,ges,442,ges,158,174,233,59,187,196,581,317
2024-11-13 03:15:00,ges,380,ges,338,ges,ges,ges,442,ges,158,174,233,59,187,196,581,317
2024-11-13 03:30:00,ges,380,ges,338,ges,ges,ges,442,ges,158,174,233,59,187,196,581,317
2024-11-13 03:45:00,ges,380,ges,338,ges,ges,ges,442,ges,158,174,233,59,187,196,581,317
2024-11-13 04:00:00,ges,380,ges,338,ges,ges,ges,442,ges,158,174,233,59,187,196,581,317
2024-11-13 04:15:00,ges,380,ges,338,ges,ges,ges,442,ges,158,174,233,59,187,196,581,316
2024-11-13 04:30:00,ges,380,ges,338,ges,ges,ges,442,ges,158,174,233,59,187,196,581,316
2024-11-13 04:45:00,ges,380,ges,338,ges,ges,ges,442,ges,158,174,233,59,187,196,581,316
2024-11-13 05:00:00,ges,380,ges,338,ges,ges,ges,442,ges,158,174,233,59,187,196,580,316
2024-11-13 05:15:00,ges,380,ges,338,ges,ges,ges,442,ges,158,174,233,59,187,196,580,316
2024-11-13 05:30:00,ges,380,ges,338,ges,ges,ges,442,ges,158,174,233,59,187,196,579,315
2024-11-13 05:45:00,ges,380,ges,338,ges,ges,ges,442,ges,158,174,233,59,187,196,579,313
2024-11-13 06:00:00,ges,380,ges,338,ges,ges,ges,442,ges,158,174,233,59,187,196,579,307
2024-11-13 06:15:00,ges,380,ges,338,ges,ges,ges,442,ges,158,174,233,59,187,196,576,302
2024-11-13 06:30:00,ges,380,ges,338,ges,ges,ges,442,ges,158,174,233,59,187,196,573,292
2024-11-13 06:45:00,ges,380,ges,338,ges,100,ges,442,ges,158,174,233,59,187,196,571,278
2024-11-13 07:00:00,ges,380,154,329,63,100,260,437,212,0,174,0,42,188,187,563,267
2024-11-13 07:15:00,ges,379,151,328,63,100,260,431,209,0,174,230,40,186,186,555,264
2024-11-13 07:30:00,ges,378,149,327,63,100,260,427,206,0,169,228,37,187,184,548,256
2024-11-13 07:45:00,ges,376,141,324,63,100,260,427,205,0,166,221,37,184,182,539,249
2024-11-13 08:00:00,ges,364,124,317,63,100,260,419,202,153,161,95,43,186,181,533,248
2024-11-13 08:15:00,ges,357,114,301,63,100,260,403,198,145,158,207,44,186,176,527,235
2024-11-13 08:30:00,ges,348,108,291,63,100,260,390,193,132,155,199,46,179,181,509,225
2024-11-13 08:45:00,ges,341,506,279,63,100,260,375,182,118,153,183,42,171,183,505,221
2024-11-13 09:00:00,ges,330,88,250,63,100,260,359,167,102,152,170,40,157,174,500,219
2024-11-13 09:15:00,ges,324,72,222,53,100,260,344,163,73,148,163,40,148,172,495,221
2024-11-13 09:30:00,ges,316,50,194,53,100,260,304,153,50,127,151,34,143,164,487,220
2024-11-13 09:45:00,ges,306,34,174,52,100,260,269,140,36,112,132,35,137,166,489,221
2024-11-13 10:00:00,ges,288,77,128,44,100,260,232,142,21,105,119,31,134,157,488,222
2024-11-13 10:15:00,ges,268,bes,100,45,100,260,195,132,0,83,95,31,118,149,485,218
2024-11-13 10:30:00,ges,242,bes,58,39,100,260,154,119,0,71,79,29,113,146,486,219
2024-11-13 10:45:00,ges,210,bes,33,40,100,260,124,107,2,58,66,25,104,140,482,217
2024-11-13 11:00:00,ges,191,bes,16,39,100,260,98,93,0,46,61,93,89,137,476,216
2024-11-13 11:15:00,ges,166,bes,11,39,100,260,78,84,0,34,48,17,87,130,473,215
2024-11-13 11:30:00,ges,147,bes,bes,42,100,260,64,86,0,22,42,18,80,131,471,213
