time_only,PH Coesfelder Kreuz,PH Theater,PP Hörsterplatz,PH Alter Steinweg,Busparkplatz,PP Schlossplatz Nord,PP Schlossplatz Süd,PH Aegidii,PP Georgskommende,PH Münster Arkaden,PH Karstadt,PH Stubengasse,PH Bremer Platz,PH Engelenschanze,PH Bahnhofstraße,PH Cineplex,PH Stadthaus 3
00:00:00,ges,531,ges,343,ges,ges,ges,565,ges,160,180,225,131,243,204,556,320
00:15:00,ges,532,ges,343,ges,ges,ges,565,ges,160,180,225,131,243,204,556,320
00:30:00,ges,532,ges,343,ges,ges,ges,565,ges,160,180,225,131,243,204,556,320
00:45:00,ges,532,ges,343,ges,ges,ges,565,ges,160,180,225,131,243,204,556,320
01:00:00,ges,532,ges,343,ges,ges,ges,565,ges,160,180,225,131,243,204,556,320
01:15:00,ges,532,ges,343,ges,ges,ges,565,ges,160,180,225,131,243,204,556,320
01:30:00,ges,532,ges,343,ges,ges,ges,565,ges,160,180,225,131,243,204,556,320
01:45:00,ges,532,ges,343,ges,ges,ges,565,ges,160,180,225,131,243,204,556,320
02:00:00,ges,532,ges,343,ges,ges,ges,565,ges,160,180,225,131,243,204,556,320
02:15:00,ges,532,ges,343,ges,ges,ges,565,ges,160,180,225,131,243,204,556,320
02:30:00,ges,532,ges,343,ges,ges,ges,565,ges,160,180,225,131,243,204,556,320
02:45:00,ges,532,ges,343,ges,ges,ges,565,ges,160,180,225,131,243,204,556,320
03:00:00,ges,532,ges,343,ges,ges,ges,565,ges,160,180,225,131,243,204,556,320
03:15:00,ges,532,ges,343,ges,ges,ges,565,ges,160,180,225,131,243,204,557,320
03:30:00,ges,532,ges,343,ges,ges,ges,565,ges,160,180,225,131,243,204,557,320
03:45:00,ges,532,ges,343,ges,ges,ges,565,ges,160,180,225,131,243,204,557,320
04:00:00,ges,532,ges,343,ges,ges,ges,565,ges,160,180,225,131,243,204,557,320
04:15:00,ges,532,ges,343,ges,ges,ges,565,ges,160,180,225,131,243,204,557,320
04:30:00,ges,532,ges,343,ges,ges,ges,565,ges,160,180,225,131,243,204,557,320
04:45:00,ges,532,ges,343,ges,ges,ges,565,ges,160,180,225,131,243,204,557,320
05:00:00,ges,532,ges,343,ges,ges,ges,565,ges,160,180,225,131,243,204,556,320
05:15:00,ges,532,ges,343,ges,ges,ges,565,ges,160,180,225,131,243,204,556,320
05:30:00,ges,532,ges,343,ges,ges,ges,565,ges,160,180,225,131,243,204,556,319
05:45:00,ges,532,ges,343,ges,ges,ges,565,ges,160,180,225,131,243,204,556,318
06:00:00,ges,532,ges,343,ges,ges,ges,565,ges,160,180,225,131,243,204,556,313
06:15:00,ges,532,ges,343,ges,ges,ges,565,ges,160,180,225,131,243,204,555,309
06:30:00,ges,532,ges,343,ges,ges,ges,565,ges,160,180,225,131,243,204,552,301
06:45:00,ges,532,ges,343,ges,146,ges,565,ges,160,180,225,131,243,204,551,290
07:00:00,ges,526,166,336,62,146,ges,556,213,137,180,191,117,240,194,544,279
07:15:00,ges,523,166,334,62,146,318,549,210,137,177,223,115,236,194,537,272
07:30:00,ges,518,162,330,62,146,318,544,207,137,169,220,115,235,193,532,265
07:45:00,ges,510,158,322,62,132,318,538,205,137,166,215,114,235,196,524,260
08:00:00,ges,498,146,313,62,132,318,528,202,156,163,193,115,233,194,518,254
08:15:00,ges,491,135,300,62,132,318,513,199,151,161,203,114,228,191,509,248
08:30:00,ges,482,126,290,62,132,318,526,194,144,158,196,111,239,187,500,243
08:45:00,ges,503,178,277,62,132,318,509,187,133,157,193,114,234,184,491,237
09:00:00,ges,491,91,256,62,132,318,486,176,117,153,180,111,222,179,483,234
09:15:00,ges,476,73,235,61,132,318,455,170,95,145,168,108,214,178,480,233
09:30:00,ges,459,51,211,61,132,318,418,161,71,131,158,106,202,174,476,232
09:45:00,ges,440,32,179,61,132,318,383,148,56,119,139,103,190,171,473,233
10:00:00,ges,414,ges,139,60,132,284,340,132,71,104,121,99,180,167,472,230
10:15:00,ges,381,ges,98,60,132,251,289,116,80,86,99,93,162,159,472,231
10:30:00,ges,345,ges,92,58,132,209,241,98,80,73,83,90,145,153,471,230
10:45:00,ges,305,ges,131,58,146,184,202,84,81,61,69,85,127,148,468,230
11:00:00,ges,266,ges,125,55,146,180,168,68,40,55,61,88,107,143,465,229
11:15:00,ges,227,ges,74,54,146,169,134,55,80,51,64,74,96,137,462,229
11:30:00,ges,198,ges,90,51,146,229,132,49,40,58,72,72,88,132,459,229
11:45:00,ges,173,ges,53,42,167,288,148,49,54,48,59,72,96,128,458,227
12:00:00,ges,180,ges,73,46,140,288,126,42,54,39,50,68,96,123,458,225
12:15:00,ges,172,ges,78,41,140,288,127,43,80,35,50,70,120,119,458,226
12:30:00,ges,146,ges,78,39,140,288,128,46,41,42,52,67,101,114,457,224
12:45:00,ges,149,ges,78,52,140,288,155,46,33,46,63,66,103,108,457,224
13:00:00,ges,157,9,67,33,140,288,129,75,54,44,56,64,92,105,459,225
13:15:00,ges,165,10,61,34,140,288,115,58,42,52,58,64,97,108,459,223
13:30:00,ges,178,10,76,35,140,288,116,49,41,56,70,68,134,108,460,224
13:45:00,ges,180,9,78,36,140,288,121,46,80,52,75,67,138,108,461,227
14:00:00,ges,188,8,70,36,140,288,125,57,40,66,70,68,118,110,460,228
14:15:00,ges,201,16,79,39,140,288,131,58,33,61,72,70,125,112,458,230
14:30:00,ges,208,21,98,41,111,288,142,68,41,69,77,71,129,116,458,231
14:45:00,ges,216,29,87,40,111,288,147,80,31,71,92,73,148,121,459,233
15:00:00,ges,225,14,94,42,111,288,158,87,58,75,83,75,128,121,457,235
15:15:00,ges,235,16,95,43,111,288,162,93,45,75,81,77,135,125,457,238
15:30:00,ges,240,24,95,37,82,217,170,96,32,78,84,80,141,126,459,242
15:45:00,ges,244,ges,97,40,82,217,174,98,36,82,90,81,140,126,458,250
16:00:00,ges,250,23,97,40,92,223,175,98,42,88,87,81,142,128,459,262
16:15:00,ges,258,24,95,42,92,225,188,102,40,94,90,81,150,131,459,269
16:30:00,ges,269,25,96,43,92,189,193,109,58,102,92,80,152,138,460,277
16:45:00,ges,274,23,92,42,92,186,190,109,41,108,104,80,149,139,457,281
17:00:00,ges,279,24,125,43,92,185,198,110,50,109,84,78,146,140,456,289
17:15:00,ges,290,24,89,45,92,226,198,115,63,112,83,77,147,141,453,294
17:30:00,ges,300,27,90,45,92,226,202,121,57,115,90,80,145,141,449,297
17:45:00,ges,307,30,108,45,92,226,214,126,52,117,88,80,136,138,443,300
18:00:00,ges,311,34,93,45,109,226,214,134,53,124,85,81,134,138,439,301
18:15:00,ges,316,32,109,45,92,226,219,137,57,128,101,93,136,136,437,301
18:30:00,ges,323,37,97,46,82,226,234,142,70,134,93,97,141,137,434,299
18:45:00,ges,330,38,99,49,82,226,253,145,63,141,94,96,139,137,425,299
19:00:00,ges,330,53,104,52,82,226,286,147,69,148,96,97,145,141,415,300
19:15:00,ges,326,54,116,52,82,226,323,155,78,155,106,98,153,141,399,298
19:30:00,ges,335,43,132,54,82,214,347,163,87,161,119,100,160,144,391,297
19:45:00,ges,348,50,144,56,82,214,372,168,99,167,129,103,167,148,385,296
20:00:00,ges,363,55,165,54,82,214,402,170,111,172,142,105,175,154,378,297
20:15:00,ges,377,67,186,57,82,214,440,188,122,177,162,110,189,161,379,296
20:30:00,ges,398,78,209,61,92,206,474,199,129,180,178,114,206,166,386,297
20:45:00,ges,412,86,227,62,ges,234,496,206,133,181,190,101,213,171,392,299
21:00:00,ges,426,92,240,63,ges,ges,515,ges,138,181,197,103,223,173,400,299
21:15:00,ges,441,103,256,ges,ges,ges,530,ges,143,181,204,108,229,176,408,300
21:30:00,ges,460,108,270,ges,ges,ges,546,ges,146,181,210,115,237,183,421,303
21:45:00,ges,485,116,283,ges,ges,ges,559,ges,149,181,217,120,246,190,435,306
22:00:00,ges,498,126,297,ges,ges,ges,571,ges,152,181,222,125,253,192,446,308
22:15:00,ges,521,ges,308,ges,ges,ges,581,ges,155,181,226,130,258,192,457,308
22:30:00,ges,538,ges,320,ges,ges,ges,591,ges,157,181,228,132,261,195,477,311
22:45:00,ges,549,ges,328,ges,ges,ges,599,ges,159,181,232,135,264,196,497,312
23:00:00,ges,555,ges,333,ges,ges,ges,605,ges,161,181,234,137,265,197,519,314
23:15:00,ges,559,ges,336,ges,ges,ges,609,ges,161,181,235,138,270,198,530,315
23:30:00,ges,562,ges,340,ges,ges,ges,611,ges,161,181,235,139,272,199,541,316
23:45:00,ges,564,ges,341,ges,ges,ges,613,ges,161,181,236,140,273,199,546,317
