Datum und Uhrzeit,PH Coesfelder Kreuz,PH Theater,PP Hörsterplatz,PH Alter Steinweg,Busparkplatz,PP Schlossplatz Nord,PP Schlossplatz Süd,PH Aegidii,PP Georgskommende,PH Münster Arkaden,PH Karstadt,PH Stubengasse,PH Bremer Platz,PH Engelenschanze,PH Bahnhofstraße,PH Cineplex,PH Stadthaus 3,Datum,Wochentag,PH Coesfelder Kreuz_Diff,PH Theater_Diff,PP Hörsterplatz_Diff,PH Alter Steinweg_Diff,Busparkplatz_Diff,PP Schlossplatz Nord_Diff,PP Schlossplatz Süd_Diff,PH Aegidii_Diff,PP Georgskommende_Diff,PH Münster Arkaden_Diff,PH Karstadt_Diff,PH Stubengasse_Diff,PH Bremer Platz_Diff,PH Engelenschanze_Diff,PH Bahnhofstraße_Diff,PH Cineplex_Diff,PH Stadthaus 3_Diff,Datum_Diff
2024-04-22 00:00:00,0,663,0,365,0,0,0,690,0,0,0,269,195,407,203,551,287,2024-04-22,Monday,0.0,5.0,0.0,-1.0,0.0,0.0,0.0,-60.0,0.0,0.0,0.0,11.0,12.0,-25.0,-11.0,-18.0,2.0,-6 days
2024-04-22 00:15:00,0,663,0,365,0,0,0,690,0,0,0,269,195,407,203,551,287,2024-04-22,Monday,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0 days
2024-04-22 00:30:00,0,663,0,365,0,0,0,690,0,0,0,269,195,407,203,551,287,2024-04-22,Monday,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0 days
2024-04-22 00:45:00,0,663,0,365,0,0,0,690,0,0,0,269,195,407,203,551,287,2024-04-22,Monday,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0 days
2024-04-22 01:00:00,0,663,0,365,0,0,0,690,0,0,0,269,195,407,203,551,287,2024-04-22,Monday,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0 days
2024-04-22 01:15:00,0,663,0,365,0,0,0,690,0,0,0,269,195,407,203,551,287,2024-04-22,Monday,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0 days
2024-04-22 01:30:00,0,663,0,365,0,0,0,690,0,0,0,269,195,407,203,551,287,2024-04-22,Monday,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0 days
2024-04-22 01:45:00,0,663,0,365,0,0,0,690,0,0,0,269,195,407,203,551,287,2024-04-22,Monday,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0 days
2024-04-22 02:00:00,0,663,0,365,0,0,0,690,0,0,0,269,195,407,203,551,287,2024-04-22,Monday,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0 days
2024-04-22 02:15:00,0,663,0,365,0,0,0,690,0,0,0,269,195,407,203,551,287,2024-04-22,Monday,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0 days
2024-04-22 02:30:00,0,663,0,365,0,0,0,690,0,0,0,269,195,407,203,551,287,2024-04-22,Monday,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0 days
2024-04-22 02:45:00,0,663,0,365,0,0,0,690,0,0,0,269,195,407,203,551,287,2024-04-22,Monday,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0 days
2024-04-22 03:00:00,0,663,0,365,0,0,0,690,0,0,0,269,195,407,203,551,287,2024-04-22,Monday,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0 days
2024-04-22 03:15:00,0,663,0,365,0,0,0,690,0,0,0,269,195,407,203,551,287,2024-04-22,Monday,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0 days
2024-04-22 03:30:00,0,663,0,365,0,0,0,690,0,0,0,269,195,407,203,551,287,2024-04-22,Monday,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0 days
2024-04-22 03:45:00,0,663,0,365,0,0,0,690,0,0,0,269,195,407,203,551,287,2024-04-22,Monday,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0 days
2024-04-22 04:00:00,0,663,0,365,0,0,0,690,0,0,0,269,195,407,203,551,287,2024-04-22,Monday,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0 days
2024-04-22 04:15:00,0,663,0,365,0,0,0,690,0,0,0,269,195,407,203,551,287,2024-04-22,Monday,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0 days
2024-04-22 04:30:00,0,663,0,365,0,0,0,690,0,0,0,269,195,407,203,551,287,2024-04-22,Monday,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0 days
