Monat,Wochentag,Uhrzeit,PH Coesfelder Kreuz,PH Theater,PP Hörsterplatz,PH Alter Steinweg,Busparkplatz,PP Schlossplatz Nord,PP Schlossplatz Süd,PH Aegidii,PP Georgskommende,PH Münster Arkaden,PH Karstadt,PH Stubengasse,PH Bremer Platz,PH Engelenschanze,PH Bahnhofstraße,PH Cineplex,PH Stadthaus 3
1,Sonntag,00:00,ges,ges,ges,291,ges,ges,ges,ges,ges,ges,ges,ges,145,ges,ges,276,191
1,Sonntag,00:15,ges,ges,ges,291,ges,ges,ges,ges,ges,ges,ges,ges,145,ges,ges,276,191
1,Sonntag,00:30,ges,ges,ges,291,ges,ges,ges,ges,ges,ges,ges,ges,145,ges,ges,276,191
1,Sonntag,00:45,ges,ges,ges,291,ges,ges,ges,ges,ges,ges,ges,ges,145,ges,ges,276,191
1,Sonntag,01:00,ges,ges,ges,291,ges,ges,ges,ges,ges,ges,ges,ges,145,ges,ges,276,191
1,Sonntag,01:15,ges,ges,ges,291,ges,ges,ges,ges,ges,ges,ges,ges,145,ges,ges,276,191
1,Sonntag,01:30,ges,ges,ges,291,ges,ges,ges,ges,ges,ges,ges,ges,145,ges,ges,276,191
1,Sonntag,01:45,ges,ges,ges,291,ges,ges,ges,ges,ges,ges,ges,ges,145,ges,ges,276,191
1,Sonntag,02:00,ges,ges,ges,291,ges,ges,ges,ges,ges,ges,ges,ges,145,ges,ges,276,191
1,Sonntag,02:15,ges,ges,ges,291,ges,ges,ges,ges,ges,ges,ges,ges,145,ges,ges,276,191
1,Sonntag,02:30,ges,ges,ges,291,ges,ges,ges,ges,ges,ges,ges,ges,145,ges,ges,276,191
1,Sonntag,02:45,ges,ges,ges,291,ges,ges,ges,ges,ges,ges,ges,ges,145,ges,ges,276,191
1,Sonntag,03:00,ges,ges,ges,291,ges,ges,ges,ges,ges,ges,ges,ges,145,ges,ges,276,191
1,Sonntag,03:15,ges,ges,ges,291,ges,ges,ges,ges,ges,ges,ges,ges,145,ges,ges,276,191
1,Sonntag,03:30,ges,ges,ges,291,ges,ges,ges,ges,ges,ges,ges,ges,145,ges,ges,276,191
